stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id,stations_outside_largest_component,components,socio_locality,socio_cluster,socio_index_value,socio_population,socio_join_method,socio_join_distance_m,region,metro,socio_group,degree_percentile,weighted_degree_percentile,pagerank_percentile,betweenness_percentile,harmonic_percentile,stations_outside_largest_component_percentile,composite_centrality_score,top_quintile_centrality_count,station_archetype
37290,17106,שדרות,31.515877,34.586059,151,2,302,2,2,0.0145431080160731,0.0072261072261072,0.1883608394972031,False,3,0,1,שדרות,4.0,-0.482955173556053,5132.49562987144,nearest,63.96260119001862,דרום,פריפריה,Lower (clusters 2–4),0.3358208955223881,0.47761194029850745,0.6119402985074627,0.4626865671641791,0.08208955223880597,0.0,39.40298507462686,0,ordinary or peripheral station
42416,17122,רעננה דרום,32.172568,34.886294,212,2,424,2,2,0.0135423398294958,0.0,0.2243566618566617,False,6,0,1,רעננה,8.0,1.45574183476208,2413.5452761872,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.3358208955223881,0.6268656716417911,0.47761194029850745,0.1865671641791045,0.34328358208955223,0.0,39.40298507462686,0,ordinary or peripheral station
37330,17066,באר יעקב,31.932781,34.828591,102,2,204,2,2,0.0125051039244424,0.0,0.2606240981240981,False,1,0,1,באר יעקב,7.0,0.782741778544783,29695.0809147587,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.3358208955223881,0.29850746268656714,0.40298507462686567,0.1865671641791045,0.6417910447761194,0.0,37.31343283582089,0,ordinary or peripheral station
42507,17123,מרכזית המפרץ,32.792942,35.032964,96,3,191,3,3,0.0104167433690469,0.0,0.2451309633127814,False,2,0,1,חיפה,2.0,-1.22008768719583,4854.64159011354,nearest,768.4220874030349,צפון,חיפה,Lower (clusters 2–4),0.6417910447761194,0.19402985074626866,0.31343283582089554,0.1865671641791045,0.5,0.0,36.71641791044776,0,ordinary or peripheral station
40584,17110,כפר יהושע,32.681069,35.124624,66,3,132,3,3,0.0090494125248442,0.0,0.2451309633127814,False,2,0,1,כפר יהושע,8.0,1.14550314797587,1244.18491338744,nearest,1104.3134044597955,צפון,חיפה,Higher (clusters 8–9),0.6417910447761194,0.13432835820895522,0.22388059701492538,0.1865671641791045,0.5,0.0,33.731343283582085,0,ordinary or peripheral station
37374,17022,עתלית,32.692924,34.940314,165,2,255,2,2,0.0086692912389098,0.0,0.2527116402116401,False,2,0,1,עתלית,8.0,1.11816826053986,10454.426267749,within,0.0,צפון,חיפה,Higher (clusters 8–9),0.3358208955223881,0.43283582089552236,0.14925373134328357,0.1865671641791045,0.5671641791044776,0.0,33.43283582089553,0,ordinary or peripheral station
37348,17048,צומת חולון,32.037036,34.776461,107,2,214,2,2,0.0079110991186111,0.0,0.2618686868686868,False,7,0,1,תל אביב -יפו,4.0,-0.393493269411338,3928.72017509535,within,0.0,מרכז,תל אביב,Lower (clusters 2–4),0.3358208955223881,0.3656716417910448,0.08955223880597014,0.1865671641791045,0.6567164179104478,0.0,32.68656716417911,0,ordinary or peripheral station
42419,17119,קרית מלאכי,31.747335,34.822479,52,2,104,2,2,0.0103699556620413,0.0034965034965034,0.228543005815733,False,1,0,1,כפר מנחם,8.0,1.32799802048637,1365.95017873264,nearest,1422.2983166928586,מרכז,פריפריה,Higher (clusters 8–9),0.3358208955223881,0.06716417910447761,0.29850746268656714,0.4253731343283582,0.3880597014925373,0.0,30.29850746268657,0,ordinary or peripheral station
37342,17054,בת ים קוממיות,32.000989,34.759437,107,2,214,2,2,0.0094705347056016,0.0,0.2265331890331889,False,7,0,1,בת ים,5.0,-0.17863807809363,1751.84338795459,nearest,19.96749332380476,מרכז,תל אביב,Middle (clusters 5–7),0.3358208955223881,0.3656716417910448,0.2537313432835821,0.1865671641791045,0.3582089552238806,0.0,30.0,0,ordinary or peripheral station
42418,17120,מזכרת בתיה,31.841507,34.855948,52,2,104,2,2,0.0101536970852306,0.0009324009324009,0.2209672482399754,False,1,0,1,מזכרת בתיה,8.0,1.29412312978528,15397.9678703347,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.3358208955223881,0.06716417910447761,0.2835820895522388,0.3880597014925373,0.3283582089552239,0.0,28.059701492537314,0,ordinary or peripheral station
37370,17026,קיסריה פרדס חנה,32.485187,34.954099,102,2,204,2,2,0.0084280118314614,0.0,0.2398328523328522,False,6,0,1,פרדס חנה-כרכור,6.0,0.224794809283742,4952.85127547976,within,0.0,מרכז,פריפריה,Middle (clusters 5–7),0.3358208955223881,0.29850746268656714,0.11940298507462686,0.1865671641791045,0.44776119402985076,0.0,27.761194029850746,0,ordinary or peripheral station
42286,17118,ירושלים/יצחק נבון,31.788062,35.202545,195,2,195,2,2,0.0074682317928169,0.0,0.251533189033189,False,5,0,1,ירושלים,2.0,-1.67921012992128,9288.18400609994,within,0.0,ירושלים,ירושלים,Lower (clusters 2–4),0.3358208955223881,0.23880597014925373,0.07462686567164178,0.1865671641791045,0.5373134328358209,0.0,27.46268656716418,0,ordinary or peripheral station
37312,17084,באר שבע מרכז,31.242886,34.798546,219,1,219,1,1,0.0141100263756908,0.0,0.1929987100441645,False,3,0,1,באר שבע,6.0,0.253545395584167,1593.79505879285,within,0.0,דרום,באר שבע,Middle (clusters 5–7),0.06716417910447761,0.3880597014925373,0.5223880597014925,0.1865671641791045,0.12686567164179105,0.0,25.82089552238806,0,ordinary or peripheral station
37308,17088,להבים רהט,31.369907,34.79804,55,2,110,2,2,0.0093085621542329,0.0,0.2318258340985612,False,3,0,1,להבים,9.0,1.97203604550363,6975.64882676503,within,0.0,דרום,באר שבע,Higher (clusters 8–9),0.3358208955223881,0.1044776119402985,0.23880597014925373,0.1865671641791045,0.40298507462686567,0.0,25.37313432835821,0,ordinary or peripheral station
37328,17068,יבנה מזרח,31.861702,34.744295,72,2,144,2,2,0.0088096194718452,0.0,0.227532904805632,False,1,0,1,יבנה,5.0,-0.294045727472451,4338.18210596309,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.3358208955223881,0.16417910447761194,0.1791044776119403,0.1865671641791045,0.373134328358209,0.0,24.776119402985074,0,ordinary or peripheral station
40640,17114,נתניה קריית ספיר,32.278832,34.865175,96,2,192,2,2,0.0084076485850907,0.0,0.2185485810485809,False,6,0,1,כפר נטר,9.0,1.88372561303364,1159.24137689666,nearest,338.234584013576,מרכז,תל אביב,Higher (clusters 8–9),0.3358208955223881,0.21641791044776118,0.1044776119402985,0.1865671641791045,0.29850746268656714,0.0,22.835820895522385,0,ordinary or peripheral station
37394,17002,מודיעין מרכז,31.901238,35.005712,233,1,233,1,1,0.009650011494311,0.0,0.2018398268398267,False,5,0,1,מודיעין-מכבים-רעות*,9.0,1.63915292841885,647.172845746924,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.06716417910447761,0.40298507462686567,0.26865671641791045,0.1865671641791045,0.14925373134328357,0.0,21.492537313432834,0,ordinary or peripheral station
37298,17098,ראשונים,31.948927,34.802622,59,1,59,1,1,0.0048852325019274,0.0,0.2447150072150071,False,1,0,1,ראשון לציון,8.0,1.35463619149533,6613.06573952833,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.06716417910447761,0.04477611940298507,0.029850746268656716,0.1865671641791045,0.47761194029850745,0.0,16.119402985074625,0,ordinary or peripheral station
37382,17014,נהריה,33.005075,35.09871,187,1,187,1,1,0.0087199888343139,0.0,0.170288171424535,False,4,0,1,נהרייה,6.0,0.175210690348339,3401.31485459584,within,0.0,צפון,פריפריה,Middle (clusters 5–7),0.06716417910447761,0.1791044776119403,0.16417910447761194,0.1865671641791045,0.03731343283582089,0.0,12.686567164179102,0,ordinary or peripheral station
