stop_id,stop_name,lat,lon,region,metro
38375,שדרות בן גוריון/פינס,31.80525,34.77862,מרכז,פריפריה
16253,בית עלמין/שדרות בן גוריון,31.807795,34.771119,מרכז,פריפריה
25378,פינס/בן גוריון,31.804831,34.776637,מרכז,פריפריה
65,בן גוריון/פוקס,31.806959,34.773504,מרכז,פריפריה
15661,בית חולים הרצפלד,31.809014,34.77816,מרכז,פריפריה
38370,בי''ח הרצפלד/דרך ארץ,31.808563,34.779569,מרכז,פריפריה
38374,פינס/קק''ל,31.81241,34.777446,מרכז,פריפריה
15664,וייצמן/פינס,31.81762,34.777008,מרכז,תל אביב
23723,וייצמן/כצנלסון,31.816458,34.779564,מרכז,תל אביב
23724,וייצמן/העצמאות,31.817042,34.782367,מרכז,תל אביב
25013,וייצמן/כצנלסון,31.816863,34.781688,מרכז,תל אביב
40654,הגפן/גדרה,31.813758,34.789235,מרכז,פריפריה
25023,גמליאל/וייצמן,31.816477,34.786396,מרכז,תל אביב
25024,וייצמן/הרמב''ם,31.817677,34.783881,מרכז,תל אביב
40653,הגפן,31.807612,34.80092,מרכז,פריפריה
40644,הזית/החרצית,31.811081,34.802492,מרכז,פריפריה
40652,הדר/הזית,31.815101,34.805379,מרכז,פריפריה
40645,הדר/התפוח,31.819803,34.796271,מרכז,תל אביב
60,וייצמן/מרבד הקסמים,31.816579,34.779753,מרכז,תל אביב
16251,פינס/הזית,31.810799,34.77745,מרכז,פריפריה
35323,פינס/פיינברג,31.814223,34.777353,מרכז,פריפריה
16252,בית חולים הרצפלד,31.807914,34.777941,מרכז,פריפריה
16254,שדרות בן גוריון/חזית הדרום,31.808273,34.769409,מרכז,פריפריה
15419,הרצל/שדרות בן גוריון,31.809619,34.767286,מרכז,פריפריה
51292,האנפה/הדוכיפת,31.820956,34.756685,מרכז,תל אביב
15421,הרצל/ויצמן,31.819355,34.773886,מרכז,תל אביב
15422,מסעף קדרון/כביש 40,31.825447,34.776095,מרכז,תל אביב
22427,אשר/וייצמן,31.819077,34.775049,מרכז,תל אביב
15428,צומת בילו,31.872097,34.819403,מרכז,תל אביב
40659,בניה  צפון,31.839198,34.757069,מרכז,תל אביב
40655,בניה/גן משחקים,31.84413,34.755473,מרכז,תל אביב
40657,בניה  מרכז,31.844326,34.752317,מרכז,תל אביב
40660,בניה  מערב,31.84322,34.745946,מרכז,תל אביב
15535,צומת בן זכאי,31.848552,34.7268,מרכז,תל אביב
15536,כביש 42/בן זכאי,31.850309,34.729304,מרכז,תל אביב
15537,כביש 42/מעון צופיה,31.856022,34.737073,מרכז,תל אביב
34326,שדרות הסנהדרין/שדרות העצמאות,31.878656,34.749662,מרכז,תל אביב
15573,צומת כפר הנגיד/כביש 42,31.890546,34.756886,מרכז,תל אביב
15572,כביש 42/כפר הנגיד,31.883233,34.753208,מרכז,תל אביב
16156,שדרות הסנהדרין/הדרור,31.879314,34.745821,מרכז,תל אביב
4296,קלע אלון,33.131719,35.684544,צפון,פריפריה
4284,מסעף קלע אלון,33.123735,35.682668,צפון,פריפריה
4421,מסעף קלע אלון,33.124247,35.681281,צפון,פריפריה
4286,מחנה רוויה,33.126144,35.690758,צפון,פריפריה
7167,צומת האמיר,33.137006,35.731681,צפון,פריפריה
4426,צומת האמיר,33.138182,35.732647,צפון,פריפריה
35095,צומת האמיר,33.13853,35.731414,צפון,פריפריה
7165,מסעף שעל,33.117437,35.727153,צפון,פריפריה
5214,מסעף שעל,33.116759,35.728031,צפון,פריפריה
19998,מגרש ספורט,33.11602,35.717359,צפון,פריפריה
7166,מסעף שעל,33.117983,35.728163,צפון,פריפריה
4416,צומת השריון,33.062405,35.744163,צפון,פריפריה
19975,צומת נפח,33.057495,35.735072,צפון,פריפריה
4413,מחנה סער,33.052686,35.730849,צפון,פריפריה
20296,מחנה עוז,33.049248,35.721339,צפון,פריפריה
19972,מחנה עוז,33.048205,35.721449,צפון,פריפריה
4411,מחנה ברק,33.047444,35.705562,צפון,פריפריה
4403,מחנה חומה,33.034802,35.690865,צפון,פריפריה
15209,סן מרטין/ערבה,31.94313,34.891784,מרכז,תל אביב
15276,גבריאל/שדרות בן גוריון,31.942853,34.890245,מרכז,תל אביב
35723,בי''ס הראל/אריה בן אליעזר,31.940677,34.889023,מרכז,תל אביב
47853,ת.מרכזית באר שבע/רציפים בינעירוני,31.243017,34.796743,דרום,באר שבע
26660,דרך חברון/שדרות דוד חכם,31.239431,34.798843,דרום,באר שבע
44376,הירקון/המכבים,32.098372,34.833138,מרכז,תל אביב
16778,ביאליק/עירייה,32.077776,34.847604,מרכז,תל אביב
24213,לוחמי הגטאות/יצחק שדה,32.079358,34.850428,מרכז,תל אביב
16782,הזיתים/העבודה,32.078002,34.851949,מרכז,תל אביב
16784,זבולון המר/יוני נתניהו,32.072732,34.854449,מרכז,תל אביב
16818,מרכז וואהל/מקס ואנה ווב,32.07157,34.847628,מרכז,תל אביב
16819,אוני' בר אילן/מקס ואנה ווב,32.071577,34.845347,מרכז,תל אביב
16820,אוניברסיטת בר אילן/מקס ואנה ווב,32.069808,34.845126,מרכז,תל אביב
44134,דרך רב אלוף יעקב דורי/גילדסגיים,32.05293,34.853028,מרכז,תל אביב
15607,שלמה המלך / ההדר,32.054299,34.859689,מרכז,תל אביב
33961,מיטב,32.04187,34.849212,מרכז,תל אביב
15527,בית ברוש/דרך רב אלוף יעקב דורי,32.048301,34.860287,מרכז,תל אביב
15678,דרך אלכסנדרוני/מבואות,32.045211,34.8658,מרכז,תל אביב
50466,דרך אלכסנדרוני/אורה נמיר,32.039059,34.866669,מרכז,תל אביב
49377,מכללת אונו/דרך אלכסנדרוני ,32.037096,34.866942,מרכז,תל אביב
50744,לוחמי האש/ענת גוב,32.037848,34.863418,מרכז,תל אביב
47985,שדרות שמעון פרס/חרמון,32.038777,34.860297,מרכז,תל אביב
49639,משה דיין/שדרות מנחם בגין,32.026664,34.859633,מרכז,תל אביב
15670,יהדות קנדה / אסירי ציון,32.025413,34.859628,מרכז,תל אביב
25098,יהדות קנדה/העבודה,32.022658,34.859988,מרכז,תל אביב
15836,מסעף צפריה,32.013734,34.846019,מרכז,תל אביב
23249,הרימון/הגפן,32.004974,34.853627,מרכז,תל אביב
51497,כביש 412/יהדות קנדה,32.020083,34.861967,מרכז,תל אביב
43195,הסיבים/הביטחון,32.086829,34.856366,מרכז,תל אביב
25292,שחם/טובה ושמעון דרנגר,32.084596,34.858648,מרכז,תל אביב
44248,דרך יצחק רבין/יצחק ויטנברג,32.079628,34.860156,מרכז,תל אביב
25291,מרכז מסחרי/שחם,32.087938,34.859176,מרכז,תל אביב
43308,הסיבים/שוהם,32.091465,34.857269,מרכז,תל אביב
16335,יוסף ספיר/הירקונים,32.099014,34.89611,מרכז,תל אביב
40530,גיסין/המכבים,32.098292,34.885006,מרכז,תל אביב
38652,מרדכי בן דרור/דורני שלום,32.099333,34.888788,מרכז,תל אביב
40531,אבשלום גיסין/ברוך איסקוב,32.098173,34.883137,מרכז,תל אביב
24283,אבשלום גיסין/גשר אל''מ אסף חממי,32.098725,34.87545,מרכז,תל אביב
9583,בוליביה,31.755702,35.179037,ירושלים,ירושלים
9624,אורוגואי/גוואטמלה,31.754855,35.177373,ירושלים,ירושלים
9514,אורוגואי/שטרן,31.756595,35.177426,ירושלים,ירושלים
9579,אורוגואי/מרקו ברוך,31.758318,35.176832,ירושלים,ירושלים
9580,מרכז מסחרי/אורוגואי,31.76109,35.175776,ירושלים,ירושלים
9538,טהון/גולומב,31.761447,35.175929,ירושלים,ירושלים
9878,זנגוויל/ורבורג,31.765561,35.176756,ירושלים,ירושלים
9581,זנגויל/תורה ועבודה,31.767289,35.178331,ירושלים,ירושלים
9533,קרית יובל/שמריהו לוין,31.768465,35.178701,ירושלים,ירושלים
50347,קרית היובל/תחנת רקל''ה הר הרצל,31.770452,35.181654,ירושלים,ירושלים
9617,בורוכוב/קרמינצקי,31.766645,35.175106,ירושלים,ירושלים
9318,בורוכוב/קליינמן,31.763495,35.173606,ירושלים,ירושלים
9302,טהון/בורוכוב,31.761218,35.175221,ירושלים,ירושלים
9512,מרכז מסחרי/אורוגוואי,31.759857,35.176255,ירושלים,ירושלים
9513,אורוגואי/מרקו ברוך,31.757897,35.17695,ירושלים,ירושלים
9614,שטרן/אורוגוואי,31.756373,35.176912,ירושלים,ירושלים
9506,שטרן א',31.755082,35.176534,ירושלים,ירושלים
9507,שטרן ב',31.753329,35.176663,ירושלים,ירושלים
9508,שטרן ג',31.752313,35.177836,ירושלים,ירושלים
9509,שטרן ד',31.753693,35.179171,ירושלים,ירושלים
9615,שטרן ה',31.756186,35.180454,ירושלים,ירושלים
