stop_id,stop_name,region,metro,community,lat,lon,trip_graph_degree,trip_graph_weighted_degree,stop_use_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_locality_en,socio_cluster,socio_cluster_group,socio_index_value,socio_population
51632,הדרים/תרפ''ט,מרכז,פריפריה,19.0,32.474073,34.96492,2,608.0,304,False,within,0.0,78000007,פרדס חנה-כרכור,PARDES HANNA-KARKUR,7.0,middle_5_7,,3883.0
13461,מכון הרישוי/דרך בן צבי,מרכז,תל אביב,31.0,32.047371,34.765682,2,608.0,304,False,within,0.0,50000748,תל אביב -יפו,TEL AVIV - YAFO,5.0,middle_5_7,,2789.0
13459,דרך בן צבי/היינריך היינה,מרכז,תל אביב,31.0,32.04902,34.76282,2,608.0,304,False,within,0.0,50000748,תל אביב -יפו,TEL AVIV - YAFO,5.0,middle_5_7,,2789.0
28842,שדרות הרצל/שדרות יצחק רבין,מרכז,פריפריה,20.0,31.777152,34.631906,4,608.0,304,False,within,0.0,700422,אשדוד,ASHDOD,7.0,middle_5_7,,9317.0
6851,מכללת תל חי קמפוס מזרחי,צפון,פריפריה,1.0,33.231348,35.580213,4,608.0,304,False,nearest,332.312045149308,28000001,קריית שמונה,QIRYAT SHEMONA,7.0,middle_5_7,,897.0
11932,צומת בת הדר,מרכז,פריפריה,13.0,31.647126,34.594188,4,608.0,304,False,within,0.0,71000225,אשקלון,ASHQELON,4.0,low_1_4,,4065.0
34010,שמעון פרס/מעגל השלום,מרכז,תל אביב,12.0,31.968159,34.767743,2,608.0,304,False,within,0.0,83000611,ראשון לציון,RISHON LEZIYYON,8.0,high_8_10,,2699.0
27470,ביאליק/ההסתדרות,מרכז,פריפריה,22.0,31.65636,34.56057,4,608.0,304,False,within,0.0,71000315,אשקלון,ASHQELON,2.0,low_1_4,,1888.0
23963,תיכון שז''ר/הרב לוי,מרכז,תל אביב,31.0,32.013863,34.754463,2,608.0,304,False,within,0.0,62000511,בת ים,BAT YAM,5.0,middle_5_7,,2687.0
26838,נוף/מגדל,דרום,פריפריה,53.0,31.259678,35.223173,3,608.0,304,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
49132,תחנה מרכזית פתח תקווה,מרכז,תל אביב,,32.094693,34.886538,1,608.0,608,False,within,0.0,79000114,פתח תקווה,PETAH TIQWA,6.0,middle_5_7,,3900.0
29332,יהודה מרגוזה/יפת,מרכז,תל אביב,31.0,32.050722,34.752075,2,608.0,304,False,within,0.0,50000721,תל אביב -יפו,TEL AVIV - YAFO,6.0,middle_5_7,,1379.0
18336,קריית חינוך שנלר,צפון,פריפריה,8.0,32.701596,35.284386,2,608.0,347,False,within,0.0,73000035,נצרת,NAZARETH,5.0,middle_5_7,,8361.0
35316,מתחם ביג/קריית שמונה,צפון,פריפריה,1.0,33.192391,35.570342,2,608.0,494,False,nearest,370.2678365465197,28000010,קריית שמונה,QIRYAT SHEMONA,4.0,low_1_4,,1939.0
