community,dominant_city,community_label,dominant_region,dominant_metro,n_neighborhoods,n_neighborhoods_with_population,n_stops,population,mean_socio_cluster,socio_cluster_spread,rho_use_per_capita,p_use_per_capita,rho_stops_per_capita,p_stops_per_capita,rho_stop_level_use,p_stop_level_use,abs_rho,p_fdr_bh,p_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,direction
6,קריית גת,קריית גת (#6),מרכז,פריפריה,107,106,788,187902.0,5.925233644859813,9,-0.21528665056299437,0.026671803846688005,0.0873251529865779,0.37340721625966966,-0.25809698177644036,1.8576995935033776e-13,0.21528665056299437,0.12669106827176804,1.0,True,False,False,weaker neighbourhoods favoured
25,רמת גן,רמת גן (#25),מרכז,תל אביב,67,67,512,287200.0,7.7164179104477615,7,-0.2091995917593307,0.08931861432428587,0.06141121449246919,0.6215328534952247,-0.3720378721432409,2.9758533137853663e-18,0.2091995917593307,0.25455805082421473,1.0,False,False,False,weaker neighbourhoods favoured
30,אילת,אילת (#30),דרום,פריפריה,39,36,356,62577.0,5.948717948717949,8,-0.20028578819602436,0.24151117479531223,-0.1286789518037041,0.4544941071327959,0.15348961949534976,0.003695208714562043,0.20028578819602436,0.5218422784175916,1.0,False,False,False,weaker neighbourhoods favoured
7,לוד,לוד (#7),מרכז,תל אביב,76,76,775,271765.0,5.605263157894737,9,-0.183133929225819,0.11331010656425858,0.4557628597681323,3.5157338161759e-05,-0.3483705264342243,1.5640669182512303e-23,0.183133929225819,0.2935761851892154,1.0,False,False,False,weaker neighbourhoods favoured
27,קריית ים,קריית ים (#27),צפון,חיפה,44,44,466,172426.0,5.4772727272727275,7,-0.17882767036757258,0.24545854103430642,-0.18142985150469168,0.2385431028055407,0.03831905100956724,0.4092148328089137,0.17882767036757258,0.5218422784175916,1.0,False,False,False,weaker neighbourhoods favoured
38,אריאל,אריאל (#38),מרכז,פריפריה,30,28,347,90737.0,5.666666666666667,7,-0.17076876829194032,0.3849386966140509,-0.40276146566601706,0.03358776263225048,-0.046657325066765336,0.38623490552349815,0.17076876829194032,0.6648941123333606,1.0,False,False,False,weaker neighbourhoods favoured
18,כרמיאל,כרמיאל (#18),צפון,פריפריה,34,34,555,97081.0,5.588235294117647,7,-0.1628199225809737,0.3575498713223665,-0.03461281480987334,0.8459139342080448,0.07452173286708882,0.07941387184549527,0.1628199225809737,0.6529667674429824,1.0,False,False,False,weaker neighbourhoods favoured
5,אבטליון,אבטליון (#5),צפון,פריפריה,43,43,806,88931.0,6.0,9,-0.15658117094284316,0.3159970598947058,-0.18150571280190902,0.24408101196549792,-0.011966281083626339,0.73445207474207,0.15658117094284316,0.605526854849184,1.0,False,False,False,weaker neighbourhoods favoured
17,פתח תקווה,פתח תקווה (#17),מרכז,תל אביב,73,70,563,279831.0,6.397260273972603,8,-0.14015210374765436,0.24718844767149076,0.058361047781943086,0.6312977471849615,-0.1290518692246581,0.0021540487689491157,0.14015210374765436,0.5218422784175916,1.0,False,False,False,weaker neighbourhoods favoured
8,נצרת,נצרת (#8),צפון,פריפריה,30,30,741,125221.0,4.266666666666667,8,-0.13917101743126556,0.46327678900286484,0.01742621659087888,0.9271760666900039,0.043102564949072386,0.24124831205876066,0.13917101743126556,0.7335215825878694,1.0,False,False,False,weaker neighbourhoods favoured
14,הרצלייה,הרצלייה (#14),מרכז,תל אביב,68,66,597,258516.0,8.279411764705882,5,-0.13033300568885497,0.2969220079980759,-0.034443590199504784,0.783657322019319,-0.07119546242355922,0.08218956924047507,0.13033300568885497,0.6044483734246545,1.0,False,False,False,weaker neighbourhoods favoured
60,אור יהודה,אור יהודה (#60),מרכז,תל אביב,22,22,175,79226.0,6.045454545454546,8,-0.11926387284810312,0.5970571790758896,0.15095234147924164,0.502501559125814,-0.24342565217775988,0.0011699314064014346,0.11926387284810312,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
46,חיפה,חיפה (#46),צפון,חיפה,21,21,307,74078.0,5.761904761904762,7,-0.11061786015970018,0.6331170358045484,-0.23448336824271776,0.30626313977415354,0.08359456331779719,0.14393891229895625,0.11061786015970018,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
35,ראש העין,ראש העין (#35),מרכז,תל אביב,21,20,385,96748.0,6.904761904761905,7,-0.1070694865941521,0.6532201910356484,0.04845480415209803,0.8392428980249812,0.16246620283410576,0.0013803493693487908,0.1070694865941521,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
32,חיפה,חיפה (#32),צפון,חיפה,32,32,407,102555.0,6.21875,8,-0.10395291981994283,0.571265876313025,0.11678431779413971,0.5244297826217676,-0.15056889878428414,0.0023217648715099237,0.10395291981994283,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
63,מבשרת ציון,מבשרת ציון (#63),ירושלים,ירושלים,12,12,155,31935.0,7.5,5,-0.0903003835737272,0.7801747998512543,-0.4984581173269741,0.09906015199870266,0.3369079225171053,1.8149830431713797e-05,0.0903003835737272,0.8911967810498238,1.0,False,False,False,weaker neighbourhoods favoured
19,פרדס חנה-כרכור,פרדס חנה-כרכור (#19),צפון,פריפריה,44,44,550,115910.0,7.045454545454546,8,-0.0800231220446526,0.6056019702216209,-0.16821629514134492,0.2750534729152539,-0.12980435584712402,0.0022871184554002616,0.0800231220446526,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
34,נשר,נשר (#34),צפון,חיפה,19,19,387,56756.0,5.684210526315789,7,-0.06311672173574868,0.7974124518538217,-0.07822917623585753,0.7502334394346691,-0.010139295319209395,0.8424009636005514,0.06311672173574868,0.8911967810498238,1.0,False,False,False,weaker neighbourhoods favoured
36,מודיעין-מכבים-רעות*,מודיעין-מכבים-רעות* (#36),מרכז,תל אביב,29,26,383,112453.0,8.10344827586207,5,-0.057493673107203415,0.7802647713079565,0.31584665290303415,0.11598617757103331,-0.40410081332749115,1.7736415510502628e-16,0.057493673107203415,0.8911967810498238,1.0,False,False,False,weaker neighbourhoods favoured
41,ירושלים,ירושלים (#41),ירושלים,ירושלים,31,31,331,133808.0,2.7419354838709675,7,-0.05084527704882424,0.7859014702342727,0.40174046063268537,0.025077657940620682,-0.38449153722269147,4.189065612682441e-13,0.05084527704882424,0.8911967810498238,1.0,False,False,False,weaker neighbourhoods favoured
4,עפולה,עפולה (#4),צפון,פריפריה,82,82,796,162215.0,5.695121951219512,8,-0.04787918219693288,0.6692675216979407,0.028439168427750575,0.7997849981745977,-0.1865242405594938,1.1528769586423845e-07,0.04787918219693288,0.8477388608173916,1.0,False,False,False,weaker neighbourhoods favoured
12,ראשון לציון,ראשון לציון (#12),מרכז,תל אביב,71,71,643,314370.0,7.140845070422535,7,-0.0261445745887927,0.8286566560638713,0.24757713171522722,0.037377214632981944,-0.1940462184374851,7.116948738130424e-07,0.0261445745887927,0.8911967810498238,1.0,False,False,False,weaker neighbourhoods favoured
58,יקנעם עילית,יקנעם עילית (#58),צפון,חיפה,17,17,209,35450.0,6.411764705882353,8,-0.016347352281905352,0.9503466240698641,-0.012574886370696424,0.9617960672341497,-0.063973080885646,0.35744502312856985,0.016347352281905352,0.9673170994996833,1.0,False,False,False,weaker neighbourhoods favoured
0,באר שבע,באר שבע (#0),דרום,באר שבע,91,90,1313,336686.0,4.8901098901098905,9,0.002392414472298236,0.982145469854377,0.38904978956810965,0.00015082759081543767,-0.2029204582192651,1.142818672977735e-13,0.002392414472298236,0.982145469854377,1.0,False,False,False,stronger neighbourhoods favoured
24,תל אביב -יפו,תל אביב -יפו (#24),מרכז,תל אביב,87,84,512,201242.0,7.597701149425287,9,0.025686363848909124,0.8165922498809339,-0.054300012312178486,0.6237284654535646,0.2929986185418209,1.3556337632572917e-11,0.025686363848909124,0.8911967810498238,1.0,False,False,False,stronger neighbourhoods favoured
50,תל אביב -יפו,תל אביב -יפו (#50),מרכז,תל אביב,41,39,281,133038.0,8.463414634146341,7,0.027856512349524652,0.866318647214014,-0.08055414138187283,0.6259135019017279,-0.14714391987848716,0.01354758438756782,0.027856512349524652,0.8978211434763417,1.0,False,False,False,stronger neighbourhoods favoured
9,ירושלים,ירושלים (#9),ירושלים,ירושלים,55,55,663,185541.0,5.4,8,0.03629436776889881,0.7924962827178547,0.2719511314239306,0.04458497398513632,-0.18247244629045037,2.252513497887235e-06,0.03629436776889881,0.8911967810498238,1.0,False,False,False,stronger neighbourhoods favoured
21,בית שמש,בית שמש (#21),ירושלים,פריפריה,22,22,517,155665.0,3.272727272727273,7,0.03907523305223723,0.8629296232675248,0.4033943176863314,0.06265218714845282,-0.05219967191605838,0.236083859501881,0.03907523305223723,0.8978211434763417,1.0,False,False,False,stronger neighbourhoods favoured
23,חדרה,חדרה (#23),מרכז,פריפריה,33,33,512,148180.0,5.787878787878788,7,0.05898470968195253,0.7443787715954229,0.4654962907356429,0.006335638958513225,-0.011729534678167676,0.7911870490472603,0.05898470968195253,0.8911967810498238,1.0,False,False,False,stronger neighbourhoods favoured
37,בני ברק,בני ברק (#37),מרכז,תל אביב,58,57,372,286548.0,4.120689655172414,6,0.07719472427078759,0.5681702920114358,0.4138302453726603,0.0013747512397271212,-0.26420331547213183,2.3311389836487816e-07,0.07719472427078759,0.8477388608173916,1.0,False,False,False,stronger neighbourhoods favoured
31,בת ים,בת ים (#31),מרכז,תל אביב,80,78,436,258605.0,5.225,7,0.10363104689580029,0.3665778343539551,0.03476540622218294,0.762519482419231,0.05234768200632051,0.27542176051520495,0.10363104689580029,0.6529667674429824,1.0,False,False,False,stronger neighbourhoods favoured
42,מעלה אדומים,מעלה אדומים (#42),ירושלים,ירושלים,18,17,320,88950.0,5.277777777777778,7,0.12151716169712969,0.6422228462134547,0.4272287579667507,0.08718123645026163,0.22077498949783975,6.800897940110366e-05,0.12151716169712969,0.8477388608173916,1.0,False,False,False,stronger neighbourhoods favoured
62,אשלים,אשלים (#62),דרום,פריפריה,13,13,116,18510.0,5.461538461538462,6,0.13486551762359514,0.6604552550997954,-0.2669213369633654,0.37800409566426196,0.22764880882662133,0.013984550717215442,0.13486551762359514,0.8477388608173916,1.0,False,False,False,stronger neighbourhoods favoured
55,קדימה-צורן,קדימה-צורן (#55),מרכז,תל אביב,19,19,212,65734.0,8.263157894736842,4,0.1795338957431532,0.4620652800597721,-0.07752600043454344,0.7524113018737393,-0.0641711297323983,0.3524848224716187,0.1795338957431532,0.7335215825878694,1.0,False,False,False,stronger neighbourhoods favoured
29,עכו,עכו (#29),צפון,חיפה,32,32,441,83230.0,5.40625,8,0.182034453152959,0.31869834465746527,0.5542680036369914,0.0009961980237999611,-0.12840254172338306,0.006934253894896785,0.182034453152959,0.605526854849184,1.0,False,False,False,stronger neighbourhoods favoured
1,קריית שמונה,קריית שמונה (#1),צפון,פריפריה,91,91,828,128402.0,6.241758241758242,7,0.20905827724196713,0.046728377238623754,0.47920753883743133,1.5438359976332952e-06,-0.1171477264004312,0.0007315654276439131,0.20905827724196713,0.16646984391259712,1.0,True,False,False,stronger neighbourhoods favoured
54,בית שאן,בית שאן (#54),מרכז,פריפריה,44,44,222,41815.0,5.4772727272727275,8,0.3127670925977987,0.03872338002912879,0.39803463903339564,0.00745468551131796,-0.2587314455293224,9.624732753531968e-05,0.3127670925977987,0.1471488441106894,1.0,True,False,False,stronger neighbourhoods favoured
11,ירושלים,ירושלים (#11),ירושלים,ירושלים,60,57,659,322916.0,4.783333333333333,8,0.4313293584786078,0.0008087371571000451,0.27798684573248905,0.0362849369112056,0.5506244735656181,1.6377875737097826e-53,0.4313293584786078,0.015366005984900857,0.04609801795470257,True,True,True,stronger neighbourhoods favoured
