socio_unit_id,socio_cluster,population,stops,active_stops,total_stop_use,avg_trip_graph_degree,critical_stops,community,city,region,metro,stop_use_per_1000,stops_per_1000,stop_use_per_stop,critical_stop_share,active_stop_share
10850001,5.0,220.0,3,3,138,1.6666666666666667,0,47.0,כרם שלום,דרום,פריפריה,627.2727272727274,13.636363636363635,46.0,0.0,1.0
10950001,7.0,438.0,1,1,21,2.0,0,13.0,כפר מימון,דרום,פריפריה,47.94520547945205,2.28310502283105,21.0,0.0,1.0
10980001,6.0,2801.0,9,9,1339,2.888888888888889,0,6.0,מרכז שפירא,מרכז,פריפריה,478.0435558729025,3.2131381649410926,148.77777777777777,0.0,1.0
110001,8.0,575.0,9,9,381,2.4444444444444446,0,13.0,"ניר ח""ן",מרכז,פריפריה,662.608695652174,15.65217391304348,42.333333333333336,0.0,1.0
11020001,8.0,296.0,5,5,70,2.0,0,24.0,צוקי ים,מרכז,פריפריה,236.48648648648648,16.89189189189189,14.0,0.0,1.0
11030001,9.0,371.0,1,1,75,2.0,0,26.0,גני הדר,מרכז,תל אביב,202.15633423180594,2.6954177897574128,75.0,0.0,1.0
11040001,7.0,412.0,4,4,1075,4.5,0,16.0,פורייה - כפר עבודה,צפון,פריפריה,2609.2233009708734,9.70873786407767,268.75,0.0,1.0
11050001,6.0,1326.0,15,15,2922,3.0,0,16.0,פורייה - נווה עובד,צפון,פריפריה,2203.6199095022625,11.312217194570135,194.8,0.0,1.0
11080001,7.0,659.0,4,4,107,2.25,0,4.0,אומן,צפון,פריפריה,162.36722306525036,6.0698027314112295,26.75,0.0,1.0
11100001,6.0,874.0,2,2,98,3.0,0,4.0,חבר,צפון,פריפריה,112.12814645308924,2.288329519450801,49.0,0.0,1.0
11120001,7.0,964.0,2,2,62,3.0,0,5.0,יודפת,צפון,פריפריה,64.31535269709543,2.074688796680498,31.0,0.0,1.0
11130001,8.0,12142.0,35,35,5793,3.3714285714285714,0,44.0,צור הדסה,ירושלים,ירושלים,477.1042661834953,2.882556415746994,165.5142857142857,0.0,1.0
11140001,9.0,1014.0,4,4,249,3.0,0,6.0,שריגים (לי-און),מרכז,פריפריה,245.5621301775148,3.9447731755424065,62.25,0.0,1.0
11150001,6.0,474.0,6,6,124,2.0,0,1.0,אביבים,צפון,פריפריה,261.6033755274262,12.658227848101266,20.666666666666668,0.0,1.0
1120001,8.0,840.0,12,12,7675,6.416666666666667,0,34.0,כפר חסידים א',צפון,חיפה,9136.904761904763,14.285714285714285,639.5833333333334,0.0,1.0
11230001,6.0,895.0,1,1,43,3.0,0,44.0,אדרת,מרכז,פריפריה,48.04469273743017,1.1173184357541899,43.0,0.0,1.0
11240001,7.0,448.0,1,1,8,2.0,0,30.0,נאות הכיכר,דרום,פריפריה,17.857142857142858,2.232142857142857,8.0,0.0,1.0
11250001,8.0,425.0,7,7,151,2.2857142857142856,0,16.0,אלמגור,צפון,פריפריה,355.29411764705884,16.47058823529412,21.571428571428573,0.0,1.0
11260001,5.0,375.0,2,2,485,5.5,0,30.0,אילות,דרום,פריפריה,1293.3333333333333,5.333333333333333,242.5,0.0,1.0
11270001,6.0,843.0,1,1,44,3.0,0,4.0,מעלה גלבוע,מרכז,פריפריה,52.194543297746144,1.1862396204033216,44.0,0.0,1.0
11280001,8.0,361.0,95,95,23028,2.5052631578947366,0,64.0,מי עמי,צפון,פריפריה,63789.47368421053,263.1578947368421,242.4,0.0,1.0
11290001,7.0,265.0,3,3,670,3.6666666666666665,0,30.0,גרופית,דרום,פריפריה,2528.301886792453,11.320754716981131,223.33333333333334,0.0,1.0
11300001,7.0,237.0,5,5,160,2.2,0,2.0,כפר רוזנואלד (זרעית),צפון,פריפריה,675.1054852320675,21.09704641350211,32.0,0.0,1.0
1130001,4.0,280.0,2,2,98,2.0,0,4.0,אדירים,צפון,פריפריה,350.0,7.142857142857142,49.0,0.0,1.0
11320001,8.0,661.0,5,5,182,2.6,0,1.0,שניר,צפון,פריפריה,275.34039334341907,7.564296520423601,36.4,0.0,1.0
11330001,7.0,267.0,1,1,41,3.0,0,6.0,ורדון,מרכז,פריפריה,153.55805243445693,3.745318352059925,41.0,0.0,1.0
11340001,5.0,307.0,3,3,534,2.0,0,15.0,יד השמונה,ירושלים,ירושלים,1739.413680781759,9.771986970684038,178.0,0.0,1.0
11360001,7.0,452.0,5,5,191,2.0,0,47.0,צוחר,דרום,פריפריה,422.56637168141594,11.061946902654867,38.2,0.0,1.0
11370001,2.0,6555.0,18,18,7922,3.0,0,15.0,קריית יערים,ירושלים,ירושלים,1208.5430968726164,2.745995423340961,440.1111111111111,0.0,1.0
11380001,9.0,776.0,3,3,219,2.6666666666666665,0,5.0,יעד,צפון,פריפריה,282.21649484536084,3.865979381443299,73.0,0.0,1.0
11390012,2.0,4237.0,31,31,24693,3.4516129032258065,0,18.0,כרמיאל,צפון,פריפריה,5827.944300212414,7.316497521831484,796.5483870967741,0.0,1.0
11390013,3.0,3743.0,14,14,8562,3.857142857142857,0,18.0,כרמיאל,צפון,פריפריה,2287.469943895271,3.7403152551429333,611.5714285714286,0.0,1.0
11390014,4.0,3505.0,13,13,8619,4.461538461538462,0,18.0,כרמיאל,צפון,פריפריה,2459.058487874465,3.708987161198288,663.0,0.0,1.0
11390021,5.0,2624.0,8,8,1618,3.5,0,18.0,כרמיאל,צפון,פריפריה,616.6158536585366,3.048780487804878,202.25,0.0,1.0
11390022,7.0,2897.0,43,43,18713,4.372093023255814,0,18.0,כרמיאל,צפון,פריפריה,6459.440800828444,14.842940973420781,435.1860465116279,0.0,1.0
11390023,5.0,4155.0,10,10,9199,4.0,0,18.0,כרמיאל,צפון,פריפריה,2213.95908543923,2.406738868832732,919.9,0.0,1.0
11390024,6.0,4322.0,15,15,10609,4.466666666666667,0,18.0,כרמיאל,צפון,פריפריה,2454.6506247107823,3.4706154558074966,707.2666666666667,0.0,1.0
11390031,5.0,2008.0,6,6,6506,4.333333333333333,0,18.0,כרמיאל,צפון,פריפריה,3240.03984063745,2.9880478087649402,1084.3333333333333,0.0,1.0
11390032,8.0,4461.0,22,22,3308,2.6818181818181817,0,18.0,כרמיאל,צפון,פריפריה,741.5377718000449,4.931629679444071,150.36363636363637,0.0,1.0
11390033,6.0,4887.0,7,7,4000,4.142857142857143,0,18.0,כרמיאל,צפון,פריפריה,818.4980560671167,1.4323715981174545,571.4285714285714,0.0,1.0
11390034,7.0,5537.0,8,8,3907,3.625,0,18.0,כרמיאל,צפון,פריפריה,705.6167599783277,1.4448257178977786,488.375,0.0,1.0
11390035,6.0,4941.0,38,38,12225,3.1315789473684212,0,18.0,כרמיאל,צפון,פריפריה,2474.1955069823925,7.690750860149767,321.7105263157895,0.0,1.0
11400001,7.0,1938.0,3,3,527,4.333333333333333,0,62.0,מדרשת בן גוריון,דרום,פריפריה,271.9298245614035,1.5479876160990713,175.66666666666666,0.0,1.0
11410001,3.0,238.0,2,2,2148,5.0,0,36.0,מבוא מודיעים,מרכז,תל אביב,9025.210084033613,8.403361344537815,1074.0,0.0,1.0
11430001,8.0,457.0,1,1,49,2.0,0,2.0,נס עמים,צפון,חיפה,107.22100656455143,2.1881838074398248,49.0,0.0,1.0
11450001,4.0,1340.0,2,2,247,12.0,0,6.0,אלומה,מרכז,פריפריה,184.32835820895522,1.492537313432836,123.5,0.0,1.0
11460001,3.0,531.0,3,3,180,3.0,0,13.0,עלומים,דרום,פריפריה,338.9830508474576,5.649717514124294,60.0,0.0,1.0
11470001,7.0,323.0,8,8,227,2.5,0,2.0,נטועה,צפון,פריפריה,702.7863777089783,24.76780185758514,28.375,0.0,1.0
11480001,8.0,290.0,8,8,1249,3.125,0,10.0,צור נתן,מרכז,תל אביב,4306.896551724138,27.586206896551722,156.125,0.0,1.0
