removed_stop,origin_stop,destination_stop,baseline_seconds,detour_seconds
41133,2027,34166,6328.0,85.0
41133,47906,9869,5313.0,34.0
41133,5956,10526,8864.0,56.0
41133,16383,44833,3347.0,63.0
41133,9260,20988,6825.0,90.0
41133,37685,10189,3041.0,189.0
41133,34213,3389,7255.0,143.0
41133,37480,44007,2537.0,125.0
41133,9260,50329,5088.0,90.0
41133,4113,8225,5805.0,39.5
41133,9260,28612,4106.0,128.0
41133,40210,44882,2102.0,209.0
41133,11191,8615,2928.0,69.0
41133,28849,8696,3464.0,23.0
41133,49928,41183,6362.0,143.0
41133,9260,15510,3763.0,114.0
41133,10298,21002,6691.0,14.0
41133,34213,5638,7980.0,31.0
41133,11789,41363,7609.0,249.0
41133,41537,8763,5763.0,54.0
41133,4815,50118,6299.0,90.0
41133,49928,48817,3199.0,143.0
41133,24554,11546,3866.0,105.0
41133,211,11529,4448.0,120.0
41133,838,37733,3374.0,244.0
41133,27774,11347,6582.0,93.0
41133,41509,21408,3523.0,19.0
41133,9592,5328,7117.0,31.0
41133,16602,10225,3013.0,43.0
41133,21019,34835,6576.0,93.0
41133,10298,11194,1088.0,337.0
41133,10298,219,4741.0,108.0
41133,27742,47119,3286.0,23.0
41133,5956,11548,8394.0,56.0
41133,11340,49441,7016.0,56.0
41133,40210,35826,6054.0,355.5
41133,16338,41224,3681.0,67.0
41133,9592,655,4406.0,60.0
41133,25913,11650,3153.0,20.0
41133,1167,34864,6047.0,63.0
41133,2260,8733,6659.0,8.0
41133,21432,9658,2325.0,154.0
41133,6002,42147,7907.0,13.0
41133,11789,16254,3781.0,7.0
41133,27230,10117,4932.0,143.0
41133,34213,4311,8812.0,31.0
41133,28288,34686,6376.0,143.0
41133,41509,24874,5252.0,27.0
41133,50275,9257,5274.0,244.0
41133,27949,9488,4717.0,11.0
41133,41617,8594,9624.0,56.0
41133,49928,39564,4458.0,143.0
41133,10298,10866,2494.0,34.0
41133,42855,12290,6835.0,63.0
41133,47827,11836,7769.0,56.0
41133,27949,10315,4983.0,29.0
41133,37472,11147,4017.0,137.0
41133,49665,34954,5480.0,105.0
41133,28622,9819,4576.0,155.0
41133,37472,8700,3085.0,63.0
41133,13051,40205,2779.0,147.0
41133,40210,3676,6395.0,469.0
41133,9260,4665,6717.0,90.0
41133,24251,8871,3846.0,63.0
41133,3379,43149,6770.0,20.0
41133,44786,8367,4106.0,97.0
41133,50275,9123,5276.0,152.0
41133,2543,11202,5655.0,144.0
41133,47827,42012,7672.0,146.0
41133,40210,3861,4596.0,355.5
41133,10298,42584,5354.0,72.0
41133,49928,11599,1072.0,146.0
41133,34345,11265,3485.0,109.0
41133,36491,11242,2721.0,7.0
41133,34213,51864,6151.0,143.0
41133,13774,10655,3647.0,42.0
41133,15455,10228,3210.5,20.0
41133,6590,8841,7782.0,109.0
41133,41886,9465,4004.0,51.0
41133,991,11156,3867.0,277.0
41133,11191,10296,1284.0,165.0
41133,8794,37024,4105.0,137.0
41133,10298,25264,3296.0,20.0
41133,40210,1797,5024.0,549.0
41133,879,46717,3447.0,63.0
41133,49457,41499,7550.0,155.0
41133,34350,43398,4361.0,117.0
41133,48381,11340,5037.0,56.0
27689,28279,21030,10245.0,600.0
27689,28279,2558,10542.0,636.0
27689,27775,19093,8870.0,518.0
27689,3725,39773,8235.0,37.0
27689,34345,44755,5845.0,84.0
27689,28138,27196,2365.0,15.0
27689,26635,35818,10124.0,769.0
27689,48347,40725,7202.0,172.0
27689,48347,49561,7858.0,448.0
27689,26916,29439,5633.0,53.0
27689,28266,2191,9779.0,287.0
27689,49936,27810,3588.0,288.0
27689,5956,26683,10703.0,311.0
27689,29102,1355,17862.0,282.0
27689,49960,41618,11912.0,117.5
27689,50842,49905,18330.0,353.0
27689,43475,39287,10265.0,27.0
27689,22123,48882,4498.0,191.0
27689,3725,27059,9811.0,88.0
27689,27775,48815,6530.0,122.0
27689,28225,40929,10138.0,199.0
27689,28288,43222,2333.0,201.0
27689,29096,6131,20312.0,140.5
27689,3379,39376,7826.0,63.0
27689,40481,14230,4937.5,156.5
27689,43670,6091,11417.0,317.0
27689,27774,39049,7459.0,73.0
27689,14133,28386,4827.0,270.0
27689,19782,43136,12973.5,92.5
27689,27774,38155,6199.0,12.0
27689,26820,18395,11682.0,130.0
27689,26916,14851,6464.0,53.0
27689,35825,40140,9001.0,190.5
27689,25186,12801,4469.0,181.0
27689,29102,51322,18861.0,234.0
27689,28138,35897,6765.0,252.0
27689,5956,26762,10922.0,30.0
27689,4815,12299,9440.0,425.0
27689,43475,7302,9168.0,73.0
27689,40481,16625,4250.5,68.5
27689,48347,10526,5158.0,14.0
27689,20948,48346,8478.0,266.5
27689,34345,26758,6879.0,60.0
27689,26635,6508,11478.0,229.0
27689,50848,10712,5541.0,131.0
27689,49457,37194,11297.0,73.5
27689,22825,25465,5382.0,25.0
27689,28754,17214,8530.5,115.0
27689,27852,41572,9632.0,119.0
27689,26820,10974,5060.0,4.0
27689,6002,40145,9108.0,53.5
27689,2543,25530,8985.0,5.0
27689,43475,11089,3834.0,37.0
27689,6298,38674,7434.0,335.0
27689,43366,10468,5031.0,28.0
27689,28754,3876,10015.5,231.0
27689,28138,11708,4697.0,116.0
27689,28288,43657,4856.0,180.0
27689,43670,2485,10666.0,416.0
27689,50807,42117,22151.5,174.5
27689,40481,43424,8352.5,123.5
27689,18919,26883,10397.0,67.0
27689,28138,50070,8531.0,252.0
27689,18919,27822,10148.0,160.0
27689,27774,39323,3399.0,20.0
27689,48321,49464,10552.0,287.0
27689,27852,3092,7939.0,158.0
27689,50848,6984,8290.0,239.0
27689,43670,19235,11783.0,136.0
27689,28138,11414,5145.0,152.0
27689,34345,40080,5942.0,25.0
27689,26820,21266,11173.0,112.0
27689,5102,37091,7690.0,521.0
27689,28889,7053,10491.0,9.0
27689,48381,47253,5024.0,53.0
27689,43475,9652,4963.0,88.0
27689,1398,26867,7426.5,195.5
27689,28266,17003,7859.0,231.0
27689,47768,12535,7676.0,291.0
27689,40292,50405,8634.0,285.0
27689,28754,23433,5673.5,42.0
27689,44199,24414,5110.0,83.0
27689,11789,44608,7233.0,39.0
27689,6298,27652,6835.0,444.0
27689,28341,14027,4428.5,159.5
27689,13522,41419,6104.5,76.0
27689,28889,35528,10352.5,154.5
27689,49960,20410,12096.0,277.5
27689,1516,44597,7795.0,362.0
27689,28769,20871,12092.5,194.5
27689,44876,26765,3923.0,43.0
27689,2260,49806,19833.0,241.5
27689,4726,37216,7452.0,518.0
27689,27859,20367,9672.0,65.5
27689,20011,26710,8661.0,181.5
27689,3725,29243,6957.0,453.0
27689,48381,18758,10072.0,185.0
27689,29096,3122,19045.0,197.5
27689,41632,28769,10381.0,54.0
27689,44199,20083,11024.5,160.0
27689,1516,28212,7834.0,362.0
27689,27774,3446,9366.0,320.0
27689,43670,2782,10437.0,287.0
27689,28225,17226,6748.0,331.0
27689,44199,42872,4768.0,81.0
27689,40426,50521,7492.0,291.0
27689,44199,19743,11535.5,153.5
27689,40481,28657,2871.0,5.0
27689,28569,2311,10017.0,112.0
27689,26635,38559,9579.0,484.5
27689,40292,41180,10288.0,6.0
27689,40481,3756,8258.5,160.5
27689,26119,14248,5528.0,93.0
27689,24831,27782,3420.0,112.0
27689,40481,38208,12266.5,43.5
27689,28279,1980,10535.0,490.0
27689,14149,26645,8600.0,66.0
27689,48381,10628,5012.0,65.0
27689,28288,13205,4880.0,334.0
27689,29096,19284,19934.0,141.5
27689,28225,6878,6958.0,280.0
27689,29096,50657,20669.0,140.5
27689,29096,4490,18368.0,453.0
27689,27775,1363,8146.0,183.0
27689,27852,43912,7410.0,524.0
27689,9592,44483,5248.0,1.0
27689,44199,17070,7976.0,549.0
27689,26820,18233,11667.0,54.0
27689,44199,5395,8779.0,58.0
27689,16637,27615,4851.0,282.0
27689,10830,29160,2764.5,25.5
27689,26820,50813,12128.5,45.0
27689,43366,40651,5037.0,78.0
27689,14149,27814,5602.0,87.0
27689,48347,9508,5329.0,14.0
27689,49960,34528,8334.0,146.0
27689,49457,48805,6390.0,184.0
27689,28288,19727,8123.0,204.0
27689,35825,28813,10232.0,365.5
27689,36981,44123,3767.0,40.0
27689,48722,48059,3812.0,19.0
27689,991,28377,4900.0,176.0
27689,42765,40118,8704.0,225.5
27689,12531,4947,15746.0,572.0
27689,28889,25434,6803.5,172.0
27689,48347,3829,8646.0,8.0
27689,23470,25474,4649.0,100.0
27689,28288,83,4777.0,23.0
27689,44287,2149,8389.0,414.0
27689,27668,6265,8456.0,452.0
27689,26905,4865,9124.0,361.0
27689,6298,26606,7460.0,617.0
27689,29096,41636,20932.0,145.5
27689,29102,19642,19771.0,228.0
27689,48722,43589,3620.0,81.0
27689,28569,3796,10084.0,272.0
27689,18022,28478,9539.0,37.0
27689,18919,38395,11674.5,101.0
27689,28225,35767,8799.0,112.0
27689,28889,38922,7056.0,134.0
27689,48381,35850,8404.0,550.0
27689,26635,35909,8363.0,600.0
27689,36981,25789,4096.0,168.0
27689,42606,49900,18163.0,339.0
27689,28341,35532,10230.5,146.5
27689,28889,44711,6549.0,550.0
27689,28225,4195,7927.0,418.0
27689,27230,48181,7214.0,216.0
27689,47827,27608,9970.0,19.0
27689,28341,10527,4362.5,1.5
27689,4608,45017,7736.0,618.0
27689,27852,35090,11278.0,33.0
27689,28569,38326,6686.5,137.0
27689,28266,38468,7946.5,255.0
27689,47906,48766,6114.0,225.0
27689,4754,25709,8685.0,497.0
27689,46917,28328,6232.0,48.0
27689,35825,28203,9844.0,273.0
27689,28288,10394,4632.0,138.0
27689,12531,21530,12188.0,76.0
27689,40481,2381,7737.5,334.5
27689,48347,41945,10560.0,1.0
27689,27668,49901,4803.0,12.0
27689,34350,41855,8192.0,141.0
27689,42855,40152,5396.0,64.0
27689,48381,38494,6941.5,589.0
27689,26820,18005,11377.0,54.0
27689,28266,1449,8121.0,229.0
27689,27668,20309,10640.0,129.0
27689,46701,44323,9718.0,3.5
27689,40481,3628,7803.5,212.5
27689,28569,18327,12408.0,147.0
27689,50848,1897,9413.0,72.0
27689,50122,28834,9953.0,194.0
27689,40292,29225,9013.0,382.5
27689,28266,6625,11940.0,29.0
27689,29225,2034,9127.0,183.0
27689,18315,44754,11403.0,146.0
27689,48381,9841,4961.0,53.0
27689,28849,40462,4312.5,9.5
