stop_id,stop_name,own_community,connected_communities,degree,lat,lon
48564,שדרות לוי אשכול/מארק שאגאל,32,1,8,32.116694,34.790188
48877,גשר אם המושבות,12,1,7,32.099237,34.846378
48910,מסוף כרמלית,0,1,46,32.066858,34.766001
49142,דנקנר,1,1,11,32.090949,34.872167
49111,כ''ט בנובמבר,14,1,21,32.010852,34.7515
49137,שאול המלך,18,1,25,32.076636,34.792005
49130,דנקנר,1,1,11,32.090949,34.872167
49126,העמל,33,1,26,32.005878,34.74897
49124,קרליבך,18,1,29,32.065272,34.782824
49120,קרול,19,1,21,32.091913,34.877506
49114,מחרוזת,14,1,17,32.033272,34.751559
49110,ארלוזורוב,29,1,60,32.081554,34.796524
49075,משה דיין/ שד' אריאל שרון,27,1,22,31.937165,34.853316
49108,מחרוזת,14,1,17,32.033272,34.751559
49102,גשר אם המושבות,12,1,7,32.099237,34.846378
49100,קרליבך,18,1,29,32.065272,34.782824
49098,קרול,19,1,21,32.091913,34.877506
49094,ביאליק,29,1,18,32.087285,34.812851
49093,ארלוזורוב,29,1,60,32.081554,34.796524
48561,הירקונים/יונה גרין,22,1,17,32.098341,34.89634
48543,הרב גורן/חיים בר לב,15,1,11,32.059008,34.845697
48509,ההסתדרות/יהושע חנקין,16,1,15,32.017417,34.777456
44762,שד' אריאל שרון/משה דיין,27,1,18,31.937712,34.853335
45040,אבן גבירול/ז'בוטינסקי,35,1,17,32.088644,34.782306
45039,אבן גבירול/ארלוזורוב,18,1,19,32.084806,34.781547
45038,אבן גבירול/ארלוזורוב,18,1,21,32.084898,34.781789
44966,אודם/חושן,26,1,11,31.943028,34.828764
44900,קאנטרי חולון/הלוחמים,25,1,17,32.030885,34.770591
44763,שד' אריאל שרון/משה דיין,27,1,21,31.937021,34.852492
44692,הקוממיות/אנה פרנק,33,1,24,32.002782,34.752376
48437,הגדוד העברי/שדרות הר ציון,3,1,106,32.058879,34.778131
44687,כיכר מילאנו/יהודה המכבי,35,1,15,32.093956,34.784624
44587,מסוף ניסנבאום/דרך מנחם בגין,33,1,11,32.001144,34.745841
44470,חוף פרישמן,35,1,9,32.080415,34.768444
44466,חוף בננה ביץ',0,1,36,32.070602,34.763816
44465,חוף ירושלים,11,1,13,32.073296,34.764793
44463,חוף גורדון,35,1,11,32.082504,34.769654
45041,אבן גבירול/ז'בוטינסקי,35,1,17,32.08874,34.782552
45051,מסוף כרמלית/הורדה,0,1,40,32.067287,34.765823
46347,יטקובסקי אחים/לוחמי הגטו,1,1,23,32.077789,34.875464
46350,אהרון מסקין/יטקובסקי אחים,1,1,24,32.077584,34.875622
46486,לוחמי הגטו/יטקובסקי אחים,1,1,23,32.078038,34.875829
47254,יטקובסקי אחים/אליהו דוד שולזינגר,1,1,23,32.077646,34.877452
47398,צ'לנוב/הגדוד העברי,11,1,50,32.059733,34.775866
47406,כיכר רבין/אבן גבירול,18,1,32,32.079138,34.781405
47423,צ'לנוב/מטלון,3,1,99,32.057836,34.775157
47442,דרך שלמה/שוקן,11,1,30,32.054769,34.772546
47678,מסוף כרמלית/הורדה,0,1,40,32.067287,34.765823
47679,מסוף כרמלית,0,1,38,32.067294,34.765425
47757,מסוף כרמלית,0,1,38,32.067294,34.765425
47812,מסוף כרמלית,0,1,38,32.067294,34.765425
48171,מסוף כרמלית/הורדה,0,1,40,32.067287,34.765823
48249,ת.רק''ל כ''ט בנובמבר/הרב ניסנבאום,14,1,29,32.011119,34.751466
48435,הרצל/דרך קיבוץ גלויות,11,1,21,32.050721,34.769837
49138,כ''ט בנובמבר,14,1,21,32.010852,34.7515
49145,ביאליק,29,1,18,32.087285,34.812851
44461,פרישמן/דב הוז,18,1,16,32.079849,34.772121
50498,הרצל/וולפסון,11,1,36,32.058222,34.770874
50639,העלייה/דרך שלמה,11,1,31,32.05518,34.772258
50633,ת.רכבת בני ברק/לח''י,6,1,16,32.103622,34.832543
50631,אזור תעשייה/לח''י,12,1,15,32.103059,34.837738
50627,אזור תעשייה/לח''י,12,1,15,32.103272,34.83687
50625,ת.רכבת בני ברק/לח''י,6,1,17,32.103615,34.831393
50499,נחלת בנימין/לילנבלום,11,1,49,32.062088,34.77212
50497,הרצל/יהודה הלוי,11,1,44,32.061828,34.770272
50875,מסוף ההגנה/הורדה,3,1,90,32.054691,34.784
50480,ת.רק''ל שאול המלך/דרך מנחם בגין,18,1,27,32.076946,34.792065
50445,יגאל אלון/תוצרת הארץ,18,1,24,32.074065,34.79524
50385,ת.רק''ל ארלוזורוב/דרך מנחם בגין,29,1,59,32.080749,34.796416
50380,העצמאות/אידלמן,23,1,17,32.074469,34.880129
50225,הסיבים/טובה ושמשון דרנגר,1,1,20,32.084742,34.856153
50223,יצחק ויטנברג/שחם,1,1,15,32.079904,34.858209
50787,דרך רון ארד/עוזי חיטמן,26,1,15,31.946403,34.831421
50878,מסוף ההגנה/איסוף,3,1,90,32.054507,34.783761
49149,שאול המלך,18,1,25,32.076636,34.792005
51641,דרך מנחם בגין/דרך נמיר,18,1,33,32.078307,34.793389
51963,חוף גורדון,35,1,10,32.081934,34.768527
51943,בן אליעזר/פנחס רוטנברג,20,1,14,32.063112,34.832646
51895,טיילת חתני פרס ישראל/הפעמון,4,1,9,31.94076,34.85184
51881,טיילת חתני פרס ישראל/מפוחית,4,1,10,31.940858,34.850552
51873,טיילת חתני פרס ישראל/שדרות נעמי שמר,4,1,8,31.940125,34.842596
51792,רמלה-ק.האומנים,36,1,7,31.916059,34.864888
51635,שדרות שאול המלך/הנרייטה סולד,18,1,24,32.078028,34.791765
50988,שער דרום החדש,30,1,8,32.038248,34.846838
51418,לבון/דרך קיבוץ גלויות,11,1,19,32.049015,34.773123
51284,דרך נמיר/שדרות שאול המלך,18,1,36,32.078509,34.793016
51227,מסוף ההגנה/איסוף,3,1,90,32.054507,34.783761
51074,מלצ'ט/בורוכוב,18,1,33,32.071392,34.776463
51072,המכבי/טשרניחובסקי,11,1,33,32.071683,34.771316
51069,גן מאיר/טשרניחובסקי,11,1,28,32.073754,34.772519
50189,יצחק ויטנברג/שחם,1,1,16,32.080043,34.857509
50173,יצחק אלחנן/הכובשים,0,1,41,32.066312,34.764455
50132,תחנת מוניות תל אביב הירקון,11,1,18,32.072117,34.766092
49236,ת.רק''ל קרליבך/דרך מנחם בגין B,18,1,30,32.065523,34.783296
49929,המלך ג'ורג'/אלנבי,11,1,29,32.070264,34.771042
49927,יוחנן הסנדלר/שיינקין,11,1,34,32.069415,34.773389
49715,נחלת יצחק/יגאל אלון,18,1,28,32.075127,34.796167
49697,פארק החורשות/לבון,25,1,18,32.045706,34.772189
49486,ת.רק''ל ארלוזורוב/על פרשת דרכים,29,1,62,32.081639,34.796103
49327,יעקב פיכמן/ההסתדרות,16,1,21,32.016886,34.775396
49212,דרך מנחם בגין/הרכבת,11,1,30,32.063524,34.779788
50130,שלמה לוי/ירושלים,21,1,8,31.960491,34.828193
49210,ת.רק''ל קרליבך/דרך מנחם בגין A,18,1,30,32.065556,34.783121
49193,הזיתים/הגפן,1,1,20,32.084867,34.852284
49186,מרכז מסחרי אור בגבעה/ירושלים,1,1,18,32.086134,34.851923
49164,רבניצקי/בן ציון גליס,22,1,11,32.104803,34.891986
49153,העמל,33,1,26,32.005878,34.74897
49152,גשר אם המושבות,12,1,7,32.099237,34.846378
49936,דרך מנחם בגין/אלנבי,11,1,54,32.060498,34.775367
49937,שיינקין/אלנבי,11,1,30,32.069787,34.770716
49938,דיזנגוף סנטר/המלך ג'ורג',18,1,29,32.075397,34.776195
49943,מלצ'ט/שיינקין,11,1,41,32.068394,34.77565
49946,שדרות רוטשילד/אלנבי,11,1,48,32.063556,34.772773
49950,העבודה/המלך ג'ורג',11,1,32,32.070807,34.772299
49953,המלך ג'ורג'/אלנבי,11,1,29,32.070252,34.771205
49981,ד''ר ג'ורג' וייז/שלום רוזנפלד,32,1,16,32.107177,34.805353
49982,יוסף סרלין/סוקולוב,28,1,7,32.023025,34.78554
49986,יוסף סרלין/זאב ז'בוטינסקי,16,1,7,32.025205,34.784111
49993,יוסף סרלין/זאב ז'בוטינסקי,16,1,7,32.024364,34.784369
49994,כיכר הלוחמים/מקווה ישראל,16,1,11,32.028623,34.774417
50007,שדרות הרצל/שדרות חיים וייצמן,27,1,13,31.931585,34.86911
50032,הרב משה שמואל שפירא/שביט,26,1,12,31.94415,34.829448
50058,הרב משה שמואל שפירא/שביט,26,1,11,31.943792,34.829566
50117,תחנות מוניות תל אביב איצטדיון בני יהודה,11,1,8,32.049545,34.786635
50126,שלמה לוי/שער יפו,21,1,9,31.962154,34.827882
44462,גורדון/דב הוז,35,1,18,32.081955,34.772622
44460,אצטדיון בלומפילד/דרך קיבוץ גלויות,25,1,21,32.053426,34.763966
29629,נרדור/מחרוזת,25,1,23,32.033542,34.757432
37805,דרך מנחם בגין/כורש,5,1,13,31.998446,34.743239
38067,תחנת מוניות פתח תקווה שלום צלח והמלך כורש,10,1,18,32.076373,34.911581
37904,תחנת מוניות תל אביב הכובשים,0,1,46,32.068802,34.765734
37901,תחנת מוניות תל אביב לוינסקי הר ציון,3,1,110,32.057666,34.777385
37900,תחנת מוניות תל אביב לוינסקי הר ציון,3,1,109,32.058166,34.777146
37899,תחנת מוניות תל אביב דרך שלמה,3,1,105,32.054237,34.778943
37898,תחנת מוניות תל אביב דרך שלמה,3,1,101,32.05408,34.778682
37572,הזיתים/הגפן,1,1,20,32.084998,34.852056
38069,תחנת מוניות פתח תקווה שלום צלח,10,1,24,32.074754,34.910369
37571,מרכז ספורט/האתרוג,1,1,20,32.082595,34.854488
37529,דרך שלמה/שד' הר ציון,3,1,73,32.054906,34.774122
37360,תא אוניברסיטה,32,1,18,32.103516,34.804499
