mode_label,stop_id,stop_calls
bus,48005,329
bus,26057,215
bus,26056,215
bus,26046,383
bus,27416,413
bus,26052,1156
bus,26022,1156
bus,28677,1156
bus,28663,1156
bus,25852,1156
bus,35404,2913
bus,8758,2441
bus,11833,2441
bus,9954,3477
bus,8718,2981
bus,8719,2973
bus,8720,2981
bus,8721,2981
bus,8722,2981
bus,8723,2981
bus,8724,2981
bus,8725,2981
bus,40027,2957
bus,8760,2441
bus,10029,2441
bus,8762,2441
bus,8763,2441
bus,10032,2146
bus,8764,2441
bus,8765,2441
bus,9959,8850
bus,8793,5187
bus,8794,5181
bus,9352,4918
bus,8707,4076
bus,8705,4076
bus,8704,4076
bus,8667,2424
bus,8664,2966
bus,8835,2958
bus,8662,2964
bus,8836,2964
bus,8658,2964
bus,8656,2964
bus,8654,2956
bus,8652,2964
bus,9450,2964
bus,8648,2964
bus,8646,2957
bus,8644,2387
bus,8643,2167
bus,8641,2167
bus,8639,3537
bus,10131,1613
bus,8844,1253
bus,8845,1253
bus,8846,1253
bus,8847,1253
bus,8848,1253
bus,9498,1631
bus,9500,1375
bus,9488,1595
bus,11649,1488
bus,11741,1825
bus,11726,3251
bus,9353,1584
bus,9575,1584
bus,11567,1584
bus,9355,1584
bus,8755,2748
bus,44961,5183
bus,44962,2555
bus,45042,2196
bus,10784,2829
bus,10785,2784
bus,10683,2473
bus,11610,2572
bus,37785,3970
bus,49737,5149
bus,8636,6712
bus,10790,7679
bus,10765,2117
bus,8828,2186
bus,8829,1009
bus,8830,1959
bus,8831,1959
bus,9994,1916
bus,11636,932
bus,8818,2383
bus,8819,2515
bus,8820,2515
bus,8821,2515
bus,41242,2077
bus,41239,2077
bus,41243,2077
bus,8676,2797
bus,8678,2797
bus,8680,2797
bus,51267,1906
bus,47116,1907
bus,8681,2775
bus,8679,2775
bus,8677,2775
bus,41244,1935
bus,41240,1935
bus,41241,1935
bus,8682,2395
bus,8683,2395
bus,8684,2395
bus,8832,2322
bus,10247,907
bus,8668,2321
bus,8824,1902
bus,8825,1899
bus,9814,2065
bus,8827,2087
bus,10069,2065
bus,10716,8696
bus,47982,5651
bus,37251,5479
bus,10644,5095
bus,9445,6002
bus,44963,2981
bus,44960,5899
bus,8703,4814
bus,8706,4790
bus,8708,4440
bus,8710,4552
bus,8756,5557
bus,8757,5550
bus,49466,6668
bus,10757,3703
bus,8617,3232
bus,10414,911
bus,10264,3488
bus,10225,2834
bus,8797,1935
bus,10370,1935
bus,10371,1910
bus,8799,2416
bus,10372,2416
bus,8807,2410
bus,8808,2410
bus,8809,2410
bus,10228,2416
bus,8811,2416
bus,8812,2453
bus,8813,2420
bus,8814,2420
bus,8802,2410
bus,8803,2410
bus,8804,2416
bus,10229,2416
bus,8805,2416
bus,43794,2733
bus,11478,2801
bus,8733,4912
bus,9564,4409
bus,10274,1218
bus,9295,1218
bus,9592,1218
bus,9331,1218
bus,9332,1218
bus,11910,1989
bus,9322,514
bus,10017,514
bus,9323,514
bus,9368,869
bus,9369,869
bus,9728,869
bus,9381,2441
bus,9382,2441
bus,9458,1098
bus,51368,2467
bus,9399,2469
bus,9603,1694
bus,9402,1694
bus,9405,1797
bus,9396,1112
bus,9401,1459
bus,9665,858
bus,9410,522
bus,9606,522
bus,11596,522
bus,9418,522
bus,46206,1131
bus,9423,2799
bus,9636,2097
bus,10165,3203
bus,10263,3203
bus,9884,3615
bus,10136,3648
bus,9586,2658
bus,11799,1828
bus,11510,1828
bus,42300,3624
bus,8857,1386
bus,9681,1724
bus,50932,1584
bus,11742,2019
bus,10123,1681
bus,10124,1713
bus,9711,1352
bus,11793,1722
bus,9560,2897
bus,9561,937
bus,9558,937
bus,9556,937
bus,9427,640
bus,9424,1745
bus,9421,1448
bus,9552,3126
bus,9894,1881
bus,9741,1117
bus,9297,750
bus,9298,750
bus,10704,2003
bus,11228,2109
bus,9296,910
bus,11226,1219
bus,9866,1207
bus,10224,1207
bus,9867,1127
bus,9710,1013
bus,11702,1100
bus,10629,1100
bus,9674,2978
bus,10773,1155
bus,10322,825
bus,10514,6739
bus,10775,9490
bus,49354,2256
bus,10786,2264
bus,9589,2277
bus,9485,3630
bus,9623,3536
bus,9489,883
bus,9490,883
bus,11512,883
bus,34267,1532
bus,9609,1542
bus,9494,1542
bus,8854,1351
bus,8855,1351
bus,9503,2748
bus,9504,2748
bus,9505,2748
bus,43847,2760
bus,43850,2695
bus,43851,2695
bus,43848,2760
