stop_id,stop_name,lat,lon,region,metro,degree
19277,שעב/כביש ראשי,32.891716,35.235377,North,Periphery,5
15836,מסעף צפריה,32.013734,34.846019,Center,Tel Aviv,5
15949,מחמוד דרוויש/אלבוחארי,32.257506,35.006394,Center,Tel Aviv,5
16867,מחנה תל נוף,31.822281,34.8195,Center,Tel Aviv,5
24706,מכבים/בזלת,31.990975,34.947277,Center,Tel Aviv,5
17054,מסעף עוקף דליה,32.687855,35.064731,North,Haifa,5
20680,צומת כפר יהושע,32.682793,35.121891,North,Haifa,5
13733,יהודה המכבי/דרך נמיר,32.094067,34.792836,Center,Tel Aviv,5
12757,מסוף אגד/קניון פרץ סנטר,31.060742,35.019583,South,Periphery,5
21512,בן גוריון/כצנלסון,31.966323,34.789799,Center,Tel Aviv,5
17225,מרכז רפואי שהם/דרך הנדיב,32.48604,34.9704,Center,Periphery,5
12274,צומת באר אורה/נמל תעופה רמון,29.706043,34.996958,South,Periphery,5
12289,מסעף קבוץ עין גדי,31.447822,35.389684,South,Periphery,5
1542,הרימון/רויטל,32.519883,35.009102,North,Periphery,5
18409,אצ''ל/דרך הרב חיים חורי,32.958462,35.492895,North,Periphery,5
19446,ישיבת הסדר,32.843399,35.792611,North,Periphery,5
10794,מסעף נחושה,31.646951,34.925501,Center,Periphery,5
18578,הנחלים/הר וגיא,32.961167,35.507742,North,Periphery,5
19458,הגיבורים/השיטה,32.655414,35.105809,North,Haifa,5
37306,נתב''ג,32.00036,34.870481,Center,Tel Aviv,4
18970,כפר גלעדי,33.242363,35.574841,North,Periphery,4
35918,עין איברהים/יציאה,32.534618,35.148166,North,Periphery,4
19202,כנסייה קתולית ב,32.887264,35.409162,North,Periphery,4
19221,העיר הוותיקה ג,32.889224,35.403877,North,Periphery,4
17047,הרב שמעונוביץ/הרב קוק,32.748699,35.100063,North,Haifa,4
37358,תל אביב מרכז,32.083715,34.798247,Center,Tel Aviv,4
35771,רפא''ל,32.860258,35.087302,North,Haifa,4
34304,לשם/הברקת,32.78565,35.466494,North,Periphery,4
37733,לוחמי הגטאות/בר כוכבא,31.800809,35.240515,Jerusalem,Jerusalem,4
5745,כפר חיטים,32.799196,35.500654,North,Periphery,4
37734,לוחמי הגטאות/בר כוכבא,31.800798,35.240211,Jerusalem,Jerusalem,4
37834,גן החיות התנ''כי,31.745478,35.177038,Jerusalem,Jerusalem,4
35917,עין איברהים/כניסה,32.534699,35.148213,North,Periphery,4
18225,מסעף נבי סבלאן,33.015239,35.345665,North,Periphery,4
51868,הרב ניסים טולדנו/דגן,31.952068,34.848284,Center,Tel Aviv,4
