from_stop,to_stop,trip_frequency
35592,7587,313
7574,7556,312
10996,10591,312
4915,4510,312
13585,13583,312
13390,13389,312
49226,13277,312
13419,13421,312
9456,9388,312
13113,13128,312
9564,9546,312
1899,1900,312
14030,14031,312
1873,1899,312
7490,7392,312
13523,13501,312
7603,7389,312
36928,7531,312
9457,9633,311
23298,23299,311
13237,14339,311
24401,24400,311
14342,43274,311
1900,1915,311
13688,14472,310
9429,10710,310
23193,15557,310
24404,24401,310
302,291,310
5706,5707,310
12885,12828,310
11581,9464,310
10588,9560,310
5707,5708,310
16371,16375,309
9385,9584,309
1645,1656,309
13683,13688,309
9019,9020,309
10851,9021,309
9020,10851,309
29368,14052,309
12815,13263,309
17317,35835,308
9432,11574,308
9674,11507,308
10464,8938,308
8684,8832,308
3372,3521,308
7653,7499,308
7502,7503,308
7499,7500,308
15594,24279,308
7500,7502,308
9730,11792,308
35589,36928,307
9046,44961,307
15593,22825,307
16376,16371,307
23913,23937,307
18387,18386,307
11284,11071,307
8941,11561,307
16214,16220,307
7567,35589,307
25133,25134,307
13120,13101,307
14205,13029,307
9464,8877,307
2360,3422,306
11026,11031,306
90,15817,306
9841,9845,306
19468,4706,306
9372,10779,306
24468,29342,306
48515,48512,306
18141,18155,306
13143,12893,306
18116,18117,306
23116,23117,305
9954,8718,305
9845,9846,305
7383,7384,305
277,274,305
4530,4512,305
506,333,305
5085,18370,305
10658,10036,304
40026,40778,304
10053,10658,304
40776,13203,304
35170,275,304
13333,13207,304
9636,10165,304
25663,26846,304
5268,5673,303
7478,7349,303
9846,10050,303
24722,15696,303
7477,7478,303
10050,10051,303
35458,35457,303
7910,8074,303
10051,9847,303
13354,13154,303
9847,9842,303
7294,35613,303
8491,8490,302
16894,23116,302
10226,10716,302
23115,16894,302
8818,8819,302
13140,13333,302
8493,8491,302
50485,14607,301
5618,5619,301
43698,36985,301
11616,10035,301
21368,46923,301
10785,49354,301
5617,5618,301
13679,13127,301
7587,8502,301
7577,7578,301
10775,40026,301
13714,13712,301
8490,8489,301
1860,1861,301
7575,7576,301
9743,10015,301
49226,51270,300
8672,8668,300
35829,35460,300
16205,25278,300
3914,3921,300
3912,3914,300
10054,10055,300
9848,9844,300
20642,18085,300
13561,13582,300
42777,264,300
10037,10054,300
7557,7546,300
3953,2655,299
42126,7550,299
50497,13540,299
4532,4507,299
7576,7577,299
1849,3521,299
28637,26131,299
7315,36931,299
23954,23952,299
11910,9593,299
8496,7315,299
13720,13714,299
38868,36984,299
36985,38872,299
