from_stop,to_stop,trip_frequency
24014,24030,752
40026,9181,752
1869,1862,752
1900,1915,751
1872,1873,750
2558,1872,750
9484,8961,750
9487,9484,750
1863,2558,750
3910,3908,749
14205,13029,749
13509,13164,748
9023,9024,748
90,15817,748
13320,51641,747
43281,43280,746
48363,13204,745
43283,43281,744
12981,12969,744
25978,25979,744
1435,1436,743
13800,13112,743
9054,37785,743
13615,13617,742
13617,13610,742
35837,35501,742
1873,1899,742
12910,13734,742
13474,13469,741
13786,13774,741
24114,24116,740
1437,3910,740
3920,1435,740
45042,10784,740
50497,13540,739
9621,9695,739
2429,3090,739
8645,10712,739
10323,9621,739
9469,11637,737
47442,47423,737
10746,9469,737
13389,13369,737
2428,2429,736
10514,40026,735
43275,43271,734
7366,7367,734
29480,13103,734
7364,7365,734
7365,7366,734
11715,11562,734
745,24402,734
1436,1437,734
13733,13067,733
7368,7369,732
7367,7368,732
15563,15564,731
2859,2145,731
45041,44589,731
2147,2139,731
2145,2146,731
2146,2147,731
10114,10112,730
8683,8684,730
13523,13501,729
13487,13488,729
13419,13421,729
35825,3812,728
24402,24403,728
13603,42863,728
2117,2151,727
3612,2171,727
292,303,727
8682,8683,726
4566,4854,726
10702,10151,726
10152,36798,725
3970,3612,725
7349,7530,724
2144,2116,724
10700,10243,723
38940,13026,723
4854,47851,723
23937,21940,723
13723,13733,722
1247,2402,722
8940,8941,721
8131,8132,721
8939,8940,721
3884,3877,720
13636,13143,720
7386,7387,720
14370,13019,719
8619,9697,718
13773,13785,718
9697,10642,718
10642,10643,718
13718,13723,717
25922,25923,717
25923,25924,717
13448,13445,717
13445,43282,717
44467,44468,716
13120,13101,716
24053,24055,716
621,591,716
24401,24400,716
24404,24401,716
14342,43274,716
49226,13277,716
35170,275,715
18040,18058,715
8863,9022,715
9022,9023,715
291,290,715
13567,38952,715
8644,8643,714
13488,44467,714
22804,16034,714
10742,10748,714
12945,48403,714
44468,13556,714
11497,10101,713
2114,2119,713
8938,8939,713
8074,8614,713
13226,48438,713
18058,18078,711
23931,23908,709
9414,10335,709
10446,11724,709
11724,11497,709
9539,9552,708
2233,2239,707
10644,8961,707
13067,29339,707
5713,5714,707
9564,9546,707
14344,14027,706
2731,17444,706
2719,3020,706
25840,25838,706
18085,18066,706
17444,2719,706
8643,8641,706
3020,2732,706
269,270,705
10150,10241,705
13664,29490,705
10477,10465,705
10032,8764,704
10239,10150,704
10149,10239,704
10238,10149,704
8763,10032,704
7487,7486,704
10465,11715,704
2863,2709,704
2709,2731,704
9914,8870,703
2172,3970,703
265,269,703
13241,13243,702
3815,3611,702
8702,8815,702
48415,48640,702
1848,1842,702
13793,13794,701
10681,10711,701
2803,3370,700
15564,21475,700
5710,5711,700
5711,5712,700
3370,2863,700
23969,23967,699
23968,23970,699
23970,23974,699
23971,23969,699
8701,8702,698
8700,8701,698
4963,4964,698
23975,23971,697
3588,2172,697
13562,13554,696
24021,772,695
42777,264,695
24660,24157,695
13220,13153,694
12815,13263,694
24030,24036,693
13140,13207,693
24131,24177,693
3877,3878,693
29310,13322,692
10444,10445,691
9712,9429,691
51387,48513,691
3915,2583,690
41239,41243,690
41242,41239,690
