from_stop,to_stop,distance_m
40890,50893,485.9
41002,41003,321.8
41030,41031,353.5
41091,41117,129.4
41102,41106,259.1
41105,42404,439.6
41250,41251,133.9
41473,41475,391.9
41474,41475,135.1
41605,44521,483.8
41805,41827,425.7
41831,41832,329.3
41944,41945,427.2
42006,42007,275.6
42021,42022,198.6
42030,43125,125.7
42070,42073,20.2
42211,42212,38.3
42302,42303,285.1
42525,42526,130.3
42737,42738,229.4
43109,43110,353.1
43234,43235,140.5
43235,43236,460.7
43307,51565,165.8
43410,43988,244.6
43579,43580,321.3
43662,43663,36.8
43674,43675,108.8
43676,43677,115.8
43681,47976,173.7
43820,49551,238.1
43860,43861,167.0
43896,43897,197.4
43922,43927,436.0
43928,43929,318.9
44311,44312,498.6
44356,44365,204.6
44392,44393,55.1
44405,44408,461.5
44405,44406,185.6
44689,44690,241.7
44967,44968,84.2
44975,44977,455.4
45049,45050,77.9
46285,48007,125.9
46505,46662,19.5
47881,47882,116.2
48432,48433,23.0
48434,49174,496.4
48439,48440,135.3
48476,48477,121.5
48527,48780,271.8
48637,48702,25.5
48803,51212,200.4
48889,48912,17.3
48936,48937,283.4
48961,48965,467.0
48984,48986,39.1
49073,51565,399.8
49175,49178,245.8
49318,49390,57.8
49370,49384,71.2
49660,49678,124.0
49667,49681,17.7
49709,49720,138.5
50015,50042,127.3
50041,50070,114.9
50069,50286,344.6
50103,50106,141.1
50154,50164,69.0
50174,50177,103.4
50448,50449,165.0
50450,50452,180.9
50451,50457,187.1
50455,50456,331.0
50538,50541,342.3
50613,50614,42.9
50652,50660,62.1
50674,50675,476.8
50719,50720,149.1
50752,50755,440.4
50752,50757,145.0
50758,50761,63.3
50777,50779,121.3
50777,50784,441.8
50778,50785,149.9
50782,50784,221.1
50870,50871,106.5
50889,50891,141.2
50926,50927,112.6
50935,50936,115.7
51067,51070,492.6
51081,51082,490.9
51093,51094,58.6
51292,51293,100.4
51390,51391,144.3
51573,51574,68.9
51652,51701,496.2
51777,51790,145.8
