stop_id,stop_name,lat,lon,region,metro
23259,בר כוכבא/ליברכט,32.092024,34.885384,מרכז,תל אביב
43324,בר כוכבא/ת.מרכזית פתח תקווה,32.095071,34.885777,מרכז,תל אביב
20848,חיים משה שפירא/דוכיפת,32.942029,35.079543,צפון,חיפה
5373,יהודה הלוי/דנילוף סנטר,32.790549,35.533043,צפון,פריפריה
17623,צומת נהריה,33.005573,35.10031,צפון,פריפריה
49031,שדרות ששת הימים/שדרות הבאבא סאלי,33.015659,35.11274,צפון,פריפריה
5048,קהילת ציון/שפרינצק,32.607536,35.292173,צפון,פריפריה
51803,קופות חולים/איילת השחר,32.103479,34.842121,מרכז,תל אביב
15604,החרושת/מעלה המגדל,32.021376,34.863737,מרכז,תל אביב
8439,צומת חטיבה שבע/לטרון,31.835052,34.978365,ירושלים,פריפריה
15836,מסעף צפריה,32.013734,34.846019,מרכז,תל אביב
9579,אורוגואי/מרקו ברוך,31.758318,35.176832,ירושלים,ירושלים
24243,מוסד חינוכי כפר בתיה/דרך ירושלים,32.188751,34.854732,מרכז,תל אביב
24239,בית לוינשטיין/אחוזה,32.184719,34.855067,מרכז,תל אביב
24237,מרכז מסחרי מול הפארק/דרך ירושלים,32.184316,34.85359,מרכז,תל אביב
24653,הדס/הכלנית,32.190505,34.884079,מרכז,תל אביב
25139,הזית/הרימון,32.020525,34.83748,מרכז,תל אביב
15676,ישיבת מאור יצחק,32.017986,34.839661,מרכז,תל אביב
22332,הרימון/מבוא הגפן,32.01621,34.84034,מרכז,תל אביב
25144,הרימון/כביש 412,32.01356,34.841646,מרכז,תל אביב
4671,אורט יגאל אלון/מעלה יצחק,32.708282,35.334618,צפון,פריפריה
18429,מרכז מסחרי/שדרות מעלה יצחק,32.716644,35.337651,צפון,פריפריה
21186,מרכז מסחרי/שדרות מעלה יצחק,32.718034,35.337673,צפון,פריפריה
7561,צומת חשמונאים דרום,31.929869,35.02517,מרכז,תל אביב
8871,יצחק הנדיב/ואדי ג'וז,31.794711,35.236274,ירושלים,ירושלים
9341,עין כרם/ברקלי,31.769691,35.168234,ירושלים,ירושלים
9578,עין כרם/מדרגות הכפר,31.76855,35.165512,ירושלים,ירושלים
11915,עין כרם/דרך כרמית,31.766357,35.165901,ירושלים,ירושלים
11555,עין כרם/המעיין,31.76689,35.16297,ירושלים,ירושלים
10697,עין כרם/ההדסים,31.768272,35.16214,ירושלים,ירושלים
9870,צומת כרם,31.771176,35.155415,ירושלים,ירושלים
50250,אברהם בר/דוד סחרוב,31.98812,34.775305,מרכז,תל אביב
26122,בית רסקו/יצחק רגר,31.247534,34.797811,דרום,באר שבע
49447,בית הספר לרפואה,31.76408,35.151156,ירושלים,ירושלים
49434,צומת אורה,31.756985,35.159869,ירושלים,ירושלים
49468,קריית מנחם,31.75994,35.164145,ירושלים,ירושלים
49448,הנרייטה סאלד - מזרח,31.759818,35.168021,ירושלים,ירושלים
49429,גן המפלצת,31.761942,35.171456,ירושלים,ירושלים
49442,קריית היובל - מערב,31.767038,35.174455,ירושלים,ירושלים
49459,שמריהו לוין,31.768751,35.177537,ירושלים,ירושלים
35161,הר הרצל,31.77083,35.181578,ירושלים,ירושלים
35159,יפה נוף,31.776863,35.184971,ירושלים,ירושלים
35157,כיכר דניה,31.780579,35.188339,ירושלים,ירושלים
35163,החלוץ,31.782749,35.19145,ירושלים,ירושלים
35155,קריית משה,31.786216,35.198187,ירושלים,ירושלים
35154,התחנה המרכזית,31.788407,35.202566,ירושלים,ירושלים
35152,הטורים,31.787823,35.206852,ירושלים,ירושלים
35150,מחנה יהודה,31.785917,35.211488,ירושלים,ירושלים
35147,הדווידקה,31.784434,35.215267,ירושלים,ירושלים
35146,יפו - מרכז,31.782933,35.218116,ירושלים,ירושלים
35143,העירייה,31.779566,35.223958,ירושלים,ירושלים
35142,שער שכם,31.782411,35.227908,ירושלים,ירושלים
35140,שבטי ישראל,31.786306,35.227179,ירושלים,ירושלים
35137,שמעון הצדיק,31.793025,35.226378,ירושלים,ירושלים
35136,גבעת התחמושת,31.799077,35.232053,ירושלים,ירושלים
35134,גבעת המבתר,31.805507,35.234281,ירושלים,ירושלים
35131,א-סהל,31.811222,35.232754,ירושלים,ירושלים
35130,שועפאט,31.814259,35.230066,ירושלים,ירושלים
35128,בית חנינא,31.819714,35.229107,ירושלים,ירושלים
35125,יקותיאל אדם,31.819282,35.23929,ירושלים,ירושלים
35124,פסגת זאב - מרכז,31.823652,35.237609,ירושלים,ירושלים
35121,סיירת דוכיפת,31.826017,35.240205,ירושלים,ירושלים
35120,חיל האוויר,31.829026,35.238395,ירושלים,ירושלים
49450,משה דיין - צפון,31.83349,35.234725,ירושלים,ירושלים
49430,מזל קשת,31.837328,35.234202,ירושלים,ירושלים
49428,יצחק טבנקין,31.838063,35.237508,ירושלים,ירושלים
49453,יצחק טבנקין,31.838146,35.237574,ירושלים,ירושלים
49444,מזל קשת,31.837297,35.234087,ירושלים,ירושלים
49432,משה דיין - צפון,31.833401,35.234621,ירושלים,ירושלים
35119,חיל האוויר,31.828941,35.238345,ירושלים,ירושלים
35122,סיירת דוכיפת,31.826048,35.2401,ירושלים,ירושלים
35123,פסגת זאב - מרכז,31.823732,35.237517,ירושלים,ירושלים
35126,יקותיאל אדם,31.819349,35.239202,ירושלים,ירושלים
35127,בית חנינא,31.819804,35.229101,ירושלים,ירושלים
35129,שועפאט,31.814208,35.229962,ירושלים,ירושלים
35132,א-סהל,31.811181,35.232649,ירושלים,ירושלים
35133,גבעת המבתר,31.805482,35.234179,ירושלים,ירושלים
35135,גבעת התחמושת,31.79913,35.231968,ירושלים,ירושלים
35138,שמעון הצדיק,31.793032,35.226273,ירושלים,ירושלים
35139,שבטי ישראל,31.786297,35.227074,ירושלים,ירושלים
35141,שער שכם,31.782373,35.227812,ירושלים,ירושלים
35144,העירייה,31.77964,35.224019,ירושלים,ירושלים
35145,יפו - מרכז,31.782984,35.218215,ירושלים,ירושלים
35148,הדווידקה,31.784535,35.215284,ירושלים,ירושלים
35149,מחנה יהודה,31.78598,35.211585,ירושלים,ירושלים
35151,הטורים,31.787888,35.206931,ירושלים,ירושלים
35153,התחנה המרכזית,31.788492,35.202603,ירושלים,ירושלים
35156,קריית משה,31.786282,35.198114,ירושלים,ירושלים
35164,החלוץ,31.782839,35.191455,ירושלים,ירושלים
35158,כיכר דניה,31.780631,35.188253,ירושלים,ירושלים
35160,יפה נוף,31.776934,35.184904,ירושלים,ירושלים
35162,הר הרצל,31.770865,35.18148,ירושלים,ירושלים
49435,שמריהו לוין,31.768813,35.177653,ירושלים,ירושלים
49472,קריית היובל - מערב,31.766983,35.174356,ירושלים,ירושלים
49449,גן המפלצת,31.762049,35.171515,ירושלים,ירושלים
49424,הנרייטה סאלד - מזרח,31.759919,35.168051,ירושלים,ירושלים
49463,קריית מנחם,31.760043,35.164104,ירושלים,ירושלים
49461,צומת אורה,31.75706,35.159963,ירושלים,ירושלים
49467,בית הספר לרפואה,31.764209,35.151229,ירושלים,ירושלים
35194,בית ספר א זהרא,31.389974,34.761058,דרום,באר שבע
28442,התחנה לבריאות המשפחה,31.393944,34.770122,דרום,באר שבע
28451,אזור תעשיה רהט,31.393205,34.773816,דרום,באר שבע
40481,שכ' 5 מערב,31.395851,34.769683,דרום,באר שבע
19277,שעב/כביש ראשי,32.891716,35.235377,צפון,פריפריה
28441,התחנה לבריאות המשפחה,31.395319,34.769743,דרום,באר שבע
19446,ישיבת הסדר,32.843399,35.792611,צפון,פריפריה
28981,שכונה 38,31.391816,34.775019,דרום,באר שבע
28983,רפח/אלרמלה,31.391117,34.773662,דרום,באר שבע
41045,קאנטרי קלאב/שדרות יואש דובנוב,32.615951,35.299784,צפון,פריפריה
37607,הנפח/מעלה כמון,32.922894,35.324792,צפון,פריפריה
41675,ת. רכבת כרמיאל/רציפים,32.923794,35.29835,צפון,פריפריה
37624,הנפח/מעלה כמון,32.922781,35.324035,צפון,פריפריה
38161,מחנה ענתות,31.819419,35.276143,ירושלים,ירושלים
