stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,betweenness,approx_harmonic,in_largest_component,nearest_alt_m,is_isolated,distance_band
2364,דרך עכו/צומת צבר,North,Haifa,32.83619,35.084962,,5,0.0001641389271879,4904.0,3,2,2452.0,2452.0,8.53404123801878e-05,0.0009952976180216,2872.5123726334014,True,57.480106666315486,False,< 100 m
43571,שדרות ורדימון/ריה''ל,South,Periphery,30.994343,34.940077,,8,0.0002626222835007,1168.0,6,2,584.0,584.0,5.0093555546997616e-05,0.0009951273366819,3541.0963978930167,True,64.69843833336078,False,< 100 m
18975,בית עלמין,North,Periphery,33.226944,35.577492,,2,6.565557087518876e-05,420.0,1,1,210.0,210.0,5.5434572976552745e-05,0.0009950658784691,1932.094889008485,True,85.48166881616974,False,< 100 m
16542,ככר המשוררים,Center,Tel Aviv,32.087423,34.954011,,7,0.0002297944980631,1970.0,5,2,985.0,985.0,5.392581358575523e-05,0.0009949115771132,3712.493182570703,True,83.14510983788037,False,< 100 m
28434,שכונה 8,South,Beer Sheva,31.393012,34.766691,,4,0.0001313111417503,642.0,2,2,321.0,321.0,6.471507909918766e-05,0.0009939626511004,2382.270515711506,True,103.11779640565281,False,100-300 m
49414,מסוף קסטינה-מלאכי לצפון,Center,Periphery,31.731264,34.756176,,11,0.0003611056398135,859.0,5,6,424.0,435.0,5.410391906129603e-05,0.0009937561294146,3552.240429557973,True,0.0,False,< 100 m
44131,דרך הרב שלום איפרגן/רבי דוד חסין,South,Periphery,31.521465,34.588862,,3,9.848335631278314e-05,454.0,2,1,227.0,227.0,2.231662031790308e-05,0.0009893604080249,2899.594075946549,True,59.0525048039415,False,< 100 m
41660,כביש 38/דולמיט,Jerusalem,Periphery,31.760419,34.987449,,13,0.0004267612106887,2482.0,7,6,1241.0,1241.0,0.0001000308963899,0.0009878090087835,4245.188717826513,True,122.71853534807079,False,100-300 m
39877,אל ג'רביה/יציאה,North,Periphery,32.992476,35.310225,,4,0.0001313111417503,204.0,1,3,102.0,102.0,3.538806952200492e-05,0.0009868264761674,2134.0242698875563,True,60.79038603850643,False,< 100 m
42164,אצ''ל/מסוף י''א,South,Beer Sheva,31.260947,34.762626,,5,0.0001641389271879,416.0,2,3,208.0,208.0,2.4735267842348472e-05,0.0009864718522994,2906.112398674987,True,56.199755620045885,False,< 100 m
