trans_id,lang,translation
65/כפר מנדא,EN,Kafr Manda/65
65/כפר מנדא,HE,65/כפר מנדא
651/השיטה,AR,651/هشيتا
651/השיטה,EN,HaShita/651
651/השיטה,HE,651/השיטה
651/חלמיש,AR,651/حلميش
651/חלמיש,EN,Halamish/651
651/חלמיש,HE,651/חלמיש
652/דרך אהרון,AR,ديريخ أهرون/652
652/דרך אהרון,EN,Aharon Road/652
652/דרך אהרון,HE,652/דרך אהרון
653/דרך רגבים,AR,653/طريق رچڤيم
653/דרך רגבים,EN,Regavim Road/653
653/דרך רגבים,HE,653/דרך רגבים
70/115,AR,70/115
70/115,EN,70/115
70/115,HE,70/115
7001/7061,AR,7001/7061
7001/7061,EN,7001/7061
7001/7061,HE,7001/7061
7003/רואוס אל ג'יבאל,AR,القشلة/الصفافرة
7003/רואוס אל ג'יבאל,EN,al-Qashleh/Sfafre
7003/רואוס אל ג'יבאל,HE,7003/רואוס אל ג'יבאל
7012/עומר אבן אל ח'טאב,AR,7012/عمر بن الخطاب
7012/עומר אבן אל ח'טאב,EN,Omar Ibn Al-Khattab/7012
7012/עומר אבן אל ח'טאב,HE,7012/עומר אבן אל ח'טאב
704,AR,شارع المقدسي
704,EN,704
704,HE,704
7040/עומר אבן אל ח'טאב,AR,7040/عمر بن الخطاب
7040/עומר אבן אל ח'טאב,EN,Omar Ibn Al-Khattab/7040
7040/עומר אבן אל ח'טאב,HE,7040/עומר אבן אל ח'טאב
7042/7040,AR,7042/7040
7042/7040,EN,7042/7040
7042/7040,HE,7042/7040
7045/7040,AR,7045/7040
7045/7040,EN,7045/7040
7045/7040,HE,7045/7040
7059/7061,AR,7059/7061
7059/7061,EN,7059/7061
7059/7061,HE,7059/7061
7061/7074,AR,7061/7074
7061/7074,EN,7061/7074
7061/7074,HE,7061/7074
7063/7061,AR,7063/7061
7063/7061,EN,7063/7061
7063/7061,HE,7063/7061
7064/7086,AR,7064/7086
7064/7086,EN,7064/7086
7064/7086,HE,7064/7086
7086/7064,AR,7086/7064
7086/7064,EN,7086/7064
7086/7064,HE,7086/7064
74 שדה יצחק,HE,74 שדה יצחק
784/שדרות קק"ל,AR,784/جادة كك"ل
784/שדרות קק"ל,EN,KKL Blvd/784
784/שדרות קק"ל,HE,784/שדרות קק"ל
8 אום טובא,AR,أم طوبا 8
8 אום טובא,EN,Umm Tuba/8
8 אום טובא,HE,8 אום טובא
8015/8013,AR,8015/8013
8015/8013,EN,8015/8013
8015/8013,HE,8015/8013
846/שהרזאד,AR,شهرزاد/846
846/שהרזאד,EN,846/Scheherazade
846/שהרזאד,HE,846/שהרזאד
85/8566,AR,85/8566
85/8566,EN,85/8566
85/8566,HE,85/8566
864/8655,AR,864/8655
864/8655,EN,864/8655
864/8655,HE,864/8655
8655/15,AR,8655/15
8655/15,EN,8655/15
8655/15,HE,8655/15
8900/הגליל,AR,8900/هچليل
8900/הגליל,EN,HaGalil/8900
8900/הגליל,HE,8900/הגליל
90/תל חי,AR,90/تيل حاي
90/תל חי,EN,Tel Hai/90
90/תל חי,HE,90/תל חי
911,AR,911
911,EN,911
911,HE,911
912,AR,912
912,EN,912
912,HE,912
913,AR,913
913,EN,913
913,HE,913
914,AR,914
914,EN,914
914,HE,914
924,AR,924
924,EN,924
924,HE,924
9779/918,AR,9779/918
9779/918,EN,9779/918
9779/918,HE,9779/918
978/98,AR,978/98
978/98,EN,978/98
978/98,HE,978/98
988,AR,988
988,EN,988
988,HE,988
996,AR,996
996,EN,996
996,HE,996
IKEA,HE,IKEA
K.S.P מחשבים,HE,K.S.P מחשבים
א זהרא/אבן חלדון,AR,الزهراء/إبن خلدون
א זהרא/אבן חלדון,EN,A Zahara/Ibn Haldoun
א זהרא/אבן חלדון,HE,א זהרא/אבן חלדון
א זהרא/טארק עבד אל חי,AR,الزهرا/طارق عبد الحي
א זהרא/טארק עבד אל חי,EN,A Zahara/Tariq Abd al-Hay
א זהרא/טארק עבד אל חי,HE,א זהרא/טארק עבד אל חי
א זעים,AR,الزعيم
א זעים,EN,A Za'im
א זעים,HE,א זעים
א טייבה,AR,الطيبة بجانب موليديت
א טייבה,EN,Tayiba (East)
א טייבה,HE,א טייבה
א טללקה,AR,الطلقة
א טללקה,EN,A Talalka
א טללקה,HE,א טללקה
א טריק,AR,أ. تريك
א טריק,EN,A-Tariq
א טריק,HE,א טריק
א נהדה/א זיתון,AR,النهضة/الزيتون
א נהדה/א זיתון,EN,A Nahada/A Zeitun
א נהדה/א זיתון,HE,א נהדה/א זיתון
א נסאסרה,AR,النصاصرة
א נסאסרה,EN,A-Nassasra
א נסאסרה,HE,א נסאסרה
א ס לוי/טייטלבאום,AR,أس ليڤي/تايتلباوم
א ס לוי/טייטלבאום,EN,A Sa Levi/Teitlebaum
א ס לוי/טייטלבאום,HE,א ס לוי/טייטלבאום
א ס לוי/שדרות בן גוריון,AR,أس ليڤي/سديروت بن غوريون
א ס לוי/שדרות בן גוריון,EN,A Sa Levi/Sderot Ben Gurion
א ס לוי/שדרות בן גוריון,HE,א ס לוי/שדרות בן גוריון
א סאפא,AR,الصّفا
א סאפא,EN,A-Safa
א סאפא,HE,א סאפא
א סאפא 2,AR,الصفا 2
א סאפא 2,EN,A Safa 2
א סאפא 2,HE,א סאפא 2
א סאפא 3,AR,الصفا 3
א סאפא 3,EN,A Safa 3
א סאפא 3,HE,א סאפא 3
א סאפא/א סלאם,AR,الصفاء/السلام
א סאפא/א סלאם,EN,Al-Safa/Al-Salam
א סאפא/א סלאם,HE,א סאפא/א סלאם
א סאפא/אבו ח'שבה,AR,الصفاء/أبو خشبة
א סאפא/אבו ח'שבה,EN,Al-Safa/Abu Khashba
