trans_id,lang,translation
חיילים משוחררים י,EN,Hayalim Meshuhrarim Y
חיילים משוחררים י,HE,חיילים משוחררים י
חיילים משוחררים יא,AR,حاييليم مشوحرريم ي"أ
חיילים משוחררים יא,EN,Hayalim Meshuhrarim Yud Alef
חיילים משוחררים יא,HE,חיילים משוחררים יא
חיילים משוחררים יב,AR,حاييليم مشوحرريم ي"ب
חיילים משוחררים יב,EN,Hayalim Meshuhrarim Yud Bet
חיילים משוחררים יב,HE,חיילים משוחררים יב
חיילים משוחררים יג,AR,حاييليم مشوحرريم ي"ج
חיילים משוחררים יג,EN,Hayalim Meshuhrarim Yud Gimel
חיילים משוחררים יג,HE,חיילים משוחררים יג
חיילים משוחררים יד,AR,حاييليم مشوحرريم ي"د
חיילים משוחררים יד,EN,Hayalim Meshuhrarim Yud Dalet
חיילים משוחררים יד,HE,חיילים משוחררים יד
חיילים משוחררים יז,AR,حاييليم مشوحرريم ي"ز
חיילים משוחררים יז,EN,Hayalim Meshuhrarim Yud Zayin
חיילים משוחררים יז,HE,חיילים משוחררים יז
חיילים משוחררים יח,AR,حاييليم مشوحرريم ي"ح
חיילים משוחררים יח,EN,Hayalim Meshuhrarim Yud Het
חיילים משוחררים יח,HE,חיילים משוחררים יח
חיילים משוחררים צפונית א,AR,حي الجنود المسرحين شمال أ
חיילים משוחררים צפונית א,EN,Demobilized Soldiers Neighborhood North Aleph
חיילים משוחררים צפונית א,HE,חיילים משוחררים צפונית א
חיילים משוחררים2,HE,חיילים משוחררים2
חיים ארלוזורוב/אהרון פלדמן,AR,حييم أرلوزروڤ/أهَرون فيلدمان
חיים ארלוזורוב/אהרון פלדמן,EN,Haim Arlozorov/Aharon Feldman
חיים ארלוזורוב/אהרון פלדמן,HE,חיים ארלוזורוב/אהרון פלדמן
חיים ארלוזורוב/גייסות השריון,AR,حييم أرلوزروڤ/چيَّسوت هشريون
חיים ארלוזורוב/גייסות השריון,EN,Haim Arlozorov/Gaysot HaShiryon
חיים ארלוזורוב/גייסות השריון,HE,חיים ארלוזורוב/גייסות השריון
חיים ארלוזורוב/הרצפלד,AR,حييم أرلوزروڤ/هرتسفيلد
חיים ארלוזורוב/הרצפלד,EN,Haim Arlozorov/Hartzfeld
חיים ארלוזורוב/הרצפלד,HE,חיים ארלוזורוב/הרצפלד
חיים ארלוזורוב/צה"ל,AR,حاييم ارلوزوروف/ تسه"ل
חיים ארלוזורוב/צה"ל,EN,Hayim Arlozorov/Tsahal
חיים ארלוזורוב/צה"ל,HE,חיים ארלוזורוב/צה"ל
חיים ארלוזורוב/קפלן,AR,حاييم أرلوزوروف/كابلان
חיים ארלוזורוב/קפלן,EN,Haim Alrozorov/Kaplan
חיים ארלוזורוב/קפלן,HE,חיים ארלוזורוב/קפלן
חיים ארלוזורוב/רחל אלתר,AR,حييم أرلوزروڤ/رحيل ألتِر
חיים ארלוזורוב/רחל אלתר,EN,Haim Arlozorov/Rachel Alter
חיים ארלוזורוב/רחל אלתר,HE,חיים ארלוזורוב/רחל אלתר
חיים בר לב/גדולי ישראל,AR,حييم بار ليڤ/چدولي يسرائيل
חיים בר לב/גדולי ישראל,EN,Haim Bar Lev/Gdole Israel
חיים בר לב/גדולי ישראל,HE,חיים בר לב/גדולי ישראל
חיים בר לב/החלוצים,AR,حييم بار ليڤ/ هحَلوتسيم
חיים בר לב/החלוצים,EN,Haim Bar Lev/HaHalutsim
חיים בר לב/החלוצים,HE,חיים בר לב/החלוצים
חיים בר לב/מאאס,AR,حييم بار ليڤ/ماس
חיים בר לב/מאאס,EN,Haim Bar-Lev/Ma'as
חיים בר לב/מאאס,HE,חיים בר לב/מאאס
חיים בר לב/מוקסיי,AR,حييم بار ليڤ/موكساي
חיים בר לב/מוקסיי,EN,Haim Bar-Lev/Mouksey
חיים בר לב/מוקסיי,HE,חיים בר לב/מוקסיי
חיים בר לב/משה דיין,AR,حييم بار ليڤ/موشيه ديان
חיים בר לב/משה דיין,EN,Haim Bar Lev/Moshe Dayan
חיים בר לב/משה דיין,HE,חיים בר לב/משה דיין
חיים בר לב/פרשני,AR,حييم بار ليڤ/بَرشاني
חיים בר לב/פרשני,EN,Haim Bar-Lev/Parshani
חיים בר לב/פרשני,HE,חיים בר לב/פרשני
חיים ברלב/יעקב דורי,HE,חיים ברלב/יעקב דורי
חיים ברלב/מרדכי מקלף,AR,حاييم بارليڤ/ مردخاي مكليف
חיים ברלב/מרדכי מקלף,EN,Haim Barlev/Mordekhay Maklef
חיים ברלב/מרדכי מקלף,HE,חיים ברלב/מרדכי מקלף
חיים ברלב/משה דיין,AR,حاييم بارليڤ/ موشيه ديان
חיים ברלב/משה דיין,EN,Haim Barlev/Moshe Dayan
חיים ברלב/משה דיין,HE,חיים ברלב/משה דיין
חיים ברלב/שדרות יצחק רבין,AR,حاييم بار-ليڤ/جادة يتسخاك رابين
חיים ברלב/שדרות יצחק רבין,EN,Haim Bar-Lev/Yizhak Rabbin Blvd.
חיים ברלב/שדרות יצחק רבין,HE,חיים ברלב/שדרות יצחק רבין
חיים הולצמן/דוד פייקס,AR,حايم هولتسمن / دفيد فيكس
חיים הולצמן/דוד פייקס,EN,Haim Holtzman/David Fikes
חיים הולצמן/דוד פייקס,HE,חיים הולצמן/דוד פייקס
חיים הזז/יהודה הלוי,AR,حييم هزاز/يهودا هليڤي
חיים הזז/יהודה הלוי,EN,Haim Hazaz/Yehuda Halevi
חיים הזז/יהודה הלוי,HE,חיים הזז/יהודה הלוי
חיים הזז/עליזה יאנסן,AR,حاييم هَزاز/عليزا يانسن
חיים הזז/עליזה יאנסן,EN,Haim Hazaz/Aliza Yanseen
חיים הזז/עליזה יאנסן,HE,חיים הזז/עליזה יאנסן
חיים הרצוג,AR,خييم هرتسوغ
חיים הרצוג,EN,Chaim Herzog
חיים הרצוג,HE,חיים הרצוג
חיים הרצוג/בית"ר,AR,خييم هرتسوغ/بيتر
חיים הרצוג/בית"ר,EN,Chaim Herzog/Beitar
חיים הרצוג/בית"ר,HE,חיים הרצוג/בית"ר
חיים הרצוג/גולדה מאיר,AR,ه هرتسوغ/غ مئير
חיים הרצוג/גולדה מאיר,EN,Herzog/Golda
חיים הרצוג/גולדה מאיר,HE,חיים הרצוג/גולדה מאיר
חיים הרצוג/ניל"י,AR,خييم هرتسوغ/نيلي
חיים הרצוג/ניל"י,EN,Chaim Herzog/Nili
חיים הרצוג/ניל"י,HE,חיים הרצוג/ניל"י
חיים הרצוג/ניסים אלוני,AR,حاييم هرتسوج/نيسيم ألوني
חיים הרצוג/ניסים אלוני,EN,Hayim Herzog/Nisim Aloni
חיים הרצוג/ניסים אלוני,HE,חיים הרצוג/ניסים אלוני
חיים הרצוג/נתן אלתרמן,AR,هرتسوغ/ألترمان
חיים הרצוג/נתן אלתרמן,EN,Herzog/Alterman
חיים הרצוג/נתן אלתרמן,HE,חיים הרצוג/נתן אלתרמן
חיים הרצוג/צאלה,AR,خايم هرتسوغ/تسيئلا
חיים הרצוג/צאלה,EN,Haim Herzog/Tze'ela
חיים הרצוג/צאלה,HE,חיים הרצוג/צאלה
חיים הרצוג/שדרות מנחם בגין,AR,خييم هرتسوغ/جادة مناخم بيغين
חיים הרצוג/שדרות מנחם בגין,EN,Chaim Herzog/Menahem Begin Boulevard
חיים הרצוג/שדרות מנחם בגין,HE,חיים הרצוג/שדרות מנחם בגין
חיים הרצוג/שייקה אופיר,AR,هرتسوغ/ش أوفير
חיים הרצוג/שייקה אופיר,EN,Herzog/Sh.Ofir
חיים הרצוג/שייקה אופיר,HE,חיים הרצוג/שייקה אופיר
חיים וייצמן,AR,-
חיים וייצמן,EN,-
חיים וייצמן,HE,חיים וייצמן
חיים וייצמן/דרך הנפת הדגל,AR,حايم فايزمان/طريق هنفات هديجل
חיים וייצמן/דרך הנפת הדגל,EN,Haim Weitzman/Hanafat HaDegel Road
חיים וייצמן/דרך הנפת הדגל,HE,חיים וייצמן/דרך הנפת הדגל
חיים וייצמן/הרצל,AR,حاييم ڤايتسمان/هرتسل
חיים וייצמן/הרצל,EN,Haim Weizmann/Herzl
חיים וייצמן/הרצל,HE,חיים וייצמן/הרצל
חיים וייצמן/זלמן שזר,AR,حاييم فايتسمان/ زَلمان شَزار
חיים וייצמן/זלמן שזר,EN,Haim Weitzman/Zalman Shazar
חיים וייצמן/זלמן שזר,HE,חיים וייצמן/זלמן שזר
חיים וייצמן/חיים הרצוג,AR,خييم فايتسمن/خييم هرتسوغ
חיים וייצמן/חיים הרצוג,EN,Chaim Weizmann/Chaim Herzog
חיים וייצמן/חיים הרצוג,HE,חיים וייצמן/חיים הרצוג
חיים וייצמן/יצחק בן צבי,AR,حاييم ڤايتسمان/ يتسحاك بن تسڤي
חיים וייצמן/יצחק בן צבי,EN,Haim Weizmann/Yitshak Ben Tsvi
חיים וייצמן/יצחק בן צבי,HE,חיים וייצמן/יצחק בן צבי
חיים וייצמן/מ"ג יורדי הסירה,AR,حاييم فايتسمن/ م"ج يوردي هسيرا
חיים וייצמן/מ"ג יורדי הסירה,EN,Hayim Weizmann/Mem Gimel Yorde HaSira
חיים וייצמן/מ"ג יורדי הסירה,HE,חיים וייצמן/מ"ג יורדי הסירה
חיים וייצמן/מג יורדי הסירה,AR,حاييم فايتسمن/ م"ج يوردي هسيرا
חיים וייצמן/מג יורדי הסירה,EN,Hayim Weizmann/Mem Gimel Yorde HaSira
חיים וייצמן/מג יורדי הסירה,HE,חיים וייצמן/מג יורדי הסירה
חיים וייצמן/מרדכי אנילביץ',AR,خييم فايتسمن/موردخي أنيلفيتش
חיים וייצמן/מרדכי אנילביץ',EN,Chaim Weizmann/Mordechai Anielewicz
חיים וייצמן/מרדכי אנילביץ',HE,חיים וייצמן/מרדכי אנילביץ'
חיים וייצמן/משה איכילוב,AR,خييم فايتسمن/موشي إيخيلوف
חיים וייצמן/משה איכילוב,EN,Chaim Weizmann/Moshe Ichilov
חיים וייצמן/משה איכילוב,HE,חיים וייצמן/משה איכילוב
חיים וייצמן/נחל קדומים,AR,حاييم فايتسمَن/ناحَل كدوميم
חיים וייצמן/נחל קדומים,EN,Haim Weizmann/Kdumim Creek
חיים וייצמן/נחל קדומים,HE,חיים וייצמן/נחל קדומים
חיים וייצמן/שפרינצק,AR,حاييم ڤايتسمان/شبريننتسك
חיים וייצמן/שפרינצק,EN,Haim Weizmann/Shprinzak
חיים וייצמן/שפרינצק,HE,חיים וייצמן/שפרינצק
חיים ויצמן/אריאל שרון,AR,حايم وايزمان/أريئل شرون
חיים ויצמן/אריאל שרון,EN,Haim Weizmann/Ariel Sharon
חיים ויצמן/אריאל שרון,HE,חיים ויצמן/אריאל שרון
חיים ויצמן/יצחק בן צבי,AR,حايم ڤيتسمان/يتسحاق بن تسفي
חיים ויצמן/יצחק בן צבי,EN,Haim Weizman/Yitzhak Ben Zvi
חיים ויצמן/יצחק בן צבי,HE,חיים ויצמן/יצחק בן צבי
חיים חורי/פרי מגדים,AR,حاييم حوري/ بري مچديم
חיים חורי/פרי מגדים,EN,Haim Huri/Pri Megadim
חיים חורי/פרי מגדים,HE,חיים חורי/פרי מגדים
חיים חפר/דודו דותן,AR,حاييم حيفير/دودو دوتان
חיים חפר/דודו דותן,EN,Hayim Hefer/Dudu Dotan
חיים חפר/דודו דותן,HE,חיים חפר/דודו דותן
חיים טופול/אפרים קציר,AR,حايم توفيل / أفرايم كتسير
חיים טופול/אפרים קציר,EN,Haim Topol/Efrayim Katsir
חיים טופול/אפרים קציר,HE,חיים טופול/אפרים קציר
חיים טופול/הברוש,AR,خاين توفل/هابروش
חיים טופול/הברוש,EN,Haim Topol/HaBrosh
חיים טופול/הברוש,HE,חיים טופול/הברוש
חיים יחיל/קרן היסוד,AR,حاييم يحيئيل/كيرن هيسود
חיים יחיל/קרן היסוד,EN,Haim Yahil/Keren HaYesod
חיים יחיל/קרן היסוד,HE,חיים יחיל/קרן היסוד
חיים יחיל/רוטשילד,AR,حاييم يحيئيل/روتشيلد
חיים יחיל/רוטשילד,EN,Haim Yahil/Rothschild
חיים יחיל/רוטשילד,HE,חיים יחיל/רוטשילד
חיים יסקי/ צ'רצ'יל,AR,حاييم ياسكي/ تشرتشل
חיים יסקי/ צ'רצ'יל,EN,Hayim Yaski/Churchill
חיים יסקי/ צ'רצ'יל,HE,חיים יסקי/ צ'רצ'יל
חיים לבב/ליבנה,AR,خييم ليفف/ليفنه
חיים לבב/ליבנה,EN,Haim Levav/Livneh
חיים לבב/ליבנה,HE,חיים לבב/ליבנה
חיים לבב/ששת הימים,AR,خييم ليفف/شيشت هيميم
חיים לבב/ששת הימים,EN,Haim Levav/Sheshet HaYamim
חיים לבב/ששת הימים,HE,חיים לבב/ששת הימים
חיים לבנון/ד"ר ג'ורג' וויז,AR,خاييم ليفنون/دكتور جورج وايز
חיים לבנון/ד"ר ג'ורג' וויז,EN,Haim Levanon/Dr. George Wise
חיים לבנון/ד"ר ג'ורג' וויז,HE,חיים לבנון/ד"ר ג'ורג' וויז
חיים לבנון/קלצ'קין,AR,حاييم لبنون/كلتسكين
חיים לבנון/קלצ'קין,EN,Haim Levanon/Klatzkin
חיים לבנון/קלצ'קין,HE,חיים לבנון/קלצ'קין
חיים לבנון/רדינג,AR,حاييم لبنون/ريدِنچ
חיים לבנון/רדינג,EN,Haim Levanon/Reading
חיים לבנון/רדינג,HE,חיים לבנון/רדינג
חיים לבנון25,HE,חיים לבנון25
חיים לבנון49,HE,חיים לבנון49
חיים לבנון67,HE,חיים לבנון67
חיים לבנון83,HE,חיים לבנון83
חיים לבנון86,HE,חיים לבנון86
חיים לסקוב/הפרג,AR,حاييم لاسكوڤ/هپيريچ
חיים לסקוב/הפרג,EN,Haim Laskov/HaPereg
חיים לסקוב/הפרג,HE,חיים לסקוב/הפרג
חיים לסקוב/שמואלזון,AR,حييم لسكوڤ/شموئيلزون
חיים לסקוב/שמואלזון,EN,Haim Laskov/Shmu'elson
חיים לסקוב/שמואלזון,HE,חיים לסקוב/שמואלזון
חיים מדר/יצחק אייזק כהן,AR,حاييم مَدار/يتسحاك آيزِك كوهين
חיים מדר/יצחק אייזק כהן,EN,Haim Madar/Yitshak Eisik Cohen
חיים מדר/יצחק אייזק כהן,HE,חיים מדר/יצחק אייזק כהן
חיים משה שפירא,AR,حاييم موشي شبيرا
חיים משה שפירא,EN,Hayim Moshe Shapira
חיים משה שפירא,HE,חיים משה שפירא
חיים משה שפירא/443,AR,حاييم موشيه شفيرا/443
חיים משה שפירא/443,EN,Haim Moshe Shapira/443
חיים משה שפירא/443,HE,חיים משה שפירא/443
חיים משה שפירא/אבא אחימאיר,AR,حاييم موشيه شفيرا/آبا أحيميئير
חיים משה שפירא/אבא אחימאיר,EN,Haim Moshe Shapira/Abba Ahimeir
חיים משה שפירא/אבא אחימאיר,HE,חיים משה שפירא/אבא אחימאיר
חיים משה שפירא/אבות ובנים,AR,حاييم موشيه شفيرا/أڤوت وبَنيم
חיים משה שפירא/אבות ובנים,EN,Haim Moshe Shapira/Avot U'Banim
חיים משה שפירא/אבות ובנים,HE,חיים משה שפירא/אבות ובנים
חיים משה שפירא/אהובה עוזרי,AR,خايم موشه شبيرا/أهوفة عوزري
חיים משה שפירא/אהובה עוזרי,EN,Haim Moshe Shapira/Ahuva Ozeri
חיים משה שפירא/אהובה עוזרי,HE,חיים משה שפירא/אהובה עוזרי
חיים משה שפירא/ארן,AR,حاييم موشيه شفيرا/أران
חיים משה שפירא/ארן,EN,Haim Moshe Shapira/Aran
חיים משה שפירא/ארן,HE,חיים משה שפירא/ארן
חיים משה שפירא/גרינבוים,AR,حاييم موشيه شفيرا/چرينبويم
חיים משה שפירא/גרינבוים,EN,Haim Moshe Shapira/Greenboim
חיים משה שפירא/גרינבוים,HE,חיים משה שפירא/גרינבוים
חיים משה שפירא/ד"ר מרדכי וחווה פרימן,AR,حاييم موشي شابيرا/ د. مدرخاي وحافا فريمان
חיים משה שפירא/ד"ר מרדכי וחווה פרימן,EN,Hayim Moshe Shapira/Dr.Mordechai & Hava Freeman
חיים משה שפירא/ד"ר מרדכי וחווה פרימן,HE,חיים משה שפירא/ד"ר מרדכי וחווה פרימן
חיים משה שפירא/דוכיפת,AR,حاييم موشيه شبيرا/دوخيفت
חיים משה שפירא/דוכיפת,EN,Haim Moshe Shapira/Dukhifat
חיים משה שפירא/דוכיפת,HE,חיים משה שפירא/דוכיפת
חיים משה שפירא/הברוש,AR,حاييم موشيه شفيرا/هَبروش
חיים משה שפירא/הברוש,EN,Haim Moshe Shapira/HaBrosh
חיים משה שפירא/הברוש,HE,חיים משה שפירא/הברוש
חיים משה שפירא/החובלים,AR,حاييم موشيه شفيرا/ هحوڤليم
חיים משה שפירא/החובלים,EN,Haim Moshe Shapira/HaHovlim
חיים משה שפירא/החובלים,HE,חיים משה שפירא/החובלים
חיים משה שפירא/הכרם,AR,حاييم موشيه شفيرا/هَكيرم
חיים משה שפירא/הכרם,EN,Haim Moshe Shapira/HaKerem
חיים משה שפירא/הכרם,HE,חיים משה שפירא/הכרם
חיים משה שפירא/זלמן ארן,AR,حاييم موشيه شبيرا/زلمان أران
חיים משה שפירא/זלמן ארן,EN,Haim Moshe Shapira/Zalman Aran
חיים משה שפירא/זלמן ארן,HE,חיים משה שפירא/זלמן ארן
חיים משה שפירא/סן מרטין,AR,حاييم موشيه شفيرا/سان مارتين
חיים משה שפירא/סן מרטין,EN,Haim Moshe Shapira/San Martin
חיים משה שפירא/סן מרטין,HE,חיים משה שפירא/סן מרטין
חיים משה שפירא/פלמינגו,AR,حاييم موشيه شفيرا/فلمينچو
חיים משה שפירא/פלמינגו,EN,Haim Moshe Shapira/Flamingo
חיים משה שפירא/פלמינגו,HE,חיים משה שפירא/פלמינגו
חיים משה שפירא/רוגוזין,AR,حاييم موشيه شفيرا/روچوزين
חיים משה שפירא/רוגוזין,EN,Haim Moshe Shapira/Rogozin
חיים משה שפירא/רוגוזין,HE,חיים משה שפירא/רוגוזין
חיים נחמן ביאליק / מוריה,AR,حييم نحمان بيالِك/موريا
חיים נחמן ביאליק / מוריה,EN,Hayim Nahman Bialik/Moriya
חיים נחמן ביאליק / מוריה,HE,חיים נחמן ביאליק / מוריה
חיים נחמן ביאליק/אריאל שרון,AR,خييم نخمن بياليك/أريئل شرون
חיים נחמן ביאליק/אריאל שרון,EN,Hayim Nahman Bialik/Ariel Sharon
חיים נחמן ביאליק/אריאל שרון,HE,חיים נחמן ביאליק/אריאל שרון
חיים נחמן ביאליק/בצלאל,AR,حاييم نحمان بياليك/بَتسلئيل
חיים נחמן ביאליק/בצלאל,EN,Hayim Nahman Bialik/Bezalel
חיים נחמן ביאליק/בצלאל,HE,חיים נחמן ביאליק/בצלאל
חיים נחמן ביאליק/הנשיא,AR,حايم نحمان بياليك/هنسي
חיים נחמן ביאליק/הנשיא,EN,Hayim Nachman Bialik/HaNasi
חיים נחמן ביאליק/הנשיא,HE,חיים נחמן ביאליק/הנשיא
חיים נחמן ביאליק/יעקב כהן,AR,حاييم نحمان بياليك/يعكوڤ كوهين
חיים נחמן ביאליק/יעקב כהן,EN,Hayim Nahman Bialik/Ya'akov Cohen
חיים נחמן ביאליק/יעקב כהן,HE,חיים נחמן ביאליק/יעקב כהן
חיים נחמן ביאליק/רש"י,AR,حايم نحمان بياليك/راشي
חיים נחמן ביאליק/רש"י,EN,Hayim Nachman Bialik/S.Y. Agnon
חיים נחמן ביאליק/רש"י,HE,חיים נחמן ביאליק/רש"י
חיים נחמן ביאליק/ש"י עגנון,AR,حايم نحمان بياليك/شاي عجنون
חיים נחמן ביאליק/ש"י עגנון,EN,Hayim Machman Bialik/Rashi
חיים נחמן ביאליק/ש"י עגנון,HE,חיים נחמן ביאליק/ש"י עגנון
חיים סירני/בית ספר תחכמוני,AR,حاييم سيريني/مدرسة تحخموني
חיים סירני/בית ספר תחכמוני,EN,Haim Sireni/Tahkemoni School
חיים סירני/בית ספר תחכמוני,HE,חיים סירני/בית ספר תחכמוני
חיים סירני/הבעשט,AR,حاييم سيراني/هَبعشيت
חיים סירני/הבעשט,EN,Haim Sireni/Habescht
חיים סירני/הבעשט,HE,חיים סירני/הבעשט
חיים סירני/ההגנה,AR,حاييم سيريني/هَهجناه
חיים סירני/ההגנה,EN,Haim Sireni/HaHagana
חיים סירני/ההגנה,HE,חיים סירני/ההגנה
חיים סירני/היכל הספורט,AR,حاييم سيريني/قاعة الرياضة
חיים סירני/היכל הספורט,EN,Hayim Sereni/Hekhal HaSport
חיים סירני/היכל הספורט,HE,חיים סירני/היכל הספורט
חיים סירני/השומרים,AR,حاييم سيريني/هشوميريم
חיים סירני/השומרים,EN,Haim Sireni/HaShomrim
חיים סירני/השומרים,HE,חיים סירני/השומרים
חיים סירני/יהודה גורודיסקי,AR,حاييم سيريني/يهودا جوروديسكي
חיים סירני/יהודה גורודיסקי,EN,Haim Sireni/Yehuda Gorodiski
חיים סירני/יהודה גורודיסקי,HE,חיים סירני/יהודה גורודיסקי
חיים עוזר,HE,חיים עוזר
חיים עוזר / וולפסון,AR,حييم عوزير/ڤولفسون
חיים עוזר / וולפסון,EN,Haim Ozer/Wolfson
חיים עוזר / וולפסון,HE,חיים עוזר / וולפסון
חיים עוזר 21,HE,חיים עוזר 21
חיים עוזר 26,HE,חיים עוזר 26
חיים עוזר 36,HE,חיים עוזר 36
חיים עוזר/ההגנה,AR,حييم عوزير/هَهچناه
חיים עוזר/ההגנה,EN,Haim Ozer/HaHagana
חיים עוזר/ההגנה,HE,חיים עוזר/ההגנה
חיים עוזר/וולפסון,AR,حييم عوزير/ڤولفسون
חיים עוזר/וולפסון,EN,Haim Ozer/Wolfson
חיים עוזר/וולפסון,HE,חיים עוזר/וולפסון
חיים עוזר/כיכר המייסדים,AR,خييم عوزر/ميدان همييسديم
חיים עוזר/כיכר המייסדים,EN,Chaim Ozer/HaMeyasdim Square
חיים עוזר/כיכר המייסדים,HE,חיים עוזר/כיכר המייסדים
חיים עוזר/נורדאו,AR,حييم عوزير/ نورداو
חיים עוזר/נורדאו,EN,Haim Ozer/Nordau
חיים עוזר/נורדאו,HE,חיים עוזר/נורדאו
חיים עוזר/שפיגל זוסיה,AR,حييم عوزير/سبيچل تسوزيا
חיים עוזר/שפיגל זוסיה,EN,Haim Ozer/Spiegel Zussia
חיים עוזר/שפיגל זוסיה,HE,חיים עוזר/שפיגל זוסיה
חיים תורן,AR,حييم توران
חיים תורן,EN,Haim Toren
חיים תורן,HE,חיים תורן
חיים/הרצל,AR,حييم/هرتسل
חיים/הרצל,EN,Haim/Herzl
חיים/הרצל,HE,חיים/הרצל
חיים/זבוטינסקי,AR,حييم/جابوتنسكي
חיים/זבוטינסקי,EN,Haim/Jabotinsky
חיים/זבוטינסקי,HE,חיים/זבוטינסקי
חיים/סיגליות,AR,حييم/سيچَليوت
חיים/סיגליות,EN,Haim/Sigaliot
חיים/סיגליות,HE,חיים/סיגליות
חיים/שושנים,AR,حييم/شوشَنيم
חיים/שושנים,EN,Haim/Shoshanim
חיים/שושנים,HE,חיים/שושנים
חיל אוויר/חיל הנדסה,AR,حيل هأڤير/حيل هندسا
חיל אוויר/חיל הנדסה,EN,Hel Avir/Hel Handasa
חיל אוויר/חיל הנדסה,HE,חיל אוויר/חיל הנדסה
חיל אוויר/חיל תותחנים,AR,حيل هأڤير/حيل توتحنيم
חיל אוויר/חיל תותחנים,EN,Hel Avir/Artillery Corps
חיל אוויר/חיל תותחנים,HE,חיל אוויר/חיל תותחנים
חיל אוויר/קהילת יעקב,HE,חיל אוויר/קהילת יעקב
חיל האוויר,AR,حيل هأڤير
חיל האוויר,EN,H̠el Ha'Avir
חיל האוויר,HE,חיל האוויר
חיל האוויר/הארבעה,HE,חיל האוויר/הארבעה
חיל האוויר/הסיירת הירושלמית,HE,חיל האוויר/הסיירת הירושלמית
חיל האויר,AR,حيل هأفير
חיל האויר,EN,Heil Ha'avir
חיל האויר,HE,חיל האויר
חיל האויר 59,HE,חיל האויר 59
חיל האויר מול 59,HE,חיל האויר מול 59
חיל האויר/גדוד חרמש,AR,حيل هأڤير/چدود
חיל האויר/גדוד חרמש,EN,Hel Ha'Avir/Gdud Hermesh
חיל האויר/גדוד חרמש,HE,חיל האויר/גדוד חרמש
חיל האויר/הארבעה,AR,حيل هأڤير/هأربعا
חיל האויר/הארבעה,EN,Hel Ha'Avir/Ha'Arba'a
חיל האויר/הארבעה,HE,חיל האויר/הארבעה
חיל האויר/הסיירת הירושלמית,AR,حيل هأڤير/هسييرِت هيروشلميت
חיל האויר/הסיירת הירושלמית,EN,Hel Ha'Avir/HaSayeret HaYerushalmit
חיל האויר/הסיירת הירושלמית,HE,חיל האויר/הסיירת הירושלמית
חיל האויר/השישה עשר,AR,حيل هأڤير/هشيشا عسار
חיל האויר/השישה עשר,EN,Hel Ha'Avir/HaShisha Asar
חיל האויר/השישה עשר,HE,חיל האויר/השישה עשר
חיל האויר/התותחן,HE,חיל האויר/התותחן
חיל האויר/לסקוב,AR,حيل هأڤير/لسكوڤ
חיל האויר/לסקוב,EN,Hel Ha'Avir/Laskov
חיל האויר/לסקוב,HE,חיל האויר/לסקוב
חיל האויר/סיירת דוכיפת,AR,حيل هأڤير/سرية دوخيفت
חיל האויר/סיירת דוכיפת,EN,Hel Ha'Avir/Sayeret Dukhifat
חיל האויר/סיירת דוכיפת,HE,חיל האויר/סיירת דוכיפת
חיל ההנדסה/נעמי קיס,AR,حيل ههندسا/نُعومي كيس
חיל ההנדסה/נעמי קיס,EN,Hel HaHandasa/Na'omi Kiss
חיל ההנדסה/נעמי קיס,HE,חיל ההנדסה/נעמי קיס
חיל ההנדסה/שבטי ישראל,AR,حيل ههندسا/شيڤِتي يسرائيل
חיל ההנדסה/שבטי ישראל,EN,Hel HaHandasa/Shivte Israel
חיל ההנדסה/שבטי ישראל,HE,חיל ההנדסה/שבטי ישראל
חיל הי,AR,حيل هَيام
חיל הי,EN,Chel -Hi
חיל הי,HE,חיל הי
חיל הים,AR,حيل هيَم
חיל הים,EN,Hal HaYam
חיל הים,HE,חיל הים
חיל הים/העלייה השנייה,AR,خيل هيام/هعلية هشنية
חיל הים/העלייה השנייה,EN,Heil HaYam/HaAliyah HaShniya
חיל הים/העלייה השנייה,HE,חיל הים/העלייה השנייה
חיל הים/יורדי הים,AR,حيل هيام/يوردي هيام
חיל הים/יורדי הים,EN,Heyl Hayam/Yordey Hayam
חיל הים/יורדי הים,HE,חיל הים/יורדי הים
חיל הים/עלית הנוער,HE,חיל הים/עלית הנוער
חיל הים/ש"י עגנון,AR,سلاح البحرية/شاي عچنون
חיל הים/ש"י עגנון,EN,Hel HaYam/Shai Ag'non
חיל הים/ש"י עגנון,HE,חיל הים/ש"י עגנון
חיל השריון 60,HE,חיל השריון 60
חיל השריון/קיבוץ גלויות,AR,حيل هشريون/ كيبوتس چلويوت
חיל השריון/קיבוץ גלויות,EN,Hel HaShiryon/Kibbutz Galuyot
חיל השריון/קיבוץ גלויות,HE,חיל השריון/קיבוץ גלויות
חיל התותחנים/אח"י חץ,AR,حيل هتوتحانيم/أخي حيتس
חיל התותחנים/אח"י חץ,EN,Hel HaTotchanim/Ahi Hets
חיל התותחנים/אח"י חץ,HE,חיל התותחנים/אח"י חץ
חיל התותחנים/אחי להב,AR,حيل هتوتحَنيم/ أحي إيلات
חיל התותחנים/אחי להב,EN,Hail HaTothanim/AhI Lahav
חיל התותחנים/אחי להב,HE,חיל התותחנים/אחי להב
חיל התותחנים/חיל הצנחנים,AR,حَييل هَتوتحانيم/حَييل هَسنحنيم
חיל התותחנים/חיל הצנחנים,EN,Hel HaTothanim/Hel HaTsanhanim
חיל התותחנים/חיל הצנחנים,HE,חיל התותחנים/חיל הצנחנים
