fare_id,route_id,origin_id,destination_id,contains_id
202,,21415,39196,
202,,21532,32637,
202,,61314,293,
201,,53621,52706,
201,,56825,51616,
202,,12288,60314,
204,,22279,5201,
201,,10747,10311,
201,,31430,31350,
201,,40197,42626,
201,,58551,57370,
202,,407,32362,
201,,59107,59125,
202,,15554,14864,
202,,30361,37206,
202,,32877,25867,
204,,15539,62,
201,,40281,40547,
201,,38315,32494,
201,,54513,50827,
201,,53237,53128,
202,,43251,31912,
202,,51849,43714,
201,,20335,21486,
201,,31327,35867,
201,,33988,32117,
201,,37663,33432,
201,,57494,58270,
201,,58411,52710,
202,,1330,574,
202,,30856,37861,
202,,58060,57299,
204,,13976,10188,
204,,15573,60380,
202,,12139,15454,
202,,58018,55503,
202,,59124,50178,
204,,26946,1074,
201,,32197,35110,
201,,59026,58123,
204,,26402,10720,
225,,19708,13718,
201,,26302,26710,
201,,21337,20281,
201,,31494,38836,
201,,33868,31328,
201,,32159,32189,
201,,36434,36078,
201,,36764,65283,
201,,57930,51446,
202,,35571,34001,
202,,43252,34253,
202,,54214,51650,
204,,55258,25071,
201,,1100,222,
202,,160,1451,
204,,55001,57025,
201,,11018,31082,
201,,20306,36122,
202,,5391,645,
202,,31394,37326,
204,,43207,57027,
201,,5446,1657,
201,,15997,19561,
201,,21231,31682,
201,,50709,50772,
201,,53182,53392,
202,,13602,19948,
202,,31757,31094,
204,,5163,10197,
204,,52174,51045,
201,,20610,37566,
201,,2967,56481,
201,,58091,58100,
202,,108,60204,
202,,14349,11162,
202,,42194,50326,
202,,58006,50483,
202,,60823,4218,
204,,61223,19707,
204,,42697,57026,
201,,31227,31242,
201,,33798,33859,
201,,56390,50300,
201,,65428,35051,
202,,33579,12287,
204,,638,53797,
201,,16059,10008,
201,,30087,39276,
201,,52703,53415,
201,,51529,57905,
201,,55813,52689,
202,,15505,15366,
201,,31013,37170,
201,,32056,32055,
201,,34065,32158,
201,,36074,30300,
201,,52561,50158,
201,,36603,36613,
202,,61194,63894,
204,,31246,10056,
201,,18329,14855,
201,,30002,32207,
201,,31283,34693,
201,,40207,40785,
201,,56893,51395,
201,22898,,,
202,,65303,282,
201,,63588,63330,
202,,15502,15638,
202,,20885,31953,
202,,42286,40819,
202,,60214,20075,
202,,63265,63391,
201,,16355,19230,
201,,20005,36390,
201,,25349,26909,
201,,53821,55225,
201,,57323,53410,
202,,63098,63111,
204,,22970,60168,
201,,11418,15585,
201,,50565,55804,
201,,53223,53227,
202,,158,60306,
202,,9895,60301,
202,,61378,291,
204,,13417,60249,
201,,634,596,
201,,30401,37570,
201,,59024,55356,
202,,18400,15390,
202,,13949,11433,
201,,5482,1692,
201,,3034,1570,
201,,39907,38968,
201,,37207,37208,
201,,50678,53339,
201,,53742,54976,
201,,59464,58415,
202,,149,60370,
202,,15423,15543,
204,,53368,51084,
204,,38530,12837,
201,,31611,39014,
201,,35390,34231,
201,,54241,52723,
201,,60294,63979,
202,,31952,20282,
202,,40762,46080,
202,,51573,41184,
202,,59953,52603,
202,,60152,60270,
204,,10877,1459,
204,,12024,65411,
204,,10049,13864,
201,,3849,1812,
201,,14401,18507,
201,,58023,57118,
202,,5523,33416,
202,,57450,40309,
204,,4216,15385,
204,,31941,42178,
201,,20745,25607,
201,,63227,61374,
202,,16285,18115,
202,,19224,10894,
202,,41539,50884,
201,,21747,31713,
201,,38968,37410,
201,,39808,39848,
201,,36394,36119,
201,,52095,43061,
201,,59100,59290,
202,,54165,52656,
201,,5431,5660,
201,,34782,20838,
201,,37028,26908,
201,,40474,30386,
201,,59740,59742,
202,,33553,60403,
202,,32207,15747,
204,,11365,35629,
201,,31441,34332,
202,,6211,5669,
202,,32162,63984,
204,,11427,35573,
204,,5660,16084,
204,,16036,13966,
201,,6201,5427,
201,,26710,20243,
201,,37985,37391,
201,,36428,12017,
201,,61430,4218,
201,,57181,57115,
202,,20013,31951,
202,,26761,31931,
202,,54250,51703,
202,,50772,58860,
204,,53105,53574,
204,,52665,57121,
201,,26808,21472,
201,,34040,39080,
201,,39662,32011,
201,,54247,53234,
202,,46903,40180,
204,,15561,31081,
204,,15602,18403,
201,,16143,12219,
201,,60146,63880,
201,,59408,51569,
202,,1450,10131,
202,,51112,43721,
202,,54077,51037,
202,,50883,57117,
205,,51129,2000,
201,,52173,54916,
201,,63265,63418,
202,,59236,57536,
201,,10536,14414,
201,,15377,15450,
201,,31214,39742,
201,,30770,34942,
201,,39802,37151,
201,,63449,63321,
204,,4216,42325,
204,,5202,21365,
204,,43112,34540,
201,,15592,14849,
201,,35378,38134,
201,,35419,33145,
201,,50362,51573,
201,,52039,52425,
201,,65159,60380,
202,,22282,60301,
202,,31074,39700,
202,,30005,2256,
202,,41694,40267,
202,,51129,50483,
202,,21127,37049,
202,,31081,33326,
202,,63639,21264,
204,,11544,38589,
201,,19370,19865,
201,,33452,33280,
201,,50944,50956,
201,,51409,2332,
201,,51818,57469,
202,,11793,15224,
202,,25114,60001,
202,,37020,63233,
202,,39246,32277,
202,,60217,151,
202,,57368,53704,
204,,40654,47498,
201,,50557,54511,
201,,54140,55333,
202,,12024,60286,
201,,1356,539,
201,,51377,52396,
201,,60826,61121,
202,,5392,1729,
202,,10351,10307,
202,,52499,43025,
202,,52803,53391,
202,,58099,54419,
204,,19277,11323,
204,,33605,15468,
204,,35566,11428,
201,,27085,31349,
201,,31586,31285,
201,,33052,35512,
201,,35935,36044,
202,,26518,65386,
202,,40295,51649,
202,,35018,27104,
204,,37105,58033,
204,,57072,65438,
202,,1442,31660,
202,,32418,31100,
202,,58874,58441,
204,,19204,1637,
201,,40458,40592,
201,,51130,51464,
201,,60103,154,
201,,50037,52560,
201,,52074,59742,
201,,58360,55445,
201,,61101,61116,
201,7979,,,
202,,20656,11419,
202,,40565,20047,
202,,55137,54669,
202,,58007,51259,
204,,53184,40273,
201,,669,15425,
201,,15570,15266,
201,,5317,583,
201,,31051,38159,
201,,51603,58746,
201,,56841,58177,
201,,58058,51240,
202,,11036,20655,
202,,32878,31424,
202,,31093,36184,
202,,40420,47770,
201,,10123,11419,
201,,38923,33546,
201,,52413,57091,
202,,32148,15181,
202,,55402,47256,
202,,63296,21165,
204,,46135,55041,
201,,30836,39466,
201,,50811,54419,
201,,47879,30768,
201,,54665,50655,
201,,57457,52381,
202,,56795,47977,
201,,5659,1559,
201,,12129,11794,
201,,25206,26289,
202,,13907,10313,
204,,10099,21254,
201,,59096,50414,
202,,14379,14905,
202,,41609,53004,
204,,20750,15634,
201,,21564,25956,
201,,41477,50818,
201,,56807,56768,
201,18105,,,
201,,60783,61233,
202,,10138,15589,
202,,11359,34490,
202,,12201,15570,
202,,43863,41467,
202,,60102,10430,
202,,61084,3061,
201,,11547,15628,
201,,30173,28500,
201,,33737,36078,
201,,38920,34873,
201,,54516,59146,
202,,2255,32571,
202,,26544,65301,
202,,21028,32573,
202,,55815,41631,
205,,36500,12627,
201,,21540,31320,
201,,25958,31208,
201,,32784,30376,
202,,15602,14913,
201,,59956,59165,
202,,60080,2079,
211,,17016,17010,
204,,1372,39589,
204,,4170,36097,
204,,13944,15995,
204,,30802,43280,
204,,42154,57027,
204,,57453,52248,
201,,32115,33326,
201,,32224,32537,
201,,46959,42656,
202,,16427,16021,
202,,40297,54014,
204,,20050,55632,
204,,55376,52946,
201,,41009,41884,
201,,36103,34037,
201,,46071,46076,
201,,51257,56383,
201,,52026,54165,
201,,56394,56664,
201,,57929,56221,
201,,61481,63253,
202,,20068,65386,
202,,15531,18119,
202,,46140,47962,
202,,58410,43008,
201,,12545,13634,
201,,59457,50587,
202,,15535,17900,
201,,41289,43117,
201,,41423,43096,
201,,47704,43444,
202,,21669,39282,
202,,33201,13220,
202,,27103,63241,
202,,20798,32147,
204,,32162,13566,
204,,52796,60038,
201,,6008,60046,
201,,11345,16077,
201,,26910,26908,
201,,27997,37566,
201,,47880,46172,
201,,60695,60296,
202,,14540,15374,
202,,32247,60318,
202,,52287,56222,
202,,54313,58058,
201,,35366,32764,
201,,40958,40123,
202,,13777,14032,
202,,54112,42647,
202,,46121,39540,
201,,19354,15265,
