community_louvain,dominant_city,dominant_region,dominant_metro,n_neighborhoods,n_stops,population,mean_socio_cluster,socio_cluster_spread,rho_use_per_capita,p_use_per_capita,rho_stops_per_capita,p_stops_per_capita,rho_stop_level_use,p_stop_level_use,abs_rho,significant_05
30,חולון,מרכז,תל אביב,42,279,155239.78654668742,6.380952380952381,5,-0.3023109321763224,0.05167000580464867,-0.2087405579131166,0.1846288766010692,-0.12811691919181875,0.03242027480299148,0.3023109321763224,False
38,ירושלים,ירושלים,ירושלים,28,331,110635.99367708442,4.25,7,-0.2895615726300516,0.13502132444308487,0.31804303879038454,0.0990774071684853,-0.2651620431610809,9.8892825334692e-07,0.2895615726300516,False
45,מגדל העמק,צפון,פריפריה,18,332,48457.489937048806,4.888888888888889,7,-0.2824526148912408,0.25611127437283376,-0.3752138057595818,0.12495442688761141,0.18120784856821262,0.0009105101143992116,0.2824526148912408,False
22,קריית אתא,צפון,חיפה,13,209,56119.57823904573,5.384615384615385,6,-0.22774006804074312,0.45427332715194246,-0.02277400680407431,0.9411317448264112,-0.10579061063113718,0.12738238845318756,0.22774006804074312,False
54,טבריה,צפון,פריפריה,54,566,79141.33704309753,5.555555555555555,8,-0.2236441120547247,0.10402376258834964,0.010147968227796098,0.9419422205387198,-0.2903945293745538,1.843668485107278e-12,0.2236441120547247,False
32,כפר סבא,מרכז,תל אביב,63,660,210160.6458868549,7.984126984126984,5,-0.2140840436433485,0.09202571774965232,0.007547266651569603,0.953186441887953,0.024110628746446695,0.536358488208462,0.2140840436433485,False
28,לוד,מרכז,תל אביב,75,775,260136.62117735436,5.613333333333333,9,-0.2061008431166859,0.07606217156348959,0.44284587324256175,6.933853339201981e-05,-0.3483705264342243,1.5640669182512303e-23,0.2061008431166859,False
1,קריית גת,מרכז,פריפריה,108,788,182172.20739071287,5.953703703703703,9,-0.2050473763108172,0.03327134993873316,0.07396994696532809,0.44676673138295786,-0.25809698177644036,1.8576995935033776e-13,0.2050473763108172,True
35,תל אביב -יפו,מרכז,תל אביב,41,281,131906.8307462963,8.463414634146341,7,-0.19238188220272756,0.22818570687209078,-0.2919854904868817,0.06396882959871449,-0.14714391987848716,0.01354758438756782,0.19238188220272756,False
58,אריאל,מרכז,פריפריה,30,347,95697.26601010456,5.666666666666667,7,-0.19113127688313666,0.31165644047042995,-0.3845379261101202,0.035892207913967855,-0.046657325066765336,0.38623490552349815,0.19113127688313666,False
21,קריית ים,צפון,חיפה,44,466,166502.6788030971,5.4772727272727275,7,-0.17535809551808046,0.2548880535739087,-0.2086081878257132,0.17417216139483496,0.03831905100956724,0.4092148328089137,0.17535809551808046,False
12,רמת גן,מרכז,תל אביב,65,512,276641.41914360196,7.7846153846153845,6,-0.16741873181932676,0.18252743878420474,0.10150205146891896,0.42108617933731796,-0.3720378721432409,2.9758533137853663e-18,0.16741873181932676,False
70,כרמיאל,צפון,פריפריה,34,555,95280.62576657449,5.588235294117647,7,-0.1558352738525239,0.3788192283972368,-0.031042883237554563,0.8616447660714495,0.07452173286708882,0.07941387184549527,0.1558352738525239,False
48,נצרת,צפון,פריפריה,30,741,122785.14534383401,4.266666666666667,8,-0.14871962926188415,0.4328434939262742,0.011458334196742276,0.952080010352349,0.043102564949072386,0.24124831205876066,0.14871962926188415,False
50,ראש העין,מרכז,תל אביב,21,385,93932.66121853123,6.904761904761905,7,-0.14582095239727313,0.5282347770729323,-0.012095747203460442,0.9584990743954411,0.16246620283410576,0.0013803493693487908,0.14582095239727313,False
63,אבטליון,צפון,פריפריה,43,806,87481.01655882686,6.0,9,-0.1455715573609245,0.35163504588966454,-0.1824231806004022,0.24166489105560646,-0.011966281083626339,0.73445207474207,0.1455715573609245,False
49,פתח תקווה,מרכז,תל אביב,72,563,270681.2087471721,6.388888888888889,8,-0.13689688127572555,0.2515110374859853,0.0619373318008959,0.605257820736608,-0.1290518692246581,0.0021540487689491157,0.13689688127572555,False
15,חיפה,צפון,חיפה,22,307,73340.46122106745,5.681818181818182,7,-0.12297205695851128,0.5856172442204932,-0.25973537264134156,0.24307967137598954,0.08359456331779719,0.14393891229895625,0.12297205695851128,False
57,אור יהודה,מרכז,תל אביב,22,175,75831.33544365787,6.045454545454546,8,-0.11235002514676382,0.6186327117007966,0.1728461925334828,0.4417661728646932,-0.24342565217775988,0.0011699314064014346,0.11235002514676382,False
