stop_id,stop_name,region,metro,community_louvain,lat,lon,degree,stop_use_count,has_service_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_cluster,socio_cluster_group,socio_index_value,socio_population
38508,קובאא אלדאארי א,צפון,פריפריה,-1,32.504819,35.054694,19,376.0,True,False,nearest,2665.664341942723,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38509,קובאא אלדאארי א,צפון,פריפריה,-1,32.504402,35.053553,19,131.0,True,False,nearest,2609.922291084767,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38510,עלי בן אבי טאלב ד,צפון,פריפריה,-1,32.501083,35.053426,10,0.0,False,False,nearest,2923.2525544654272,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38511,אלערק ה,מרכז,פריפריה,-1,32.499578,35.052083,8,123.0,True,False,nearest,2991.220972839747,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38512,אלערק ג,מרכז,פריפריה,-1,32.497923,35.049612,8,123.0,True,False,,,,,,,,
38513,אלערק א,מרכז,פריפריה,-1,32.494587,35.04301,9,123.0,True,False,nearest,2496.397334557614,6170001,ברקאי,7,middle_5_7,0.968842930546539,545.775666086978
38514,אלסנדחאוי ג,מרכז,פריפריה,-1,32.495343,35.041636,8,0.0,False,False,nearest,2514.9833975471965,6170001,ברקאי,7,middle_5_7,0.968842930546539,545.775666086978
38515,מסגד אלסנדחאוי/טארק בן זיאד,מרכז,פריפריה,-1,32.497676,35.039675,13,0.0,False,False,nearest,2704.403167442852,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38516,אלסנדחאוי א,מרכז,פריפריה,-1,32.496199,35.03439,4,123.0,True,False,nearest,2334.273811814389,2230001,עין עירון,8,high_8_10,1.20082742920828,587.352184837366
38517,אבן סינאא ה,מרכז,פריפריה,-1,32.498639,35.035988,8,124.0,True,False,nearest,2532.157665495952,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38518,אבן סינאא ג,צפון,פריפריה,-1,32.500082,35.038492,11,123.0,True,False,nearest,2370.504813029959,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38519,אבן סינאא ב/אל קטאיין,צפון,פריפריה,-1,32.50236,35.042421,7,0.0,False,False,nearest,2168.0385236872794,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38520,אלירמוק/ח'לת אלשלח,צפון,פריפריה,-1,32.505688,35.043269,6,123.0,True,False,nearest,1793.653661892217,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38521,שכ' אלחאוורנה/ח'לת אלשלח,צפון,פריפריה,-1,32.505738,35.045173,10,123.0,True,False,nearest,1888.0505911515986,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38522,מועצה מקומית,צפון,פריפריה,-1,32.50539,35.047976,12,0.0,False,False,nearest,2101.5613556266894,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38523,פאטמה אלזהראא,צפון,פריפריה,-1,32.507766,35.049413,13,123.0,True,False,nearest,1969.9547713341817,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38524,נדאא אלחק,צפון,פריפריה,-1,32.508854,35.050743,15,123.0,True,False,nearest,1986.3522696879618,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38525,אלביר ג,צפון,פריפריה,-1,32.510767,35.054216,16,123.0,True,False,nearest,2166.184225244028,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38526,עין ורדה ב,צפון,פריפריה,-1,32.516629,35.055868,10,124.0,True,False,nearest,2081.4118409117727,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38527,עין ורדה א,צפון,פריפריה,-1,32.515943,35.059327,7,123.0,True,False,nearest,2476.679667230091,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38528,מועויאה ג/עמרו בן אל עאס,צפון,פריפריה,-1,32.514277,35.059781,13,123.0,True,False,nearest,2574.613411699377,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38529,מועויאה ה,צפון,פריפריה,-1,32.510908,35.0575,20,124.0,True,False,nearest,2486.0640657358385,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38530,אל מפאח'ר,צפון,פריפריה,-1,32.507831,35.058499,27,123.0,True,False,nearest,2772.3095364609026,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38531,אבו ח'ושם/אבן ח'לדון,צפון,פריפריה,-1,32.509097,35.058587,25,123.0,True,False,nearest,2699.29916867351,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38532,אבן ח'לדון ב,צפון,פריפריה,-1,32.510266,35.059873,21,131.0,True,False,nearest,2761.624064522018,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38533,אבן ח'לדון/עמרו בן אל עאס,צפון,פריפריה,-1,32.511161,35.062461,16,131.0,True,False,nearest,2982.3363238943107,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38534,קריית חינוך,צפון,פריפריה,-1,32.511186,35.064313,10,247.0,True,False,,,,,,,,
38535,מעלה אבשלום/הצבעוני,צפון,חיפה,-1,32.691604,35.111095,15,104.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38536,מעלה אבשלום ו,צפון,חיפה,-1,32.700195,35.112028,8,104.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38537,מעלה אבשלום ד,צפון,חיפה,-1,32.697611,35.109858,22,104.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38538,מעלה אבשלום ב,צפון,חיפה,-1,32.693289,35.110149,22,104.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38539,הצבעוני/הכרכום,צפון,חיפה,-1,32.69634,35.108186,23,128.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38540,הצבעוני/הכרכום,צפון,חיפה,-1,32.696803,35.108153,21,107.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38541,הצבעוני,צפון,חיפה,-1,32.693636,35.109099,23,128.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38542,הצבעוני,צפון,חיפה,-1,32.693908,35.109071,22,107.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38543,הצבעוני/מעלה אבשלום,צפון,חיפה,-1,32.691986,35.109968,17,128.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38544,הצבעוני/מעלה אבשלום,צפון,חיפה,-1,32.691283,35.110446,15,107.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38545,הרצל/שפרינצק,צפון,חיפה,-1,32.692312,35.108886,19,144.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38546,הרצל ב,צפון,חיפה,-1,32.694574,35.10793,21,165.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38547,רותם/הגומא,צפון,חיפה,-1,32.699903,35.110148,16,216.0,True,False,within,0.0,23000004,קריית טבעון,8,high_8_10,1.36067329341101,3465.75800725003
38549,יצחק רבין/סמטת הגליל,צפון,חיפה,-1,32.709387,35.120641,25,49.0,True,False,within,0.0,23000003,קריית טבעון,8,high_8_10,1.32245191017317,5012.11734502911
38550,יצחק רבין/יהושע חנקין,צפון,חיפה,-1,32.709438,35.122574,26,49.0,True,False,within,0.0,23000003,קריית טבעון,8,high_8_10,1.32245191017317,5012.11734502911
38551,שבע אחיות/מבוא שזיף,ירושלים,ירושלים,-1,31.794862,35.149836,13,134.0,True,False,within,0.0,10150006,מבשרת ציון,7,middle_5_7,0.606921268312719,4376.1082408117
38553,מסעף עין המפרץ,צפון,חיפה,-1,32.89998,35.091682,7,576.0,True,False,within,0.0,76000034,עכו,5,middle_5_7,-0.211296040911402,1398.71638599901
38554,אל-סנדיאן,צפון,חיפה,-1,32.681667,35.071594,13,102.0,True,False,,,,,,,,
38555,בי''ס טכנולוגי,צפון,חיפה,-1,32.683408,35.073417,10,102.0,True,False,,,,,,,,
38556,בי''ס טכנולוגי,צפון,חיפה,-1,32.683173,35.073391,10,98.0,True,False,,,,,,,,
38557,צומת דאליה הצעירה,צפון,חיפה,-1,32.686092,35.073562,4,102.0,True,False,,,,,,,,
38558,מצפה כרמל,צפון,חיפה,-1,32.685934,35.070288,15,98.0,True,False,,,,,,,,
38559,מצפה כרמל,צפון,חיפה,-1,32.685698,35.069933,16,102.0,True,False,,,,,,,,
38560,הפסגות,צפון,פריפריה,-1,32.70462,35.32058,27,476.0,True,False,within,0.0,10610024,נוף הגליל,5,middle_5_7,-0.346419522048005,2793.70983216451
38561,וואדי אלפאש 2,צפון,חיפה,-1,32.696304,35.060464,16,96.0,True,False,,,,,,,,
38562,וואדי אלפאש 2,צפון,חיפה,-1,32.696319,35.060168,16,96.0,True,False,,,,,,,,
38565,אל-סנדיאן,צפון,חיפה,-1,32.681366,35.071213,12,98.0,True,False,,,,,,,,
38566,מוחרקה 1,צפון,חיפה,-1,32.686306,35.067352,14,102.0,True,False,,,,,,,,
38567,עבד קדור,צפון,חיפה,-1,32.694171,35.044218,17,192.0,True,False,,,,,,,,
38568,אלמראח,צפון,חיפה,-1,32.695146,35.043307,22,96.0,True,False,,,,,,,,
38570,בית העם גברים,צפון,חיפה,-1,32.695212,35.044245,20,192.0,True,False,,,,,,,,
38572,ברקת/יהלום,מרכז,פריפריה,-1,32.487978,34.905419,12,0.0,False,False,within,0.0,11670001,קיסריה,9,high_8_10,1.99752161295104,5782.82845454897
38573,ברקת/שוהם,מרכז,פריפריה,-1,32.487987,34.907256,12,0.0,False,False,within,0.0,11670001,קיסריה,9,high_8_10,1.99752161295104,5782.82845454897
38574,הכוכבים/הגשם,מרכז,פריפריה,-1,32.489838,34.912636,5,66.0,True,False,within,0.0,11670001,קיסריה,9,high_8_10,1.99752161295104,5782.82845454897
