socio_unit_id,socio_locality,socio_locality_code,socio_stat_area_code,socio_cluster,stops,active_stops,total_stop_use_count,avg_stop_use_count,median_stop_use_count,avg_proximity_degree,critical_stops,dominant_region,dominant_metro,louvain_communities,socio_population,socio_index_value,active_stop_share,stops_per_1000_residents,stop_use_count_per_1000_residents,stop_use_count_per_stop,critical_stop_share
30000115,ירושלים,3000.0,115.0,1,5,5,8406.0,1681.2,1566.0,22.0,0,ירושלים,ירושלים,0,5025.13655830938,-2.0227934854892,1.0,0.9949978357766587,1672.7903615077184,1681.2,0.0
30000512,ירושלים,3000.0,512.0,1,16,15,34660.0,2166.25,2079.5,48.4375,0,ירושלים,ירושלים,0,2863.53124490315,-2.23340280354001,0.9375,5.587506694218435,12103.936376350686,2166.25,0.0
30000513,ירושלים,3000.0,513.0,1,8,7,8623.0,1077.875,408.0,47.25,0,ירושלים,ירושלים,0,3951.80985464006,-2.47448073382137,0.875,2.0243888988248546,2182.03818432084,1077.875,0.0
30000514,ירושלים,3000.0,514.0,1,9,7,20759.0,2306.5555555555557,2572.0,49.22222222222222,0,ירושלים,ירושלים,0,4203.16274531345,-2.03232031190753,0.7777777777777778,2.1412447115056517,4938.899885127314,2306.5555555555557,0.0
30000515,ירושלים,3000.0,515.0,1,14,11,13940.0,995.7142857142857,425.0,47.5,0,ירושלים,ירושלים,0,4600.87131281237,-2.12811691524622,0.7857142857142857,3.0429018870867384,3029.860878999224,995.7142857142857,0.0
30000521,ירושלים,3000.0,521.0,1,19,18,26515.0,1395.5263157894738,1235.0,31.63157894736842,0,ירושלים,ירושלים,0,4269.40803210005,-2.0392889571629,0.9473684210526315,4.450265670825147,6210.462855890988,1395.5263157894738,0.0
30000532,ירושלים,3000.0,532.0,1,8,7,16086.0,2010.75,1916.0,44.75,0,ירושלים,ירושלים,0,4915.68307444301,-2.2007756358636,0.875,1.6274442186056655,3272.383462561342,2010.75,0.0
30000533,ירושלים,3000.0,533.0,1,9,9,9551.0,1061.2222222222222,1196.0,27.77777777777778,0,ירושלים,ירושלים,0,2675.90179624941,-2.03227849953242,1.0,3.3633521277255225,3569.2640191007185,1061.2222222222222,0.0
30000812,ירושלים,3000.0,812.0,1,7,7,13560.0,1937.142857142857,1440.0,43.0,0,ירושלים,ירושלים,0,3484.59620032895,-2.01119329684221,1.0,2.008841081597687,3891.4121523520917,1937.142857142857,0.0
30000821,ירושלים,3000.0,821.0,1,2,2,3607.0,1803.5,1803.5,32.0,0,ירושלים,ירושלים,0,8731.29243981465,-3.31517349336206,1.0,0.2290611629132945,413.1118073141266,1803.5,0.0
30000822,ירושלים,3000.0,822.0,1,2,2,2096.0,1048.0,1048.0,25.0,0,ירושלים,ירושלים,0,7042.88231920016,-2.80994146636425,1.0,0.28397464409530765,297.60542701188234,1048.0,0.0
30000824,ירושלים,3000.0,824.0,1,7,6,17277.0,2468.1428571428573,2264.0,34.714285714285715,0,ירושלים,ירושלים,0,10006.5263726942,-2.54349517551734,0.8571428571428571,0.6995434518717298,1726.5731739982682,2468.1428571428573,0.0
30000825,ירושלים,3000.0,825.0,1,2,2,10872.0,5436.0,5436.0,19.0,0,ירושלים,ירושלים,0,2797.48731181984,-3.12512646255796,1.0,0.7149272819038978,3886.344704429588,5436.0,0.0
30000826,ירושלים,3000.0,826.0,1,6,6,11642.0,1940.3333333333333,1944.5,30.166666666666668,0,ירושלים,ירושלים,0,6131.72534825437,-2.63046571549825,1.0,0.9785174089227805,1898.6499457798352,1940.3333333333333,0.0
30000834,ירושלים,3000.0,834.0,1,1,1,2368.0,2368.0,2368.0,27.0,0,ירושלים,ירושלים,0,4168.15446332772,-2.00293029373191,1.0,0.23991433350136268,568.1171417312269,2368.0,0.0
30000835,ירושלים,3000.0,835.0,1,2,2,4624.0,2312.0,2312.0,23.0,0,ירושלים,ירושלים,0,2669.21512870126,-2.94804100596076,1.0,0.7492839293823144,1732.344444731911,2312.0,0.0
30000836,ירושלים,3000.0,836.0,1,4,4,10519.0,2629.75,2706.0,25.75,0,ירושלים,ירושלים,0,4302.45537432408,-2.16648879080977,1.0,0.9297016824092925,2444.882999315837,2629.75,0.0
30000913,ירושלים,3000.0,913.0,1,8,8,19631.0,2453.875,2911.0,41.75,0,ירושלים,ירושלים,0,2316.62571057922,-2.0464406964278,1.0,3.4532984605440555,8473.962759867545,2453.875,0.0
30002111,ירושלים,3000.0,2111.0,1,34,33,9959.0,292.9117647058824,280.0,10.911764705882353,1,ירושלים,ירושלים,0,42382.9214958473,-2.50148406076644,0.9705882352941176,0.802209918524171,234.976722899477,292.9117647058824,0.029411764705882353
30002212,ירושלים,3000.0,2212.0,1,2,2,130.0,65.0,65.0,2.0,0,ירושלים,ירושלים,0,23339.0368810555,-2.9294985005004,1.0,0.08569333902648817,5.57006703672173,65.0,0.0
30002311,ירושלים,3000.0,2311.0,1,24,24,2899.0,120.79166666666667,90.0,14.208333333333334,0,ירושלים,ירושלים,0,20526.5863336928,-2.37040456778196,1.0,1.1692153585521359,141.23147185177672,120.79166666666667,0.0
30002312,ירושלים,3000.0,2312.0,1,58,46,6897.0,118.91379310344827,98.0,16.32758620689655,0,ירושלים,ירושלים,0,30621.5952676084,-2.07532573764626,0.7931034482758621,1.8940881261451634,225.233203552124,118.91379310344827,0.0
30002511,ירושלים,3000.0,2511.0,1,2,2,2297.0,1148.5,1148.5,25.0,0,ירושלים,ירושלים,0,21145.9238963089,-2.39011676557439,1.0,0.09458087571898938,108.62613576325931,1148.5,0.0
30002611,ירושלים,3000.0,2611.0,1,12,12,4291.0,357.5833333333333,152.0,10.666666666666666,0,ירושלים,ירושלים,0,19866.4054950366,-2.37357650900678,1.0,0.6040347864135797,215.99277237505586,357.5833333333333,0.0
30002612,ירושלים,3000.0,2612.0,1,12,10,768.0,64.0,77.0,10.833333333333334,0,ירושלים,ירושלים,0,12444.3876747705,-2.1875781902735,0.8333333333333334,0.9642901132314093,61.7145672468102,64.0,0.0
30002613,ירושלים,3000.0,2613.0,1,32,32,5169.0,161.53125,144.5,15.40625,0,ירושלים,ירושלים,0,21515.5177664034,-2.23435054100313,1.0,1.4872986254585132,240.24520609359544,161.53125,0.0
30002711,ירושלים,3000.0,2711.0,1,56,55,6706.0,119.75,87.0,15.107142857142858,1,ירושלים,ירושלים,0,26763.0232595833,-2.11884357800703,0.9821428571428571,2.0924392381547374,250.5695987690298,119.75,0.017857142857142856
30002811,ירושלים,3000.0,2811.0,1,44,40,1542.0,35.04545454545455,32.0,11.227272727272727,0,ירושלים,ירושלים,0,20334.2333549328,-2.0239696582517,0.9090909090909091,2.163838647466206,75.83270896347476,35.04545454545455,0.0
10590001,כסיפה,1059.0,1.0,1,69,62,10203.0,147.8695652173913,156.0,7.057971014492754,0,דרום,פריפריה,0,23136.1399585847,-2.29965869963591,0.8985507246376812,2.9823471038606613,440.99836957522217,147.8695652173913,0.0
70000044,לוד,7000.0,44.0,1,7,7,2026.0,289.42857142857144,93.0,8.142857142857142,0,מרכז,תל אביב,1,5044.50938187076,-2.06883030137974,1.0,1.3876473349731475,401.62478580794243,289.42857142857144,0.0
13180001,מבואות ים,1318.0,1.0,1,3,2,64.0,21.333333333333332,32.0,4.0,0,מרכז,פריפריה,0,364.476072315975,-2.20020464449485,0.6666666666666666,8.230993000273587,175.59451733916987,21.333333333333332,0.0
37970002,מודיעין עילית,3797.0,2.0,1,22,19,19559.0,889.0454545454545,830.5,23.954545454545453,0,מרכז,פריפריה,0,14114.480351872,-2.16099359868863,0.8636363636363636,1.5586829590281122,1385.739999801402,889.0454545454545,0.0
