community_louvain,stops,active_stops,total_stop_use_count,avg_stop_use_count,avg_socio_cluster,median_socio_cluster,dominant_socio_cluster,low_socio_stop_share,dominant_city,dominant_region,dominant_metro,socio_areas,covered_population_estimate,active_stop_share
39.0,201,201,30760.0,153.03482587064676,6.8606965174129355,7.0,7.0,0.13930348258706468,מגל,מרכז,פריפריה,9,14146.182013770043,1.0
13.0,186,186,34786.0,187.0215053763441,7.263440860215054,8.0,8.0,0.12365591397849462,קריית טבעון,צפון,חיפה,10,28824.23013842212,1.0
57.0,175,175,60509.0,345.7657142857143,6.577142857142857,7.0,7.0,0.15428571428571428,אור יהודה,מרכז,תל אביב,25,75831.33544365785,1.0
7.0,155,155,57071.0,368.2,7.425806451612903,7.0,7.0,0.0,מבשרת ציון,ירושלים,ירושלים,13,31173.097459001005,1.0
8.0,130,130,37423.0,287.8692307692308,6.7846153846153845,7.0,7.0,0.2076923076923077,אור עקיבא,צפון,פריפריה,7,26588.478557590068,1.0
16.0,116,116,11062.0,95.36206896551724,4.008620689655173,3.0,3.0,0.5862068965517241,מצפה רמון,דרום,פריפריה,15,18875.54782397424,1.0
53.0,110,110,25596.0,232.6909090909091,1.7454545454545454,2.0,2.0,0.990909090909091,ירושלים,ירושלים,ירושלים,5,111864.756860772,1.0
51.0,108,108,46835.0,433.6574074074074,2.0,2.0,2.0,1.0,אלעד,מרכז,תל אביב,7,49585.56649011853,1.0
47.0,107,107,17774.0,166.11214953271028,6.962616822429907,7.0,7.0,0.018691588785046728,גן יבנה,מרכז,פריפריה,11,34171.73187822944,1.0
61.0,107,107,23459.0,219.2429906542056,7.4392523364485985,8.0,8.0,0.11214953271028037,מי עמי,צפון,פריפריה,4,553.740039068291,1.0
5.0,90,90,129829.0,1442.5444444444445,2.922222222222222,2.0,2.0,0.9,ירושלים,ירושלים,ירושלים,12,18934.638678619853,1.0
44.0,58,58,16562.0,285.55172413793105,3.8275862068965516,3.0,3.0,0.6724137931034483,קריית ארבע,דרום,פריפריה,12,14131.062372178349,1.0
72.0,50,50,22817.0,456.34,5.42,6.0,4.0,0.48,יגור,צפון,חיפה,4,2189.677718107627,1.0
46.0,39,39,3606.0,92.46153846153847,3.0,3.0,3.0,1.0,ירושלים,ירושלים,ירושלים,1,15309.4177716872,1.0
69.0,27,27,4356.0,161.33333333333334,8.592592592592593,9.0,9.0,0.0,הר אדר,ירושלים,ירושלים,4,5407.567269915473,1.0
