socio_unit_id,socio_cluster,population,stops,total_stop_use,community,city,region,metro,stop_use_per_1000,stops_per_1000
40000945.0,5.0,656.680125380691,7,10140.0,14,חיפה,צפון,חיפה,15441.307888100973,10.659680001647613
40010001.0,3.0,6746.71330094772,30,816.0,52,בוקעאתא,צפון,פריפריה,120.94778058604852,4.446609580369431
40020001.0,7.0,457.453749342887,10,881.0,52,אלי-עד,צפון,פריפריה,1925.8777554354276,21.86013343286524
40030001.0,7.0,441.976692435909,3,198.0,52,אל -רום,צפון,פריפריה,447.98742419819337,6.787688245427172
40040001.0,7.0,478.087540884385,4,144.0,52,כפר חרוב,צפון,פריפריה,301.20006836744415,8.366668565762337
40050001.0,3.0,2070.16295788937,3,353.0,52,חספין,צפון,פריפריה,170.51797717407734,1.4491612790998076
40060001.0,3.0,862.388478256667,6,244.0,52,קשת,צפון,פריפריה,282.93513439934884,6.957421337688905
40070001.0,5.0,802.31347204789,4,348.0,52,יונתן,צפון,פריפריה,433.7456768758184,4.985582492825499
40080001.0,8.0,573.538699619234,7,251.0,52,מעלה גמלא,צפון,פריפריה,437.63393850604353,12.204930555945436
40090001.0,8.0,316.290176711229,8,310.0,52,שעל,צפון,פריפריה,980.1126396759016,25.29322941099101
40100001.0,8.0,175.216136294382,4,93.0,52,אודם,צפון,פריפריה,530.7730324777277,22.82894763345066
40110001.0,6.0,811.077470984836,4,337.0,52,אבני איתן,צפון,פריפריה,415.49668441758575,4.931711387745825
40120001.0,7.0,502.312922220753,4,329.0,52,אניעם,צפון,פריפריה,654.9702096961252,7.963163643721885
40130001.0,7.0,368.538310602491,8,432.0,52,אורטל,צפון,פריפריה,1172.1983510852945,21.707376871949894
40140001.0,4.0,910.085505278735,1,145.0,52,נטור,צפון,פריפריה,159.32568880502095,1.0987978538277308
40150001.0,5.0,1129.47671247172,5,656.0,52,בני יהודה,צפון,פריפריה,580.7999339485497,4.42682876485175
40170001.0,4.0,471.577507451164,3,110.0,52,אלוני הבשן,צפון,פריפריה,233.25964080547556,6.361626567422062
40190001.0,5.0,322.019352950023,1,66.0,52,מיצר,צפון,פריפריה,204.9566257287745,3.1054034201329466
40210001.0,7.0,728.070235423076,4,271.0,52,גבעת יואב,צפון,פריפריה,372.21683680355915,5.493975450975043
40220001.0,7.0,309.604820002269,1,114.0,52,גשור,צפון,פריפריה,368.2113217719432,3.2299238751924837
40240001.0,6.0,390.103768904387,6,318.0,52,קלע,צפון,פריפריה,815.167720355813,15.380523025581375
40250001.0,8.0,537.462205958719,15,864.0,52,קדמת צבי,צפון,פריפריה,1607.5548948763878,27.90893914715951
40260001.0,7.0,876.829705382469,14,462.0,52,חד-נס,צפון,פריפריה,526.8982074443724,15.96661234679916
40280001.0,8.0,465.90119136686,6,142.0,52,כנף,צפון,פריפריה,304.7856554807269,12.878267132988459
41000001.0,5.0,7600.01724145539,48,9113.0,52,קצרין,צפון,פריפריה,1199.0762271290423,6.315775145637444
41010001.0,7.0,754.17781053572,9,431.0,52,מרום גולן,צפון,פריפריה,571.4832682412718,11.93352532290359
42010001.0,3.0,11401.5911852937,17,590.0,52,מג'דל שמס,צפון,פריפריה,51.747163217096336,1.4910199571027758
42030001.0,3.0,3810.54821518747,14,685.0,52,מסעדה,צפון,פריפריה,179.76416025123032,3.6740120343317146
42040001.0,7.0,459.049202751515,2,100.0,52,מבוא חמה,צפון,פריפריה,217.84157210295902,4.35683144205918
43010001.0,7.0,356.557362372064,9,738.0,52,אפיק,צפון,פריפריה,2069.7931886480146,25.241380349366032
43030001.0,7.0,141.401654255102,4,214.0,52,"נווה אטי""ב",צפון,פריפריה,1513.4193523218883,28.288212192932487
43040001.0,5.0,1025.5454861074,3,309.0,52,נוב,צפון,פריפריה,301.3030666956103,2.925272492190391
45010001.0,3.0,2742.22796491483,1,39.0,52,ע'ג'ר,צפון,פריפריה,14.222012356004578,0.36466698348729687
45020001.0,3.0,2171.95485875961,17,829.0,52,עין קנייא,צפון,פריפריה,381.68380740354644,7.827050332762713
45030001.0,7.0,426.670298103456,3,191.0,52,עין זיוון,צפון,פריפריה,447.6524399495174,7.031190156275142
45510001.0,7.0,670.043381093642,3,311.0,52,נאות גולן,צפון,פריפריה,464.1490518007761,4.477322043094303
47010001.0,5.0,784.098550681987,9,1148.0,52,רמת מגשימים,צפון,פריפריה,1464.1016731908273,11.478149005851433
47020001.0,8.0,543.916735253984,14,931.0,52,רמות,צפון,פריפריה,1711.659045690635,25.739233769783983
50000113.0,9.0,12518.8202741211,8,10844.0,35,תל אביב -יפו,מרכז,תל אביב,866.2158064859124,0.6390378505982386
50000114.0,9.0,7371.56496692985,14,18993.0,35,תל אביב -יפו,מרכז,תל אביב,2576.5220933690434,1.8991896649906075
50000115.0,9.0,5875.98038287419,5,12556.0,35,תל אביב -יפו,מרכז,תל אביב,2136.834907855552,0.8509218333289074
50000117.0,9.0,6193.26521393217,34,38783.0,35,תל אביב -יפו,מרכז,תל אביב,6262.124850192918,5.48983433222183
50000121.0,9.0,3815.14840961168,1,88.0,35,תל אביב -יפו,מרכז,תל אביב,23.065944113287316,0.2621130012873559
50000122.0,9.0,3632.92646669793,2,1404.0,35,תל אביב -יפו,מרכז,תל אביב,386.46529536727326,0.5505203637710445
50000123.0,9.0,4861.7090643647,8,7034.0,35,תל אביב -יפו,מרכז,תל אביב,1446.8163164179718,1.6455118753687483
50000124.0,9.0,4666.70592563795,9,3051.0,35,תל אביב -יפו,מרכז,תל אביב,653.7802142702876,1.928555204337132
50000125.0,9.0,4789.98876375809,6,4031.0,35,תל אביב -יפו,מרכז,תל אביב,841.5468592534634,1.2526125416821583
50000131.0,10.0,2498.99096398859,7,7808.0,35,תל אביב -יפו,מרכז,תל אביב,3124.4610774973776,2.8011305766498005
50000132.0,9.0,3002.50499615973,6,11800.0,35,תל אביב -יפו,מרכז,תל אביב,3930.051745156947,1.9983313958425153
50000133.0,9.0,5178.73634243638,14,19251.0,35,תל אביב -יפו,מרכז,תל אביב,3717.316103206599,2.7033621861146115
50000134.0,8.0,4004.75981118549,10,13070.0,35,תל אביב -יפו,מרכז,תל אביב,3263.616450478466,2.497028653770823
50000135.0,5.0,1708.79143720968,31,48251.0,35,תל אביב -יפו,מרכז,תל אביב,28236.915839647485,18.141476674661085
50000211.0,9.0,5803.93107711603,5,3461.0,33,תל אביב -יפו,מרכז,תל אביב,596.3199690027623,0.8614850751267875
50000212.0,9.0,5654.95214966101,6,5743.0,11,תל אביב -יפו,מרכז,תל אביב,1015.5700433900698,1.0610169354588923
50000213.0,9.0,3436.97773740578,9,11052.0,11,תל אביב -יפו,מרכז,תל אביב,3215.6158242508764,2.618579661442082
50000214.0,9.0,2948.40717676247,6,5187.0,35,תל אביב -יפו,מרכז,תל אביב,1759.2549770197074,2.0349970815728256
50000215.0,8.0,5590.45486464453,11,8280.0,35,תל אביב -יפו,מרכז,תל אביב,1481.0959395030345,1.967639533156205
