mode_label,from_stop,to_stop,trip_frequency
bus,29480,13636,380
bus,13636,13143,1839
bus,13143,12893,2069
bus,12893,48083,738
bus,48083,13226,110
bus,13226,48438,2182
bus,48438,48640,516
bus,48640,51270,425
bus,51270,14595,425
bus,26371,26370,859
bus,26370,36091,859
bus,36091,28605,859
bus,28605,28607,859
bus,28607,26342,859
bus,26342,12031,463
bus,12031,25918,463
bus,25918,27585,497
bus,27585,48396,710
bus,48396,28750,712
bus,28750,26237,422
bus,26237,26246,422
bus,26246,26244,566
bus,26244,26224,209
bus,26224,39628,370
bus,39628,26218,568
bus,26218,27109,407
bus,27109,26215,637
bus,26215,25543,1157
bus,25543,25544,1235
bus,25544,25545,1928
bus,25545,25546,1239
bus,25546,26202,428
bus,26202,26195,209
bus,26195,26196,508
bus,26196,25928,345
bus,25928,26162,963
bus,26162,25929,963
bus,25929,25930,1099
bus,25930,43370,830
bus,43370,28854,497
bus,28854,25900,209
bus,25900,26093,209
bus,26093,26080,542
bus,26080,26073,337
bus,26073,26059,337
bus,26059,48005,329
bus,48005,26057,209
bus,26057,26056,215
bus,26056,26046,209
bus,26046,27416,263
bus,27416,26052,413
bus,26052,26022,1156
bus,26022,28677,1156
bus,28677,28663,1156
bus,28663,25852,1156
bus,25852,35404,1123
bus,8758,11833,2441
bus,11833,9954,2441
bus,9954,8718,1616
bus,8718,8719,2973
bus,8719,8720,2973
bus,8720,8721,2981
bus,8721,8722,2981
bus,8722,8723,2981
bus,8723,8724,2981
bus,8724,8725,2981
bus,8725,40027,2957
bus,40027,8760,580
bus,8760,10029,2441
bus,10029,8762,2441
bus,8762,8763,2441
bus,8763,10032,2146
bus,10032,8764,2146
bus,8764,8765,2441
bus,8765,9959,2100
bus,9959,8793,5107
bus,8793,8794,5181
bus,8794,9352,3841
bus,9352,8707,4076
bus,8707,8705,4076
bus,8705,8704,4076
bus,8704,8667,740
bus,8667,8664,2095
bus,8664,8835,2958
bus,8835,8662,2956
bus,8662,8836,2964
bus,8836,8658,2964
bus,8658,8656,2964
bus,8656,8654,2956
bus,8654,8652,2956
bus,8652,9450,2964
bus,9450,8648,2964
bus,8648,8646,2950
bus,8646,8644,2370
bus,8644,8643,2167
bus,8643,8641,2159
bus,8641,8639,1876
bus,8639,10131,580
bus,10131,8844,580
bus,8844,8845,1253
bus,8845,8846,1253
bus,8846,8847,1253
bus,8847,8848,1253
bus,8848,9498,580
bus,9498,9500,1375
bus,9500,9488,1375
bus,9488,11649,1156
bus,11649,11741,1488
bus,11741,11726,672
bus,9959,9353,1578
bus,9353,9575,1584
bus,9575,11567,1584
bus,11567,9355,1584
bus,9355,8755,826
bus,8755,9352,1034
bus,8704,44961,1813
bus,44961,44962,2555
bus,44962,45042,1533
bus,45042,10784,2196
bus,10784,10785,2780
bus,10785,10683,1089
bus,10683,11610,2473
bus,11610,8639,1653
bus,8639,37785,1653
bus,37785,49737,3459
bus,49737,8636,5149
bus,8636,10790,2324
bus,10790,10765,1095
bus,10765,8828,2117
bus,8828,8829,574
bus,8829,8830,1009
bus,8830,8831,1959
bus,8831,9994,1911
bus,9994,11636,927
bus,11636,8818,927
bus,8818,8819,1602
bus,8819,8820,2515
bus,8820,8821,2515
bus,8821,41242,1314
bus,41242,41239,2077
bus,41239,41243,2077
bus,41243,8676,919
bus,8676,8678,2797
bus,8678,8680,2797
bus,8680,51267,1284
bus,47116,8681,1278
bus,8681,8679,2775
bus,8679,8677,2775
bus,8677,41244,883
bus,41244,41240,1935
bus,41240,41241,1935
bus,41241,8682,1152
bus,8682,8683,2395
bus,8683,8684,2395
bus,8684,8832,1578
bus,8832,10247,893
bus,10247,8668,907
bus,8668,8824,1837
