stop_id,largest_component_share_surviving,pairs_disconnected_share,components_after,route_type,mode_label,stop_name,metro,degree,weighted_degree,exact_betweenness,is_articulation_point
49103,0.2555,0.0711,5,0,tram/light rail,ז'בוטינסקי,Tel Aviv,2,1276,0.017389,True
49128,0.2555,0.0711,5,0,tram/light rail,שנקר,Tel Aviv,2,1214,0.017389,True
49429,0.2555,0.0637,5,0,tram/light rail,גן המפלצת,Jerusalem,2,464,0.015565,True
35121,0.2555,0.0637,5,0,tram/light rail,סיירת דוכיפת,Jerusalem,2,464,0.015565,True
35122,0.2555,0.0637,5,0,tram/light rail,סיירת דוכיפת,Jerusalem,2,464,0.015565,True
49449,0.2555,0.0637,5,0,tram/light rail,גן המפלצת,Jerusalem,2,500,0.015565,True
49129,0.2555,0.0614,5,0,tram/light rail,שחם,Tel Aviv,2,1216,0.015028,True
49118,0.2555,0.0614,5,0,tram/light rail,בלפור,Tel Aviv,2,1216,0.015028,True
49113,0.2555,0.0614,5,0,tram/light rail,בלפור,Tel Aviv,2,1276,0.015028,True
49140,0.2555,0.0614,5,0,tram/light rail,שחם,Tel Aviv,2,1214,0.015028,True
49448,0.2555,0.0527,5,0,tram/light rail,הנרייטה סאלד - מזרח,Jerusalem,2,464,0.012881,True
35120,0.2555,0.0527,5,0,tram/light rail,חיל האוויר,Jerusalem,2,464,0.012881,True
35119,0.2555,0.0527,5,0,tram/light rail,חיל האוויר,Jerusalem,2,464,0.012881,True
49424,0.2555,0.0527,5,0,tram/light rail,הנרייטה סאלד - מזרח,Jerusalem,2,500,0.012881,True
49107,0.2555,0.0509,5,0,tram/light rail,בלינסון,Tel Aviv,2,1216,0.012452,True
49139,0.2555,0.0509,5,0,tram/light rail,בנימין,Tel Aviv,2,1216,0.012452,True
49154,0.2555,0.0509,5,0,tram/light rail,בנימין,Tel Aviv,2,1276,0.012452,True
49141,0.2555,0.0509,5,0,tram/light rail,בלינסון,Tel Aviv,2,1214,0.012452,True
49468,0.2555,0.0408,5,0,tram/light rail,קריית מנחם,Jerusalem,2,464,0.009983,True
49450,0.2555,0.0408,5,0,tram/light rail,משה דיין - צפון,Jerusalem,2,464,0.009983,True
