stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
49103,ז'בוטינסקי,32.021674,34.743238,2,1276,tram/light rail,0,0.017389,638,2,True,3,Center,Tel Aviv
49097,שנקר,32.092669,34.853254,2,1216,tram/light rail,0,0.017389,608,1,True,2,Center,Tel Aviv
49155,ז'בוטינסקי,32.021674,34.743238,2,1216,tram/light rail,0,0.017389,608,1,True,2,Center,Tel Aviv
49128,שנקר,32.092669,34.853254,2,1214,tram/light rail,0,0.017389,607,1,True,3,Center,Tel Aviv
49449,גן המפלצת,31.762049,35.171515,2,500,tram/light rail,0,0.015565,250,2,True,1,Jerusalem,Jerusalem
49429,גן המפלצת,31.761942,35.171456,2,464,tram/light rail,0,0.015565,232,1,True,0,Jerusalem,Jerusalem
35121,סיירת דוכיפת,31.826017,35.240205,2,464,tram/light rail,0,0.015565,232,1,True,0,Jerusalem,Jerusalem
35122,סיירת דוכיפת,31.826048,35.2401,2,464,tram/light rail,0,0.015565,232,1,True,1,Jerusalem,Jerusalem
49113,בלפור,32.017457,34.744716,2,1276,tram/light rail,0,0.015028,638,2,True,3,Center,Tel Aviv
49129,שחם,32.091952,34.8613,2,1216,tram/light rail,0,0.015028,608,1,True,2,Center,Tel Aviv
49118,בלפור,32.017457,34.744716,2,1216,tram/light rail,0,0.015028,608,1,True,2,Center,Tel Aviv
49140,שחם,32.091952,34.8613,2,1214,tram/light rail,0,0.015028,607,1,True,3,Center,Tel Aviv
49424,הנרייטה סאלד - מזרח,31.759919,35.168051,2,500,tram/light rail,0,0.012881,250,2,True,1,Jerusalem,Jerusalem
49448,הנרייטה סאלד - מזרח,31.759818,35.168021,2,464,tram/light rail,0,0.012881,232,1,True,0,Jerusalem,Jerusalem
35120,חיל האוויר,31.829026,35.238395,2,464,tram/light rail,0,0.012881,232,1,True,0,Jerusalem,Jerusalem
35119,חיל האוויר,31.828941,35.238345,2,464,tram/light rail,0,0.012881,232,1,True,1,Jerusalem,Jerusalem
49154,בנימין,32.016384,34.748389,2,1276,tram/light rail,0,0.012452,638,2,True,3,Center,Tel Aviv
49107,בלינסון,32.091462,34.866804,2,1216,tram/light rail,0,0.012452,608,1,True,2,Center,Tel Aviv
49139,בנימין,32.016384,34.748389,2,1216,tram/light rail,0,0.012452,608,1,True,2,Center,Tel Aviv
49141,בלינסון,32.091462,34.866804,2,1214,tram/light rail,0,0.012452,607,1,True,3,Center,Tel Aviv
49463,קריית מנחם,31.760043,35.164104,2,500,tram/light rail,0,0.009983,250,2,True,1,Jerusalem,Jerusalem
49468,קריית מנחם,31.75994,35.164145,2,464,tram/light rail,0,0.009983,232,1,True,0,Jerusalem,Jerusalem
49450,משה דיין - צפון,31.83349,35.234725,2,464,tram/light rail,0,0.009983,232,1,True,0,Jerusalem,Jerusalem
49432,משה דיין - צפון,31.833401,35.234621,2,464,tram/light rail,0,0.009983,232,1,True,1,Jerusalem,Jerusalem
49112,יוספטל,32.015397,34.752178,2,1276,tram/light rail,0,0.009661,638,2,True,3,Center,Tel Aviv
49130,דנקנר,32.090949,34.872167,2,1216,tram/light rail,0,0.009661,608,1,True,2,Center,Tel Aviv
49147,יוספטל,32.015397,34.752178,2,1216,tram/light rail,0,0.009661,608,1,True,2,Center,Tel Aviv
49142,דנקנר,32.090949,34.872167,2,1214,tram/light rail,0,0.009661,607,1,True,3,Center,Tel Aviv
49461,צומת אורה,31.75706,35.159963,2,500,tram/light rail,0,0.00687,250,2,True,1,Jerusalem,Jerusalem
49434,צומת אורה,31.756985,35.159869,2,464,tram/light rail,0,0.00687,232,1,True,0,Jerusalem,Jerusalem
49430,מזל קשת,31.837328,35.234202,2,464,tram/light rail,0,0.00687,232,1,True,0,Jerusalem,Jerusalem
49444,מזל קשת,31.837297,35.234087,2,464,tram/light rail,0,0.00687,232,1,True,1,Jerusalem,Jerusalem
49138,כ''ט בנובמבר,32.010852,34.7515,2,1276,tram/light rail,0,0.006655,638,2,True,3,Center,Tel Aviv
49098,קרול,32.091913,34.877506,2,1216,tram/light rail,0,0.006655,608,1,True,2,Center,Tel Aviv
49111,כ''ט בנובמבר,32.010852,34.7515,2,1216,tram/light rail,0,0.006655,608,1,True,2,Center,Tel Aviv
49120,קרול,32.091913,34.877506,2,1214,tram/light rail,0,0.006655,607,1,True,3,Center,Tel Aviv
49467,בית הספר לרפואה,31.764209,35.151229,2,500,tram/light rail,0,0.003542,250,2,True,1,Jerusalem,Jerusalem
49447,בית הספר לרפואה,31.76408,35.151156,2,464,tram/light rail,0,0.003542,232,1,True,0,Jerusalem,Jerusalem
49428,יצחק טבנקין,31.838063,35.237508,2,464,tram/light rail,0,0.003542,232,1,True,0,Jerusalem,Jerusalem
49453,יצחק טבנקין,31.838146,35.237574,2,464,tram/light rail,0,0.003542,232,1,True,1,Jerusalem,Jerusalem
49126,העמל,32.005878,34.74897,2,1276,tram/light rail,0,0.003435,638,2,True,3,Center,Tel Aviv
49102,גשר אם המושבות,32.099237,34.846378,2,1222,tram/light rail,0,0.003435,611,2,True,3,Center,Tel Aviv
49143,פינסקר,32.093731,34.882201,2,1216,tram/light rail,0,0.003435,608,1,True,2,Center,Tel Aviv
49153,העמל,32.005878,34.74897,2,1216,tram/light rail,0,0.003435,608,1,True,2,Center,Tel Aviv
49131,פינסקר,32.093731,34.882201,2,1214,tram/light rail,0,0.003435,607,1,True,3,Center,Tel Aviv
49152,גשר אם המושבות,32.099237,34.846378,2,1164,tram/light rail,0,0.003435,582,1,True,2,Center,Tel Aviv
49096,הקוממיות,32.002287,34.746818,1,638,tram/light rail,0,0.0,638,2,False,3,Center,Tel Aviv
49127,קרית אריה,32.105931,34.861896,1,611,tram/light rail,0,0.0,611,2,False,3,Center,Tel Aviv
49132,תחנה מרכזית פתח תקווה,32.094693,34.886538,1,608,tram/light rail,0,0.0,608,1,False,2,Center,Tel Aviv
49125,הקוממיות,32.002287,34.746818,1,608,tram/light rail,0,0.0,608,1,False,2,Center,Tel Aviv
49157,תחנה מרכזית פתח תקווה,32.094693,34.886538,1,607,tram/light rail,0,0.0,607,1,False,3,Center,Tel Aviv
49106,קרית אריה,32.105931,34.861896,1,582,tram/light rail,0,0.0,582,1,False,2,Center,Tel Aviv
49451,הדסה עין כרם,31.764771,35.147678,1,250,tram/light rail,0,0.0,250,2,False,1,Jerusalem,Jerusalem
49423,הדסה עין כרם,31.764802,35.147565,1,232,tram/light rail,0,0.0,232,1,False,0,Jerusalem,Jerusalem
49469,נווה יעקב - צפון,31.841008,35.240264,1,232,tram/light rail,0,0.0,232,1,False,0,Jerusalem,Jerusalem
49433,נווה יעקב - צפון,31.840917,35.240159,1,232,tram/light rail,0,0.0,232,1,False,1,Jerusalem,Jerusalem
41080,הנביאים,32.812858,34.995149,2,1208,cable tram,5,0.214286,604,2,True,0,North,Haifa
41079,מסדה,32.80953,34.991994,2,1208,cable tram,5,0.214286,604,2,True,0,North,Haifa
41081,הדר העירייה,32.81498,34.997397,2,1208,cable tram,5,0.142857,604,2,True,0,North,Haifa
41078,ביה''ח בני ציון,32.807299,34.990084,2,1208,cable tram,5,0.142857,604,2,True,0,North,Haifa
44795,טכניון מרכז,32.773845,35.026632,2,4804,cable tram,5,0.035714,2402,2,True,1,North,Haifa
44793,אוניברסיטת חיפה,32.763275,35.016467,1,2402,cable tram,5,0.0,2402,2,False,1,North,Haifa
44798,מרכזית המפרץ,32.793287,35.032991,1,2402,cable tram,5,0.0,2402,2,False,1,North,Haifa
41082,עיר תחתית,32.817376,34.999771,1,604,cable tram,5,0.0,604,2,False,0,North,Haifa
41077,מרכז הכרמל,32.804982,34.987705,1,604,cable tram,5,0.0,604,2,False,0,North,Haifa
37897,תחנת מוניות תל אביב תחנה מרכזית,32.055019,34.780993,3,13,trolleybus,8,0.142857,13,3,True,0,Center,Tel Aviv
38076,תחנת מוניות רמת גן דרך הטייסים,32.048974,34.813797,1,12,trolleybus,8,0.0,12,2,False,2,Center,Tel Aviv
37904,תחנת מוניות תל אביב הכובשים,32.068802,34.765734,1,12,trolleybus,8,0.0,12,2,False,2,Center,Tel Aviv
38009,תחנת מוניות תל אביב שכונת בבלי,32.09595,34.803653,1,5,trolleybus,8,0.0,5,1,False,0,Center,Tel Aviv
38016,תחנת מוניות תל אביב מסוף רדינג,32.098687,34.778095,1,4,trolleybus,8,0.0,4,1,False,0,Center,Tel Aviv
38010,תחנת מוניות תל אביב שכונת בבלי,32.096263,34.803746,1,4,trolleybus,8,0.0,4,1,False,0,Center,Tel Aviv
38015,תחנת מוניות תל אביב מסוף רדינג,32.098608,34.778279,1,4,trolleybus,8,0.0,4,1,False,1,Center,Tel Aviv
43267,תחנת מוניות תל אביב רכבת ההגנה,32.054453,34.784681,1,4,trolleybus,8,0.0,4,1,False,1,Center,Tel Aviv
