stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
5276,בית ספר אזורי בית ירח,North,0.010880943692828287,0.018836901086809115,450,60,-390,-291,390
18285,צומת חירם,North,0.009390741455341658,0.010443119347819477,563,179,-384,1926,384
13605,לח''י/דרך קיבוץ גלויות,Center,0.006972867304222164,0.0055895937217700946,864,487,-377,2208,377
41662,כביש 38/כביש 3855,Jerusalem,0.02928628685374091,0.005717133438174798,89,463,374,647,374
43374,המשנה,Center,0.010733635457960362,0.015061118856784857,465,93,-372,-393,372
11070,שד. לוי אשכול/הגלעד,Jerusalem,0.009731530820494338,0.010931251502666751,530,164,-366,1021,366
18441,נוף הגליל/יציאה,North,0.009371305832782634,0.009820214043090173,565,207,-358,-459,358
29465,צומת הראשונים,Center,0.010624328492724492,0.004482905969856954,468,825,357,1128,357
17684,שדרות הנשיא בן צבי/הנגב,North,0.0075842761511924406,0.006164050767525946,763,408,-355,-586,355
4827,משטרה/שדרות הבנים,North,0.008108392863026696,0.006817299651385357,701,346,-355,761,355
19580,צומת אזור תעשייה טמרה,North,0.021060175949673035,0.00551113807063077,156,510,354,345,354
27649,מרכז אורן/יצחק רגר,South,0.012272775687236377,0.02514249513261009,369,33,-336,-301,336
4780,שדרות הבנים/נוף העמק,North,0.008209458100333623,0.006688397119405068,691,357,-334,840,334
29402,צומת הרצליה,Center,0.020947232337249534,0.005582306675618196,158,490,332,783,332
18893,צומת ערב אל היב,North,0.023736028354385208,0.005777311793791821,123,452,329,465,329
19494,תל חי/הגלעד,North,0.009605084668669906,0.009108467174114909,544,231,-313,94,313
26784,אזור תעשיה ערד,South,0.010902908506229738,0.012247642345459537,447,136,-311,-5,311
26896,בורנשטיין/הדקל,South,0.011946070945580724,0.0050828171433538495,385,685,300,2870,300
10193,תחנת רקל''ה גבעת המבתר/'יגאל ידין,Jerusalem,0.03583423867529858,0.006771749377721873,51,350,299,1209,299
729,מחלף ראש העין מזרח,Center,0.012422676519942319,0.018297010262836463,361,65,-296,-297,296
27899,מחלף עידן הנגב לדרום,South,0.013357075088758741,0.02474186308833905,326,34,-292,-119,292
15177,צומת ניצני עוז,Center,0.022014964002808116,0.005887421815902017,144,436,292,128,292
16087,מסעף גן יבנה,Center,0.008717987718558135,0.006654947273465686,644,363,-281,-510,281
780,צומת בארותיים לדרום,Center,0.009068953709585692,0.007397740605574951,593,312,-281,-265,281
27476,המתכנן/האומן,Center,0.010559001564822198,0.010108708857677045,473,197,-276,4401,276
24932,מחלף רעננה צפון,Center,0.013613867907216618,0.02125307138499426,321,50,-271,-301,271
27692,צומת בית קמה למערב,South,0.014622844130141789,0.029250446038369016,290,22,-268,-229,268
25942,צומת אבא הילל סילבר/לצפון,Center,0.03578859364640184,0.007321944774548553,52,316,264,1027,264
26715,צומת עומר מערב,South,0.008806707889507707,0.0066106165163648855,630,368,-262,1398,262
20485,צומת כרמיאל מערב,North,0.022295280816627152,0.006251896972623145,139,398,259,2263,259
6879,מסעף אליקים למערב,North,0.019391943409545746,0.005902615912114894,182,434,252,1469,252
