source,target,hop_path_hops,time_path_hops,hop_path_seconds,time_path_seconds,same_path,extra_seconds_if_hop_routed,extra_hops_if_time_routed,time_penalty_ratio
10697,37781,12,27,8924.0,5096.0,False,3828.0,15,1.751177394034537
13686,35113,11,23,6273.5,6084.0,False,189.5,12,1.031147271531887
50313,6748,26,53,17639.0,12407.5,False,5231.5,27,1.421640137013903
8487,46722,11,31,6593.5,3418.0,False,3175.5,20,1.929052077238151
36024,44284,29,60,10542.0,5390.0,False,5152.0,31,1.955844155844156
38658,42917,13,28,5035.0,1866.0,False,3169.0,15,2.6982851018220795
51445,48327,15,22,6044.5,4718.0,False,1326.5,7,1.2811572700296736
13199,4516,12,21,9160.0,4377.0,False,4783.0,9,2.092757596527302
13270,9343,9,19,3801.0,3425.0,False,376.0,10,1.1097810218978101
34725,10530,14,19,4108.0,3010.0,False,1098.0,5,1.3647840531561461
35794,20455,19,43,11000.0,6117.5,False,4882.5,24,1.7981201471189212
20916,10433,11,18,6304.0,6155.0,False,149.0,7,1.0242079610073112
9341,34870,10,19,3158.0,2738.0,False,420.0,9,1.1533966398831264
2983,10300,22,38,9965.5,6946.0,False,3019.5,16,1.4347106248200403
27176,38630,12,33,6831.0,5420.0,False,1411.0,21,1.2603321033210333
34198,14426,22,37,11437.0,8601.0,False,2836.0,15,1.3297291012672945
17610,40695,33,61,14838.0,5444.5,False,9393.5,28,2.725319129396639
43149,44309,14,33,5921.0,3420.0,False,2501.0,19,1.7312865497076024
28145,1665,12,41,8864.0,6328.0,False,2536.0,29,1.4007585335018964
6797,24713,15,40,14517.0,7158.0,False,7359.0,25,2.0280804694048618
48867,13059,9,12,3656.0,3596.0,False,60.0,3,1.0166852057842046
42303,34228,10,10,3659.0,3659.0,True,0.0,0,1.0
38804,23974,11,20,6924.0,2137.0,False,4787.0,9,3.240056153486196
23920,4723,27,39,8252.0,6470.0,False,1782.0,12,1.2754250386398764
14702,11093,12,17,5271.0,3866.0,False,1405.0,5,1.3634247284014485
22566,41614,29,55,9080.0,5156.0,False,3924.0,26,1.7610550814584949
29162,44335,14,23,9452.0,4835.5,False,4616.5,9,1.9547099576052114
38863,10784,6,9,2171.0,1842.0,False,329.0,3,1.1786102062975028
40444,15045,8,19,8421.0,5832.0,False,2589.0,11,1.4439300411522633
20533,17433,9,13,6510.0,4680.0,False,1830.0,4,1.391025641025641
16317,3999,10,22,5039.0,4119.0,False,920.0,12,1.2233551832969167
19441,17184,26,36,4583.0,3445.0,False,1138.0,10,1.33033381712627
28528,20341,15,41,18615.0,11909.0,False,6706.0,26,1.5631035351414897
42828,36119,10,11,730.0,612.0,False,118.0,1,1.1928104575163399
34827,13372,14,41,7941.0,6027.0,False,1914.0,27,1.317570930811349
48256,16978,10,17,8191.0,7284.0,False,907.0,7,1.1245194947830863
43892,2600,19,30,11170.0,2392.0,False,8778.0,11,4.669732441471572
48345,39745,13,39,12507.0,9907.5,False,2599.5,26,1.2623769871309614
27078,28120,13,23,2700.0,2116.0,False,584.0,10,1.275992438563327
40363,21576,15,27,7120.0,6108.5,False,1011.5,12,1.1655889334533847
23062,40698,11,15,4908.0,4556.0,False,352.0,4,1.077260755048288
23739,8795,10,12,3787.0,3298.0,False,489.0,2,1.148271679805943
42314,22374,12,14,5594.0,3481.0,False,2113.0,2,1.6070094800344727
25810,16287,12,17,11973.0,5143.0,False,6830.0,5,2.3280186661481626
12019,34984,13,32,7312.0,3934.0,False,3378.0,19,1.85866802236909
48999,34112,12,18,3746.0,2927.0,False,819.0,6,1.2798086778271267
20743,12018,19,30,8548.0,7787.5,False,760.5,11,1.0976565008025683
20625,48914,15,33,9419.0,8515.0,False,904.0,18,1.1061655901350558
14289,27692,10,19,4787.0,4583.0,False,204.0,9,1.0445123281693214
43168,1180,14,44,13600.0,7696.0,False,5904.0,30,1.7671517671517671
50070,19280,15,31,9888.0,2873.0,False,7015.0,16,3.4416985729202922
3336,17024,11,21,2006.0,1754.0,False,252.0,10,1.143671607753706
7371,19201,14,25,8555.0,8096.0,False,459.0,11,1.0566946640316206
23083,39166,27,46,12747.0,9427.5,False,3319.5,19,1.3521081941129673
48323,42188,17,28,14121.0,10316.0,False,3805.0,11,1.368844513377278
40834,5984,32,71,11283.0,5371.0,False,5912.0,39,2.1007261217650344
7145,25133,11,23,7103.5,5848.0,False,1255.5,12,1.21468878248974
3433,50814,20,31,5448.0,3400.0,False,2048.0,11,1.6023529411764705
3092,24087,10,34,7772.5,5847.5,False,1925.0,24,1.3292005130397606
43054,20451,13,30,7222.0,4412.0,False,2810.0,17,1.6368993653671804
26839,16786,9,25,6882.0,5955.0,False,927.0,16,1.1556675062972293
39377,48865,17,29,10610.0,6844.0,False,3766.0,12,1.5502630040911747
40612,43210,21,33,8963.0,2576.5,False,6386.5,12,3.4787502425771395
9511,24794,10,15,4169.0,3867.0,False,302.0,5,1.078096715800362
