model,degree,nodes,probability,cumulative_probability,ccdf
barabasi_albert_matched,30,5,0.00016413353904736895,0.9947805534582936,0.0053835800807536804
barabasi_albert_matched,31,11,0.00036109378590421166,0.9951416472441978,0.005219446541706363
barabasi_albert_matched,32,6,0.00019696024685684273,0.9953386074910547,0.004858352755802153
barabasi_albert_matched,33,12,0.00039392049371368546,0.9957325279847684,0.004661392508945261
barabasi_albert_matched,34,11,0.00036109378590421166,0.9960936217706726,0.004267472015231588
barabasi_albert_matched,35,5,0.00016413353904736895,0.9962577553097199,0.0039063782293273785
barabasi_albert_matched,36,8,0.0002626136624757903,0.9965203689721958,0.003742244690280061
barabasi_albert_matched,37,5,0.00016413353904736895,0.9966845025112432,0.003479631027804242
barabasi_albert_matched,38,3,9.848012342842137e-05,0.9967829826346716,0.0033154974887568134
barabasi_albert_matched,39,4,0.00013130683123789515,0.9969142894659094,0.003217017365328423
barabasi_albert_matched,40,3,9.848012342842137e-05,0.9970127695893379,0.003085710534090569
barabasi_albert_matched,41,3,9.848012342842137e-05,0.9971112497127663,0.0029872304106620673
barabasi_albert_matched,42,3,9.848012342842137e-05,0.9972097298361947,0.0028887502872336768
barabasi_albert_matched,43,4,0.00013130683123789515,0.9973410366674326,0.0027902701638052863
barabasi_albert_matched,44,2,6.565341561894757e-05,0.9974066900830516,0.0026589633325674322
barabasi_albert_matched,45,2,6.565341561894757e-05,0.9974723434986705,0.002593309916948394
barabasi_albert_matched,46,1,3.2826707809473786e-05,0.99750517020648,0.002527656501329467
barabasi_albert_matched,48,1,3.2826707809473786e-05,0.9975379969142895,0.0024948297935200037
barabasi_albert_matched,49,2,6.565341561894757e-05,0.9976036503299084,0.00246200308571054
barabasi_albert_matched,50,2,6.565341561894757e-05,0.9976693037455273,0.002396349670091613
barabasi_albert_matched,51,1,3.2826707809473786e-05,0.9977021304533369,0.002330696254472686
barabasi_albert_matched,52,3,9.848012342842137e-05,0.9978006105767653,0.0022978695466631116
barabasi_albert_matched,53,4,0.00013130683123789515,0.9979319174080031,0.002199389423234721
barabasi_albert_matched,54,3,9.848012342842137e-05,0.9980303975314315,0.002068082591996867
barabasi_albert_matched,55,4,0.00013130683123789515,0.9981617043626695,0.0019696024685684765
barabasi_albert_matched,56,1,3.2826707809473786e-05,0.998194531070479,0.0018382956373305115
barabasi_albert_matched,57,2,6.565341561894757e-05,0.9982601844860979,0.001805468929521048
barabasi_albert_matched,58,2,6.565341561894757e-05,0.9983258379017168,0.001739815513902121
barabasi_albert_matched,59,2,6.565341561894757e-05,0.9983914913173357,0.001674162098283194
barabasi_albert_matched,60,3,9.848012342842137e-05,0.9984899714407642,0.001608508682664267
barabasi_albert_matched,61,3,9.848012342842137e-05,0.9985884515641926,0.0015100285592357654
barabasi_albert_matched,62,2,6.565341561894757e-05,0.9986541049798116,0.0014115484358073749
barabasi_albert_matched,63,1,3.2826707809473786e-05,0.998686931687621,0.0013458950201884479
barabasi_albert_matched,65,1,3.2826707809473786e-05,0.9987197583954305,0.0013130683123789844
barabasi_albert_matched,67,1,3.2826707809473786e-05,0.9987525851032399,0.0012802416045695209
barabasi_albert_matched,68,1,3.2826707809473786e-05,0.9987854118110495,0.0012474148967600573
barabasi_albert_matched,69,1,3.2826707809473786e-05,0.998818238518859,0.0012145881889504828
barabasi_albert_matched,73,1,3.2826707809473786e-05,0.9988510652266684,0.0011817614811410193
barabasi_albert_matched,75,2,6.565341561894757e-05,0.9989167186422874,0.0011489347733315558
barabasi_albert_matched,77,5,0.00016413353904736895,0.9990808521813347,0.0010832813577126288
barabasi_albert_matched,79,1,3.2826707809473786e-05,0.9991136788891442,0.0009191478186653113
barabasi_albert_matched,81,1,3.2826707809473786e-05,0.9991465055969537,0.0008863211108558477
barabasi_albert_matched,82,2,6.565341561894757e-05,0.9992121590125727,0.0008534944030462732
barabasi_albert_matched,87,1,3.2826707809473786e-05,0.9992449857203821,0.0007878409874273462
barabasi_albert_matched,88,1,3.2826707809473786e-05,0.9992778124281916,0.0007550142796178827
barabasi_albert_matched,90,1,3.2826707809473786e-05,0.999310639136001,0.0007221875718084192
barabasi_albert_matched,92,1,3.2826707809473786e-05,0.9993434658438105,0.0006893608639989557
barabasi_albert_matched,95,1,3.2826707809473786e-05,0.99937629255162,0.0006565341561894922
barabasi_albert_matched,96,1,3.2826707809473786e-05,0.9994091192594294,0.0006237074483800287
barabasi_albert_matched,97,1,3.2826707809473786e-05,0.9994419459672389,0.0005908807405705652
barabasi_albert_matched,99,2,6.565341561894757e-05,0.9995075993828579,0.0005580540327611017
barabasi_albert_matched,100,1,3.2826707809473786e-05,0.9995404260906674,0.0004924006171420636
barabasi_albert_matched,104,1,3.2826707809473786e-05,0.9995732527984769,0.0004595739093326001
barabasi_albert_matched,113,1,3.2826707809473786e-05,0.9996060795062863,0.0004267472015231366
barabasi_albert_matched,119,1,3.2826707809473786e-05,0.9996389062140958,0.0003939204937136731
barabasi_albert_matched,127,1,3.2826707809473786e-05,0.9996717329219053,0.0003610937859042096
barabasi_albert_matched,136,1,3.2826707809473786e-05,0.9997045596297147,0.0003282670780947461
barabasi_albert_matched,140,1,3.2826707809473786e-05,0.9997373863375242,0.0002954403702852826
barabasi_albert_matched,141,1,3.2826707809473786e-05,0.9997702130453336,0.0002626136624758191
barabasi_albert_matched,143,1,3.2826707809473786e-05,0.9998030397531431,0.00022978695466635557
