station_id,station_name,main_stop_id,main_stop_code,station_lat,station_lon,stop_count,active_stop_count,stop_use_count,member_stop_ids
25956,אנדרטה לנופלים,25956,12101,31.749561,34.694157,1,1,53,25956
25961,הדקל/התאנה,25961,12108,31.746839,34.674818,1,1,23,25961
25963,העולים/כביש 3922,25963,12173,31.794584,34.740969,1,1,277,25963
25964,צומת נווה מבטח מערב,25964,12174,31.795898,34.735762,1,1,91,25964
25968,אלי כהן/יצחק בן צבי,25968,12230,31.668214,34.572132,1,1,439,25968
25971,אנה פרנק/תשרי,25971,12233,31.671933,34.58528,1,1,1091,25971
25972,שדרות מנחם בגין/אנה פרנק,25972,12234,31.673517,34.585501,1,1,663,25972
25973,שדרות מנחם בגין/אבן עזרא,25973,12235,31.674694,34.58997,1,1,753,25973
25974,צומת אשקלון/שדרות מנחם בגין לצפון,25974,12236,31.681007,34.610007,1,1,217,25974
25982,יהודה הנשיא/הלל,25982,12291,31.792357,34.665887,1,1,1848,25982
25990,שדרות ירושלים/משה אבן עזרא,25990,12299,31.793286,34.644602,1,1,1230,25990
26001,שלמה המלך/חזקיה המלך,26001,12345,31.774479,34.646409,1,1,755,26001
26006,רוגוזין/שד.משה דיין,26006,12350,31.799998,34.637675,1,1,334,26006
26007,דרך הפיקוסים/הותיקים,26007,12351,31.793519,34.726551,1,1,143,26007
26012,שד.הרצל/בן עמי,26012,12379,31.786212,34.638249,1,1,690,26012
26017,השקד/הדקל,26017,12564,31.740627,34.674598,1,1,23,26017
26018,תל חי / סיטרין,26018,13000,31.769119,34.626953,1,1,1164,26018
26020,שאול המלך/יהושפט,26020,13002,31.263746,34.782498,1,1,307,26020
26024,יעקב דורי/רחבת הראל,26024,13007,31.264379499999997,34.774703,2,2,870,26024;40116
26026,שתולים/3703,26026,13009,31.778033999999998,34.678169,2,2,100,26026;43762
26027,צומת ניצן לדרום,26027,13010,31.74906,34.650409,1,1,67,26027
26035,יצחק רגר/וייצמן,26849,14340,31.246563,34.796211,3,3,3487,26035;26454;26849
26036,מוטה גור/שדרות רוטשילד,26036,13019,31.776174,34.625923,1,1,188,26036
26037,כחול/אדום,26037,13020,31.800236,34.759566,1,1,129,26037
26038,אדום/כחול,26038,13021,31.801645,34.760946,1,1,129,26038
26039,צהוב/ירוק,26039,13022,31.803712,34.759438,1,1,129,26039
26040,ירוק/כחול,26040,13023,31.801938,34.757768,1,1,129,26040
26046,י.ל. גורדון/נחמן סירקין,26046,13029,31.772531,34.632168,1,1,383,26046
26051,מרכז אורות/דרך השלום,26051,13034,31.251753,34.808067,1,1,329,26051
26053,נחמן סירקין/עמרם חזנוב,26053,13036,31.772017,34.633479,1,1,232,26053
26059,כוכב הדרום/שבט בנימין,28679,19190,31.775883,34.6346585,2,2,699,26059;28679
26061,מוטה גור/שדרות יצחק רבין,27111,14707,31.77780866666666,34.627924,3,3,697,26061;27111;48010
26065,וינגייט/גולומב,29204,19718,31.2557295,34.802275,2,2,488,26065;29204
26068,בעלי התוספות/רמב''ן,26068,13052,31.271721,34.786861,2,1,568,26068;40120
26070,אבן עזרא / התלמוד,26070,13054,31.27014,34.783864,1,1,570,26070
26072,רבי עקיבא/שמעון בר גיורא,26072,13056,31.260757,34.790574,1,1,190,26072
26073,שבט בנימין/שבט יהודה,26074,13058,31.7767755,34.638234499999996,2,2,692,26073;26074
26075,דרך מצדה/טשרניחובסקי,26101,13086,31.25831325,34.794496,4,3,1846,26075;26101;28914;43380
26078,מרכז חן/אינשטיין,26078,13062,31.255111,34.791439,1,1,226,26078
26082,תמוז/ניסן,26082,13067,31.781945,34.637768,1,1,233,26082
26089,תשרי/כסלו,26089,13074,31.780172,34.640572,1,1,546,26089
26091,שלמה המלך/דוד המלך,26091,13076,31.778782,34.6447,1,1,755,26091
26093,תשרי/חשון,26094,13079,31.7817385,34.640769500000005,2,2,1088,26093;26094
26096,הציונות/התקווה,26096,13081,31.784763,34.641474,1,1,141,26096
26098,דוד המלך/שלמה המלך,26098,13083,31.773481,34.644912,1,1,887,26098
26103,סנהדרין/רש''י,26103,13088,31.269401,34.789009,1,1,961,26103
