from_stop,to_stop,trip_frequency
35658,3518,577
3518,3499,577
3499,3513,577
3513,3302,577
50229,44352,13
12164,51991,47
21321,15624,184
1359,42450,7
1340,2903,5
16940,36010,45
5266,48200,604
5266,47860,414
5266,47865,3
34304,34299,9
41341,41769,513
1542,38451,17
36044,40551,174
48213,359,205
359,48120,197
359,47830,306
359,48232,3
359,48192,317
17225,51638,251
1248,36119,60
36119,36078,60
36078,36072,60
36072,36073,60
36073,36074,60
22633,43295,16
43374,48945,280
43374,48947,62
43374,48942,29
11962,39374,10
50858,42618,329
42618,43630,329
43630,43628,329
395,48443,354
396,25438,367
8399,42150,94
8302,42155,157
25968,48152,26
25938,48052,198
25938,48118,283
25938,48231,176
25938,48169,181
25938,48170,94
23193,49802,28
23193,34080,78
23193,48100,18
50065,41257,446
11441,52006,247
11448,48932,1672
10628,10521,10
19581,41797,17
41796,18827,34
18177,18864,130
15782,39161,66
16237,43300,231
28799,48066,188
13737,13753,419
13753,13754,419
13754,13941,419
13941,13944,419
23259,43301,124
23259,51000,683
23259,43303,50
43324,43330,16
20848,46701,122
5373,51576,84
17623,48180,42
17623,48106,81
17623,48240,59
49031,46320,271
5048,47828,535
5048,48242,415
51803,51801,885
15604,52030,144
8439,50774,159
15836,25142,24
9579,35957,309
24243,24649,16
24239,42491,24
24237,42509,123
24653,24608,5
25147,25139,22
25139,15676,22
15676,22332,22
22332,25144,22
4671,6043,194
18429,18521,984
21186,21192,941
7561,49797,168
8871,40685,62
9341,9578,224
9578,11915,224
11915,11555,224
11555,10697,224
10697,9870,217
9870,9184,217
50250,42723,359
50250,975,332
26122,48113,390
26122,47852,56
26122,47943,157
49423,49447,232
49447,49434,232
49434,49468,232
49468,49448,232
49448,49429,232
49429,49442,232
49442,49459,232
49459,35161,232
35161,35159,232
35159,35157,232
35157,35163,232
35163,35155,232
35155,35154,232
35154,35152,232
35152,35150,232
35150,35147,232
35147,35146,232
35146,35143,232
35143,35142,232
35142,35140,232
35140,35137,232
35137,35136,232
35136,35134,232
35134,35131,232
35131,35130,232
35130,35128,232
35128,35125,232
35125,35124,232
35124,35121,232
35121,35120,232
35120,49450,232
49450,49430,232
49430,49428,232
49428,49469,232
49433,49453,232
49453,49444,232
49444,49432,232
49432,35119,232
35119,35122,232
35122,35123,232
35123,35126,232
35126,35127,232
35127,35129,232
35129,35132,232
35132,35133,232
35133,35135,250
35135,35138,250
35138,35139,250
35139,35141,250
35141,35144,250
35144,35145,250
35145,35148,250
35148,35149,250
35149,35151,250
35151,35153,250
35153,35156,250
35156,35164,250
35164,35158,250
35158,35160,250
35160,35162,250
35162,49435,250
49435,49472,250
49472,49449,250
49449,49424,250
49424,49463,250
49463,49461,250
49461,49467,250
49467,49451,250
35194,25463,61
28442,40481,72
28451,28981,74
40481,40482,72
19277,40003,23
28443,28441,66
19446,35096,6
28981,28983,74
28983,28984,74
41045,40820,166
37608,37607,1037
41675,49978,185
37624,37623,1037
25059,51920,256
16061,48134,134
44001,50724,248
22261,51154,367
23671,44995,14
23671,49179,18
23671,49180,72
23676,44586,361
16867,50607,4
4339,47974,102
9056,48207,60
9056,48208,117
9056,48168,207
28450,28980,75
40476,40474,194
24390,994,13
21786,49799,2
25142,23248,24
26668,26646,5
28735,37522,96
37522,28734,96
39563,44662,20
27709,39373,10
22804,48233,232
22804,48173,156
22804,47993,36
22804,48139,110
22804,48138,138
10794,11255,23
46704,49422,190
28237,42076,91
28215,42069,92
42069,42065,92
39374,39343,10
40685,38738,62
11623,11458,299
15949,46590,34
46590,46344,34
39840,46204,34
18580,50884,100
18578,50877,100
50884,50880,100
6554,6555,131
6555,6556,131
37061,28265,92
12625,51998,20
38918,6461,20
38919,17838,19
6667,39883,80
39883,39889,80
6648,39882,80
38174,38183,66
38183,38173,66
38173,38182,66
38182,38171,66
38171,38170,66
38170,38168,66
39708,39706,130
39706,39704,130
39704,39703,130
39703,6513,130
6513,6514,130
6514,6518,130
6518,6517,130
6517,18864,130
6556,6557,131
6557,44443,131
44443,39705,131
39705,39709,131
20437,46932,123
46932,50910,123
51868,21706,104
21706,50742,104
44501,21707,97
21343,21714,4
21354,51113,140
51113,51112,140
48122,21512,169
24706,49335,18
153,51114,106
39097,33918,3
34238,10768,569
4047,41538,206
41538,41991,206
4032,41537,215
44669,51813,997
17241,49163,17
50545,39830,40
39830,50548,44
39830,50546,56
42908,50542,139
42908,51264,36
39829,50544,121
44055,44057,121
44063,44061,613
37803,23694,348
37804,23695,360
50742,21710,104
21711,21708,97
21708,21707,97
8611,8978,62
10079,9304,312
9304,11720,312
45003,49772,315
49772,45000,76
50863,50866,284
19486,47988,220
19486,47877,254
38114,38214,48
17046,2405,323
11227,9656,563
51766,13940,423
13940,13756,423
13756,13755,423
13755,13735,423
20680,40877,57
4530,40866,177
2405,2614,323
2614,3271,323
50971,3159,583
41539,41537,215
