stop_id,stop_name,lat,lon,region,metro,degree,community_louvain,community_lp
10111,יקותיאל אדם/דוד ניב,31.819783,35.239477,Jerusalem,Jerusalem,3,39,4128
10150,משה דיין א,31.829938,35.236686,Jerusalem,Jerusalem,3,39,2514
10239,שדרות משה דיין/מזל שור,31.832649,35.234547,Jerusalem,Jerusalem,3,39,2514
10404,חיל האויר/גדוד חרמש,31.830612,35.23978,Jerusalem,Jerusalem,3,39,2499
10036,חיל האויר/סיירת דוכיפת,31.82961,35.247017,Jerusalem,Jerusalem,3,39,134
38589,יעקב יהושע,31.832539,35.247466,Jerusalem,Jerusalem,3,39,134
44444,הרב ש''י זווין/הרב וינוגרד,31.83804,35.247107,Jerusalem,Jerusalem,3,39,1150
10220,זווין/וינוגרד,31.839049,35.248379,Jerusalem,Jerusalem,3,39,1150
10313,ישיבת דעת יוסף/זויין,31.842425,35.247598,Jerusalem,Jerusalem,3,39,1156
9527,הרב פרדס/אסטורה,31.840235,35.246263,Jerusalem,Jerusalem,3,39,1156
8404,הרב פרדס/מאיר בלבן,31.845,35.241776,Jerusalem,Jerusalem,3,39,1705
11480,שדרות נווה יעקב/ראובן גמזון,31.842868,35.240093,Jerusalem,Jerusalem,3,39,1705
34835,מסוף נווה יעקב/הרב פרדס,31.844592,35.240365,Jerusalem,Jerusalem,3,39,325
9524,שדרות נווה יעקב/הרב פרדס,31.840063,35.240062,Jerusalem,Jerusalem,3,39,2327
11446,שדרות נווה יעקב/משה דיין,31.838336,35.235335,Jerusalem,Jerusalem,3,39,1146
10160,שדרות משה דיין/משה רחמילביץ,31.822347,35.238029,Jerusalem,Jerusalem,3,39,2512
10151,משה דיין א,31.830338,35.23671,Jerusalem,Jerusalem,3,39,2515
51183,תחנת רקל''ה מזל קשת/שדרות נווה יעקב,31.838061,35.233519,Jerusalem,Jerusalem,3,39,6456
10152,שדרות משה דיין/מזל שור,31.833259,35.234819,Jerusalem,Jerusalem,3,39,2515
36798,שדרות משה דיין/מזל טלה,31.835831,35.23401,Jerusalem,Jerusalem,3,39,6456
10406,מאיר גרשון/דב סדן,31.819509,35.247605,Jerusalem,Jerusalem,3,39,1147
10201,מאיר גרשון/יוסף נדבה,31.819774,35.249785,Jerusalem,Jerusalem,3,39,838
11901,יוסף נדבה/מאיר גרשון,31.819256,35.249191,Jerusalem,Jerusalem,3,39,4309
10203,רחמילביץ'/לבני,31.818843,35.254398,Jerusalem,Jerusalem,3,39,1651
