stop_id,stop_name,own_community,own_community_label,connected_communities,crossing_edges,crossing_weight,degree,weighted_degree,crossing_weight_share,lat,lon,region,metro
3276,צומת כפר חסידים,34,Haifa / North,3,3,169,7,820,0.2061,32.762526,35.089342,North,Haifa
14354,צומת הכפר הירוק,14,Tel Aviv / Center,3,4,163,8,1848,0.0882,32.132791,34.832617,Center,Tel Aviv
34346,צומת אלפי מנשה,38,Periphery / Center,3,4,159,5,318,0.5,32.176884,34.980582,Center,Tel Aviv
3489,צומת פוריידיס,24,Tel Aviv / Center,3,3,148,9,1170,0.1265,32.592688,34.946426,North,Haifa
27901,צומת דבירה,0,Beer Sheva / South,3,6,148,14,670,0.2209,31.422247,34.784296,South,Beer Sheva
41168,שדרות יגאל אלון/3855,21,Periphery / Jerusalem,3,5,142,9,342,0.4152,31.752143,35.000006,Jerusalem,Periphery
14594,סינמה סיטי,50,Tel Aviv / Center,3,7,141,12,496,0.2843,32.146643,34.806754,Center,Tel Aviv
23551,משה דיין/יצחק בן צבי,12,Tel Aviv / Center,3,3,140,7,1534,0.0913,31.977782,34.79022,Center,Tel Aviv
13192,מחלף גהה צפון,37,Tel Aviv / Center,3,3,136,4,260,0.5231,32.092999,34.846516,Center,Tel Aviv
3521,מת''מ,46,Haifa / North,3,4,136,13,11540,0.0118,32.790385,34.96134,North,Haifa
22742,מחלף קסם,35,Tel Aviv / Center,3,5,134,9,1298,0.1032,32.113766,34.939325,Center,Tel Aviv
4089,צומת כפר קרע,4,Periphery / North,3,4,124,6,904,0.1372,32.498074,35.062863,Center,Periphery
20409,מסעף קיבוץ קדרים לדרום,1,Periphery / North,3,4,116,11,1140,0.1018,32.893187,35.479712,North,Periphery
599,ת. מרכזית נתניה/הורדה,3,Tel Aviv / Center,3,3,114,10,2720,0.0419,32.327128,34.85839,Center,Tel Aviv
25404,מחלף גדרה למערב,6,Periphery / Center,3,4,114,11,1182,0.0964,31.805818,34.764776,Center,Periphery
12408,פרץ סנטר /כביש 25,43,Periphery / South,3,4,106,10,1510,0.0702,31.061575,35.020321,South,Periphery
42872,ת. רכבת תל אביב- סבידור/רציפים A,24,Tel Aviv / Center,3,4,105,6,217,0.4839,32.083157,34.796089,Center,Tel Aviv
4122,צומת כרכור,23,Periphery / Center,3,4,103,7,2678,0.0385,32.4654,34.994606,Center,Periphery
23099,צומת מתקן אדם,36,Tel Aviv / Center,3,3,93,8,2386,0.039,31.947452,34.964215,Center,Tel Aviv
24458,מסוף רעננה/נתיב האבות,10,Tel Aviv / Center,3,5,90,7,770,0.1169,32.17488,34.890696,Center,Tel Aviv
540,פרופסור אלברט איינשטיין/פרופסור שור,3,Tel Aviv / Center,3,3,90,7,2636,0.0341,32.340353,34.870635,Center,Tel Aviv
3265,צומת כפר חסידים/כביש 762,34,Haifa / North,3,3,78,7,1426,0.0547,32.761556,35.089118,North,Haifa
48456,כביש 423/מרגולין,26,Tel Aviv / Center,3,3,76,4,140,0.5429,31.933237,34.814294,Center,Tel Aviv
10448,מצודת אדומים,69,Jerusalem,3,3,75,6,474,0.1582,31.798094,35.257522,Jerusalem,Jerusalem
25918,בני ברית/האורגים,20,Periphery / Center,3,3,71,11,3946,0.018,31.809569,34.664104,Center,Periphery
42405,תחנת התרעננות/צומת מגידו,4,Periphery / North,3,4,71,10,288,0.2465,32.573184,35.196511,North,Periphery
18913,צומת ישי,34,Haifa / North,3,3,70,6,2456,0.0285,32.707505,35.157884,North,Haifa
29450,צומת הרצליה,24,Tel Aviv / Center,3,3,69,14,4068,0.017,32.164486,34.813124,Center,Tel Aviv
25550,שד.בני ברית/הנחושת,20,Periphery / Center,3,3,65,8,2814,0.0231,31.810496,34.664834,Center,Periphery
