stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
44735,דרך רמאללה/ביסאן,ירושלים,ירושלים,31.846718,35.228502,14,0.000401,14,14,2.575e-05,0.0,0.0
44736,דרך רמאללה/מרג' אבן עאמר,ירושלים,ירושלים,31.847373,35.228456,12,0.000344,12,12,2.276e-05,0.0,0.0
44737,מרפאות חוץ/בי''ח רמב''ם,צפון,חיפה,32.833164,34.987352,12,0.000344,12,12,1.109e-05,0.0,0.0
44738,מיון ילדים/בי''ח רמב''ם,צפון,חיפה,32.834304,34.985029,14,0.000401,14,14,1.254e-05,0.0,0.0
44739,יעקב סלומון,צפון,חיפה,32.784624,35.026322,22,0.00063,22,22,2.473e-05,0.0,0.0
44740,יעקב סלומון,צפון,חיפה,32.786302,35.024684,26,0.000744,26,26,2.728e-05,0.0,0.0
44741,דרך בית חנינא/אל עטאא,ירושלים,ירושלים,31.822728,35.22762,19,0.000544,19,19,2.657e-05,0.0,0.0
44742,בני אומיה,ירושלים,ירושלים,31.792368,35.238476,23,0.000658,23,23,2.758e-05,0.0,0.0
44743,אל מקדסי/אל מונתבי,ירושלים,ירושלים,31.789984,35.238165,15,0.000429,15,15,3.783e-05,0.0,0.0
44744,ראבעה אל עדוויה/אל אד'אעה,ירושלים,ירושלים,31.782577,35.246867,25,0.000716,25,25,2.863e-05,0.0,0.0
44745,דרך בית לחם הישנה/א סאהל אל אח'דר,ירושלים,ירושלים,31.770009,35.244001,20,0.000573,20,20,4.017e-05,0.0,0.0
44746,מעלה זיתים/דרך בית לחם הישנה,ירושלים,ירושלים,31.771779,35.24121,18,0.000515,18,18,3.074e-05,0.0,0.0
44747,באר אויב/זייד אבן חארת'ה,ירושלים,ירושלים,31.764401,35.237659,9,0.000258,9,9,2.357e-05,0.0,0.0
44748,טבאליה/אל בראעם,ירושלים,ירושלים,31.742034,35.207132,13,0.000372,13,13,4.272e-05,0.0,0.0
44749,טבאליה/אל בראעם,ירושלים,ירושלים,31.742129,35.207152,13,0.000372,13,13,4.188e-05,0.0,0.0
44751,ת.מרכזית באר שבע/הורדה,דרום,באר שבע,31.242168,34.79776,73,0.00209,73,73,4.269e-05,0.0,0.0
44752,תע''ש,מרכז,תל אביב,32.131528,34.871168,1,2.9e-05,1,1,2.895e-05,0.0,0.0
44753,מוטה גור/אפרים לוזון,דרום,באר שבע,31.267761,34.756403,27,0.000773,27,27,3.383e-05,0.0,0.0
