stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic,nearest_alt_m
949,החרושת/ויצמן,מרכז,תל אביב,32.19311,34.880992,5,0.000164,2,3,7.204e-05,0.00104958,2896.4516,57.21289318753293
16380,היצירה/האופן,מרכז,תל אביב,32.096792,34.850959,6,0.000197,2,4,3.265e-05,0.00104441,3221.3015,17.21996841645023
19411,המעיין,צפון,פריפריה,32.743883,35.337964,6,0.000197,3,3,3.474e-05,0.00104413,2475.834,42.752699321268665
22254,כביש 431/חשמונאים,ירושלים,תל אביב,31.894236,35.00059,10,0.000328,6,4,1.922e-05,0.00104373,3702.6644,126.30355042541714
9844,ברזני/רובוביץ',ירושלים,ירושלים,31.743018,35.238277,4,0.000131,1,3,5.439e-05,0.00104178,2792.4851,39.26590380805625
18034,עירייה,צפון,פריפריה,33.011545,35.284609,8,0.000263,4,4,5.42e-05,0.00103873,2219.377,14.310189922310586
16462,שדרות ירושלים/הקישון,מרכז,תל אביב,31.886897,34.733563,4,0.000131,1,3,8.156e-05,0.00103826,3568.4904,74.73641019710976
14038,הרב בן יעקב/בר יוחאי,מרכז,תל אביב,32.077651,34.840089,7,0.00023,4,3,3.423e-05,0.0010378,3889.9468,36.65714777924516
12125,צומת באר אורה/נמל תעופה רמון,דרום,פריפריה,29.7095,34.998237,4,0.000131,3,1,5.106e-05,0.00103759,2706.0625,96.59683503016137
4742,מסעף טמרה,צפון,פריפריה,32.648152,35.37368,4,0.000131,1,3,1.279e-05,0.00103523,2857.3218,136.26918173159473
29420,הראשונים/אוסישקין,מרכז,תל אביב,32.137437,34.839395,3,9.8e-05,1,2,2.891e-05,0.00103474,3222.7451,34.96124251607545
29581,מחלף נוף ים,מרכז,תל אביב,32.186154,34.81519,8,0.000263,5,3,5.26e-05,0.00103353,3495.6248,178.6219465965175
26616,צומת טללים,דרום,פריפריה,30.991221,34.762971,3,9.8e-05,2,1,6.334e-05,0.00103193,3074.0507,79.7834500618596
16003,צומת נחשונים,מרכז,תל אביב,32.069239,34.944847,10,0.000328,6,4,3.926e-05,0.00103141,3851.041,253.24118366947218
7347,קדושת לוי / הרב שך,ירושלים,ירושלים,31.701954,35.109109,8,0.000263,4,4,5.076e-05,0.00102962,2991.7292,49.36275624388893
27904,צומת קוממיות,מרכז,פריפריה,31.652526,34.764372,9,0.000295,3,6,4.553e-05,0.00102939,3765.7758,91.42086894710071
11969,מגדלי רמב''ם/טוביהו,דרום,באר שבע,31.246145,34.783544,6,0.000197,2,4,7.461e-05,0.00102739,3040.8266,120.57261184843634
5281,מסעף בית זרע,צפון,פריפריה,32.687523,35.582962,4,0.000131,2,2,4.339e-05,0.00102598,1754.6089,67.75501881049465
2084,חנקין/קומוי,צפון,חיפה,32.782206,35.013178,8,0.000263,4,4,6.216e-05,0.00102551,3643.5419,21.9578878099073
19773,מסעף דפנה,צפון,פריפריה,33.227068,35.639756,4,0.000131,2,2,3.853e-05,0.00102199,1546.9582,134.33157823498564
5489,הכיכר מע'אר,צפון,פריפריה,32.886637,35.411604,7,0.00023,4,3,5.52e-05,0.00102177,2247.7082,81.11070774240444
932,בורוכוב/וייצמן,מרכז,תל אביב,32.192594,34.877273,7,0.00023,3,4,4.192e-05,0.00101989,2771.1726,118.97598798780908
43819,צומת לכיש למזרח,מרכז,פריפריה,31.584783,34.83863,6,0.000197,4,2,2.591e-05,0.00101694,3951.6179,92.20736968151202
9339,הרצוג/ניות,ירושלים,ירושלים,31.766476,35.20425,6,0.000197,4,2,4.124e-05,0.00101574,3610.8324,42.91680414404548
6450,נטועה מרכז,צפון,פריפריה,33.064583,35.322483,4,0.000131,2,2,4.787e-05,0.00101285,1808.8298,527.4268991912147
15826,צומת חמד,מרכז,תל אביב,32.012415,34.843015,6,0.000197,3,3,3.559e-05,0.00101236,3759.6665,154.87704881821563
22914,צומת טייבה,מרכז,תל אביב,32.271203,35.003142,4,0.000131,2,2,1.643e-05,0.00101224,2530.0761,86.30279649062167
28419,בית ספר אל הוזייל,דרום,באר שבע,31.407537,34.75062,3,9.8e-05,1,2,1.367e-05,0.00101173,2802.6561,87.02725787287957
47934,שדרות האמוראים/תלמוד בבלי,מרכז,פריפריה,31.699919,34.976078,4,0.000131,2,2,4.888e-05,0.00101161,3059.0642,112.89537779758453
15989,צומת ניר גלים,מרכז,תל אביב,31.828763,34.685773,7,0.00023,6,1,8.934e-05,0.00100977,4008.9606,148.55100833259198
44546,הרב פנחס מילר/הרב אהרן לייב שטיינמן,צפון,פריפריה,32.729085,35.343439,5,0.000164,2,3,1.983e-05,0.00100975,3197.7853,38.94109111123161
5319,צומת כפר חיטים,צפון,פריפריה,32.79604,35.517792,4,0.000131,2,2,5.069e-05,0.00100624,3211.6265,114.11303741465377
15224,מכון וינגייט/כביש 2 לצפון,מרכז,תל אביב,32.262298,34.83878,7,0.00023,4,3,5.861e-05,0.00100551,3794.2257,108.81442131628042
47835,ת. מרכזית קרית גת/רציפים,מרכז,פריפריה,31.609009,34.770283,9,0.000295,7,2,7.019e-05,0.00100542,3112.1482,0.0
49012,מחלף הרצליה מזרח למערב,מרכז,תל אביב,32.180322,34.851367,4,0.000131,2,2,1.06e-05,0.00100507,3606.3028,68.92088276154368
44526,ששת הימים/דקר,דרום,באר שבע,31.269284,34.76702,3,9.8e-05,2,1,1.007e-05,0.00100482,3172.9575,73.19247270301247
38965,מעלה יצחק/הרב פינחס מילר,צפון,פריפריה,32.72875,35.341176,10,0.000328,4,6,1.959e-05,0.0010037,3099.8962,77.71865581558191
487,כביש 562/האנפה,מרכז,תל אביב,32.266652,34.919281,6,0.000197,4,2,3.283e-05,0.00100344,2728.0714,115.84675595065127
47890,ת. מרכזית יבנה/רציפים,מרכז,תל אביב,31.890474,34.732193,7,0.00023,2,5,1.721e-05,0.001003,3652.0001,0.0
5309,מסעף אזור תעשיה,צפון,פריפריה,32.779064,35.498634,5,0.000164,2,3,1.901e-05,0.00100199,3450.1869,107.207697848337
14213,משטרה/טרומפלדור,מרכז,תל אביב,32.136843,34.84333,4,0.000131,2,2,6.66e-05,0.0010016,2889.7746,79.32395789867509
27129,קניון חוצות/כצנלסון,מרכז,פריפריה,31.661489,34.588629,4,0.000131,3,1,8.718e-05,0.00100157,2854.2013,24.670212444307836
13136,תיכון חדש רבין/דרך נמיר,מרכז,תל אביב,32.090293,34.795303,9,0.000295,3,6,9.745e-05,0.00100111,3870.4021,125.63894811722481
10406,מאיר גרשון/דב סדן,ירושלים,ירושלים,31.819509,35.247605,3,9.8e-05,1,2,1.145e-05,0.00100105,2498.8875,72.20625430834689
43818,צומת לכיש למערב,מרכז,פריפריה,31.584803,34.837088,8,0.000263,4,4,8.409e-05,0.00099989,3765.9367,78.24732939904226
49657,בי''ס יסודות וחט''ב/ביר באקה,מרכז,פריפריה,32.412537,35.032836,2,6.6e-05,1,1,3.403e-05,0.00099977,3351.8074,94.92483213482993
25491,ששת הימים/דקר,דרום,באר שבע,31.268353,34.767311,4,0.000131,2,2,5.747e-05,0.00099881,2913.1225,31.16301901931232
14870,מרכז מסחרי,מרכז,תל אביב,32.306113,34.90841,7,0.00023,4,3,4.454e-05,0.00099818,2952.1538,254.9682470589033
46285,צומת ניר אליהו,מרכז,תל אביב,32.192159,34.952656,4,0.000131,3,1,2.339e-05,0.00099736,3191.1818,125.92576712918705
43571,שדרות ורדימון/ריה''ל,דרום,פריפריה,30.994343,34.940077,8,0.000263,6,2,5.009e-05,0.00099523,3548.246,64.69843833336078
18281,מסעף סאסא,צפון,פריפריה,33.024025,35.391661,6,0.000197,3,3,5.681e-05,0.00099491,2013.9438,125.65527289219432
36290,ת.מרכזית תל אביב קומה 6/רציפים,מרכז,תל אביב,32.055908,34.779085,2,6.6e-05,0,2,5.11e-06,0.00099332,3446.6056,0.0
16543,הרב שלום שבזי / רמת הגולן,מרכז,תל אביב,32.086917,34.955635,7,0.00023,3,4,6.839e-05,0.00099286,3300.0221,17.598710514422464
21301,צומת בית רימון,צפון,פריפריה,32.762429,35.343493,4,0.000131,2,2,5.715e-05,0.0009919,3000.9366,123.81868526622347
25324,עלי בן אבו טאלב/ח'אלד אבן אל וליד,מרכז,תל אביב,32.114838,34.968368,7,0.00023,4,3,5.423e-05,0.0009907,3246.6083,129.04780036995245
38939,קניון בני ברק/אהרונוביץ,מרכז,תל אביב,32.091753,34.839268,14,0.00046,9,5,5.726e-05,0.0009898,3804.237,26.323624351561417
22046,צומת מודיעין מזרח,מרכז,תל אביב,31.910515,35.017141,12,0.000394,9,3,6.099e-05,0.00098628,3833.4388,139.29475981903138
14653,מרכז רפואי לניאדו/ילדים,מרכז,תל אביב,32.34627,34.855141,5,0.000164,2,3,4.522e-05,0.00098606,2881.4652,88.79181411030204
18560,מסעף שכונת כנען,צפון,פריפריה,32.971278,35.506868,5,0.000164,2,3,4.279e-05,0.00098518,2613.8319,106.48847469671786
27578,דרך מנחם בגין/הרצל,דרום,פריפריה,31.522919,34.594738,4,0.000131,2,2,4.27e-05,0.00098506,3293.4914,30.98244540257188
3900,דרך השלום/מרכז תל חנן,צפון,חיפה,32.77027,35.047258,10,0.000328,5,5,6.201e-05,0.00098397,3326.2216,24.685981972234988
9019,נחל שורק/נחל לכיש,ירושלים,פריפריה,31.714054,34.995407,3,9.8e-05,2,1,4.895e-05,0.00098265,2517.3752,87.15185131398988
25548,שדרות בני ברית/יצחק הנשיא,מרכז,פריפריה,31.799024,34.654841,3,9.8e-05,2,1,4.698e-05,0.00098247,3358.5621,73.3661995538223
13038,כהנמן/פוברסקי,מרכז,תל אביב,32.085001,34.840061,13,0.000427,8,5,8.177e-05,0.0009793,3727.2537,48.49433439866348
185,כפר רות,מרכז,פריפריה,31.910108,35.033964,4,0.000131,2,2,1.577e-05,0.00097917,3478.4775,636.7650924432655
20184,צומת יובלים,צפון,פריפריה,32.862768,35.269063,3,9.8e-05,2,1,7.103e-05,0.00097915,2206.5444,120.51637471085236
29416,קניון שבעת הכוכבים,מרכז,תל אביב,32.163327,34.82403,8,0.000263,4,4,9.429e-05,0.00097838,2815.4369,78.05076053248547
1048,בית חולים הלל יפה,מרכז,פריפריה,32.451454,34.89828,9,0.000295,3,6,5.041e-05,0.00097837,3520.147,33.39922689865838
16461,שדרות ירושלים/רותם,מרכז,תל אביב,31.883327,34.733661,6,0.000197,5,1,8.438e-05,0.00097773,3159.125,158.2459509329978
18822,צומת יאסיף,צפון,חיפה,32.912948,35.154975,4,0.000131,2,2,0.00011861,0.00097759,3003.0182,137.64013136347938
18773,מסעף אליקים למזרח,צפון,חיפה,32.635056,35.070059,5,0.000164,2,3,4.731e-05,0.00097504,3071.5144,129.53680573784405
27642,צומת עוצם,מרכז,פריפריה,31.634905,34.696521,4,0.000131,2,2,3.765e-05,0.00097382,3204.941,68.19458085219333
17653,דרך העצמאות/דוד בן גאון,צפון,פריפריה,33.025082,35.103653,5,0.000164,3,2,6.804e-05,0.00097358,1750.2256,123.99529509771911
1225,צומת בנימינה,צפון,פריפריה,32.518144,34.930064,8,0.000263,4,4,4.861e-05,0.00097336,3214.0292,103.84578872141192
2012,הציונות/שדרות הנשיא,צפון,חיפה,32.816355,34.980208,5,0.000164,2,3,2.922e-05,0.00097294,2250.5532,42.54951151617414
1722,צומת צרופה,צפון,חיפה,32.648199,34.958993,7,0.00023,3,4,5.981e-05,0.00097135,3073.5343,119.57286266993628
28963,אלחריזי /אבן גבירול,דרום,פריפריה,31.074347,35.042683,2,6.6e-05,1,1,1.553e-05,0.00097066,2120.1215,16.585585476318744
3146,ליאון בלום/רמב''ן,צפון,חיפה,32.801253,34.998495,2,6.6e-05,1,1,2.906e-05,0.00097,2730.9726,114.96946428194435
24431,בן יהודה/דרך הפועל,מרכז,תל אביב,32.183167,34.928792,6,0.000197,3,3,4.134e-05,0.00096875,2373.5435,86.32389928249512
20577,מרכז מסחרי/שדרות יצחק רבין,צפון,חיפה,32.643761,35.092285,7,0.00023,3,4,6.591e-05,0.00096742,2985.1762,136.30518856441154
7382,מעזריטש/חיי יצחק,ירושלים,ירושלים,31.702288,35.121916,7,0.00023,5,2,8.565e-05,0.00096729,3469.0345,20.067745664504045
179,דרך האורנים/ברוש,מרכז,תל אביב,31.92072,35.016294,3,9.8e-05,1,2,2.403e-05,0.00096709,3085.982,265.3500598994953
20105,צומת ג'וליס,צפון,חיפה,32.942005,35.163739,5,0.000164,3,2,4.383e-05,0.0009665,2307.4606,75.63863434325809
27660,צומת שער הנגב,דרום,פריפריה,31.507919,34.587597,7,0.00023,6,1,9.893e-05,0.00096564,3202.1831,99.72695454514984
40347,אשכול פיס,צפון,חיפה,32.849234,35.189857,2,6.6e-05,1,1,2.496e-05,0.00096523,2213.3925,95.12670095771064
51497,כביש 412/יהדות קנדה,מרכז,תל אביב,32.020083,34.861967,4,0.000131,2,2,8.87e-06,0.00096474,3515.335,158.23827548057614
28421,משטרת רהט,דרום,באר שבע,31.40372,34.754778,4,0.000131,2,2,3e-05,0.00096412,2561.1467,72.37141621405787
24881,החרמון/מצדה,מרכז,פריפריה,32.310168,34.964511,3,9.8e-05,2,1,1.916e-05,0.00096408,3117.4621,278.0330105115383
