station_id,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
37358,21622,21623,2,21619,0.9998150117929981,32,0,6636.625,0.3069385348256406,2412.3045554925047,1,4.624705175049204e-05,0.0004162427157525239,-0.14461883762078287,תל אביב מרכז,17038,4,1543,3.2254818124533336e-05,0.06852245888241648,False
25948,21622,21623,2,21619,0.9998150117929981,32,0,6637.125,0.3069616594209602,2411.7134478715975,1,4.624705175049204e-05,0.0003931181204329115,-0.7357264585280063,צומת עד הלום,12084,11,2242,0.00014852807739698095,0.06499803367660781,False
25700,21622,21623,3,21614,0.9995837765342459,32,0,6637.40625,0.3069746670058274,2411.2990267046457,6,0.0002774823105027302,0.0003801105355657475,-1.1501476254798035,קניון חוצות/בן גוריון,11164,9,7424,0.00026113155787896633,0.007684923869597596,True
1725,21622,21623,3,21617,0.9997225176894973,32,0,6638.625,0.30703103320691894,2412.8387632251824,3,0.0001387411552513651,0.00032374433447418527,0.3895888950569315,צומת נחשולים/דור,40841,11,1760,0.00011737536525644967,0.00579115971061098,True
24515,21622,21623,3,21603,0.9990750589649909,32,0,6639.375,0.3070657200998983,2412.4192453483965,17,0.0007861998797576986,0.00028905744149482215,-0.02992898172897185,החומש/חנקין,37200,9,801,5.871683341242101e-05,0.000786418093502839,True
13274,21622,21623,2,21619,0.9998150117929981,32,0,6640.4375,0.3071148598649524,2413.15034156024,1,4.624705175049204e-05,0.00023991767644071516,0.7011672301146064,מחלף גבעת שמואל/כביש 4,22942,23,11746,0.00011777911425503656,0.10264201741707459,False
12038,21622,21623,2,21619,0.9998150117929981,32,0,6640.78125,0.3071307580242346,2411.760870688167,1,4.624705175049204e-05,0.00022401951715850243,-0.6883036419585551,מסוף קסטינה-מלאכי לדרום,10138,28,6551,0.00032714556641224056,0.003709464757221112,False
12975,21622,21623,3,21618,0.9997687647412478,32,0,6640.90625,0.30713653917306444,2412.944493598969,2,9.249410350087306e-05,0.0002182383683286826,0.49531926884355926,מחלף לה גווארדייה,21274,37,9074,0.00014710550702212133,0.025599065440713737,True
15924,21622,21623,3,21613,0.9995375294824955,32,0,6641.5,0.30716399963000657,2412.8169010608826,7,0.0003237293622531112,0.00019077791138655265,0.3677267307571128,מכללת טירה/דרך יפו,31917,9,1000,0.00013116855005779974,0.0025240551309852147,True
13103,21622,21623,2,21619,0.9998150117929981,32,0,6641.53125,0.3071654449172141,2412.122993113153,1,4.624705175049204e-05,0.0001893326241790283,-0.32618121697259994,קניון עזריאלי/דרך מנחם בגין,21472,28,32090,0.0002230761938434369,0.01260003695399034,False
39820,21622,21623,3,21610,0.9993987883272442,32,0,6641.875,0.30718134307649625,2412.402534902753,10,0.0004624705175044763,0.0001734344648968711,-0.04663942737261095,תמר/גפן מערב,40487,9,4136,0.00015142942868123275,0.0005551186542372981,True
12889,21622,21623,2,21619,0.9998150117929981,32,0,6642.0625,0.3071900147997411,2412.4288663954976,1,4.624705175049204e-05,0.00016476274165200255,-0.020307934627908253,ת. רכבת תל אביב - סבידור/דרך נמיר,24068,63,33967,0.0002634484477537181,0.00277848451417731,False
4504,21622,21623,3,21605,0.9991675530684919,32,0,6642.125,0.30719290537415606,2411.7644811759956,15,0.0006937057762567145,0.00016187216723706488,-0.6846931541299455,מסוף בית שאן/שדרות מנחם בגין,53602,10,2927,0.00019650752453142178,0.0053285608320798985,True
332,21622,21623,2,21619,0.9998150117929981,32,0,6642.21875,0.30719724123577846,2412.3486678316617,1,4.624705175049204e-05,0.00015753630561465837,-0.10050649846380111,הרצל/עולי הגרדום,39247,12,15374,0.00029300792186309505,0.014178655626977656,False
5575,21622,21623,2,21619,0.9998150117929981,32,0,6642.34375,0.30720302238460834,2412.170188199961,1,4.624705175049204e-05,0.00015175515678478302,-0.2789861301644123,ת. מרכזית נהריה/הורדה,57467,19,5697,0.0002816589225403926,0.005863440785381461,False
8411,21622,21623,3,21609,0.9993525412754937,32,0,6642.5,0.3072102488206456,2412.2661308322176,11,0.0005087175692549684,0.00014452872074749434,-0.18304349790787455,מחנה קדום,63316,15,1008,9.838135449117981e-05,0.0011449322243644274,True
540,21622,21623,3,21616,0.9996762706377469,32,0,6642.5625,0.3072131393950606,2412.4717008634766,4,0.00018498820700174612,0.00014163814633250116,0.022526533351083344,פרופסור אלברט איינשטיין/פרופסור שור,39461,10,5184,7.908391069814988e-05,0.0021568672711511686,True
43254,21622,21623,3,21613,0.9995375294824955,32,0,6642.6875,0.3072189205438905,2412.318390818214,7,0.0003237293622531112,0.0001358569975026258,-0.13078351191143156,שדרות החוצבים,1286,9,1862,9.860138569064747e-05,0.0014051440935381608,True
1797,21622,21623,2,21619,0.9998150117929981,32,0,6642.6875,0.3072189205438906,2415.0545045614945,1,4.624705175049204e-05,0.0001358569975025148,2.605330231368953,צומת קרית טבעון,43029,18,6687,0.00022159213562779751,0.011674839196928176,False
9553,21622,21623,2,21619,0.9998150117929981,32,0,6642.9375,0.3072304828415503,2412.639686319127,1,4.624705175049204e-05,0.0001242946998428196,0.1905119890016067,גשר המיתרים/שד' הרצל,4216,36,29290,0.00031738375428218345,0.007491210589212705,False
43772,21622,21623,3,21613,0.9995375294824955,32,0,6642.96875,0.30723192812875777,2412.4932567398905,7,0.0003237293622531112,0.00012284941263535076,0.044082409764996555,שדרות יחד שבטי ישראל/שבט שמעון,35249,9,1116,6.422262916188882e-05,0.0005146412523658285,True
10061,21622,21623,3,21614,0.9995837765342459,32,0,6643.0625,0.3072362639903802,2412.392874385476,6,0.0002774823105027302,0.00011851355101294425,-0.05629994464970878,דב יוסף/אל תווחיד,2714,12,4488,0.0001004937772310883,0.0008066567944385738,True
51148,21622,21623,3,21608,0.9993062942237433,32,0,6643.125,0.3072391545647951,2412.295129389217,12,0.0005549646210053494,0.00011562297659800658,-0.15404494090853404,רבי מאיר מפרימישלן/הרב מירב,61536,15,1526,0.0001030463211506609,0.00050885876638419,True
11302,21622,21623,4,21610,0.9993987883272442,32,0,6643.28125,0.30724638100083257,2412.4586772660323,10,0.0004624705175044763,0.00010839654056055137,0.009502935906766652,מעלה הזיתים,5677,9,1464,0.0001034233310409508,0.0011883008692267164,True
9632,21622,21623,3,21608,0.9993062942237433,32,0,6643.34375,0.3072492715752475,2412.5182033900073,12,0.0005549646210053494,0.0001055059661456137,0.06902905988181374,צומת אורה,5592,12,7120,0.00014990504053927138,0.0013849053926024261,True
22615,21622,21623,3,21615,0.9996300235859964,32,0,6643.40625,0.3072521621496624,2412.344847750207,5,0.00023123525875223816,0.00010261539173073153,-0.10432657991850647,יסודות/מזכירות,35690,17,509,5.261524894047735e-05,0.00019660452337570976,True
7062,21622,21623,3,21609,0.9993525412754937,32,0,6643.40625,0.30725216214966244,2412.405193202615,11,0.0005087175692549684,0.00010261539173067602,-0.04398112751050576,החרושת/בית עלמין,50836,10,9326,0.000196283673973868,0.0008008743084569354,True
2673,21622,21623,2,21619,0.9998150117929981,32,0,6643.40625,0.30725216214966244,2412.5060807082446,1,4.624705175049204e-05,0.00010261539173067602,0.05690637811903798,צומת זבולון,41804,7,822,5.7063847624226625e-05,0.06319678929332741,False
43769,21622,21623,3,21615,0.9996300235859964,32,0,6643.59375,0.30726083387290726,2412.4698940270405,5,0.00023123525875223816,9.3943668485863e-05,0.020719696914966335,שדרות יחד שבטי ישראל/שבט יששכר,35254,13,3232,9.593858621726336e-05,0.0003411666729166728,True
25154,21622,21623,3,21616,0.9996762706377469,32,0,6643.59375,0.30726083387290726,2412.48704956498,4,0.00018498820700174612,9.3943668485863e-05,0.03787523485470956,ירחיב/ יציאה,38191,11,404,8.596386721473534e-05,0.0006476384299435145,True
2620,21622,21623,3,21613,0.9995375294824955,32,0,6643.625,0.3072622791601147,2412.584605992471,7,0.0003237293622531112,9.249838127839416e-05,0.13543166234558157,חנקין/גוטל לוין,42099,13,6424,0.000135929400511138,0.00191689410291317,True
27584,21622,21623,3,21614,0.9995837765342459,32,0,6643.6875,0.30726516973452966,2412.459047476184,6,0.0002774823105027302,8.960780686345649e-05,0.00987314605845313,בריסל/קהילת מילנו,11499,12,2870,0.00014750025116380214,0.00027755932711864904,True
10058,21622,21623,3,21614,0.9995837765342459,32,0,6643.78125,0.3072695055961521,2412.4308348695913,6,0.0002774823105027302,8.527194524099446e-05,-0.01833946053420732,דולצ'ין/קוליץ,9975,10,9632,0.0001287483040471705,0.0013241892897952216,True
5498,21622,21623,2,21619,0.9998150117929981,32,0,6643.84375,0.30727239617056706,2412.80260708116,1,4.624705175049204e-05,8.238137082605679e-05,0.3534327510346884,תחנה מרכזית ראש פינה,57307,11,3669,0.0002432421961195072,0.023234028674223584,False
2403,21622,21623,2,21619,0.9998150117929981,32,0,6643.875,0.30727384145777453,2413.2828452807144,1,4.624705175049204e-05,8.093608361858795e-05,0.8336709505888393,ת. מרכזית המפרץ/הורדה,43008,26,18286,0.0002285774809948569,0.02070129981426591,False
22851,21622,21623,3,21616,0.9996762706377469,32,0,6644.0,0.3072796226066044,2412.4670867009154,4,0.00018498820700174612,7.51549347887126e-05,0.01791237078987251,צומת בית ברל,34829,10,572,9.260380835748343e-05,0.0001561271215042401,True
4626,21622,21623,2,21619,0.9998150117929981,32,0,6644.03125,0.30728106789381193,2412.1599652313625,1,4.624705175049204e-05,7.370964758118825e-05,-0.2892090987629672,שדרות בגין/ירושלים הבירה,52363,8,3446,0.00020931499273773492,0.006609381477012831,False
8096,21622,21623,3,21602,0.9990288119132406,32,0,6644.09375,0.3072839584682268,2412.2995258668916,18,0.0008324469315080796,7.081907316630609e-05,-0.14964846323391612,צומת גבעת אסף/ כביש 60,61351,5,1452,9.759486523639871e-05,0.0631938980503366,True
34286,21622,21623,5,21605,0.9991675530684919,32,0,6644.15625,0.3072868490426418,2412.387141188671,15,0.0006937057762567145,6.79284987513129e-05,-0.062033141454321594,אורן/כביש 99,56982,16,1838,0.0001541535719103056,0.002616574906691431,True
2399,21622,21623,3,21615,0.9996300235859964,32,0,6644.15625,0.3072868490426418,2412.494477490776,5,0.00023123525875223816,6.79284987513129e-05,0.04530316065029183,מועצה מקומית/הרימונים,41844,11,3586,0.00012042937140185255,0.00032381921497175723,True
44665,21622,21623,3,21617,0.9997225176894973,32,0,6644.21875,0.3072897396170567,2412.4581469437367,3,0.0001387411552513651,6.503792433643074e-05,0.008972613611149427,חניון שפירים מערבי א/הורדה,37080,11,2426,2.363564741658335e-05,9.251977570621636e-05,True
18040,21622,21623,2,21619,0.9998150117929981,32,0,6644.34375,0.3072955207658867,2412.6276770117556,1,4.624705175049204e-05,5.925677550644437e-05,0.17850268163010696,נשיאי ישראל/בית הכרם,50651,15,8490,0.00024853341900395214,0.0015641624580332203,False
12963,21622,21623,2,21619,0.9998150117929981,32,0,6644.40625,0.3072984113403016,2412.571267356844,1,4.624705175049204e-05,5.6366201091506696e-05,0.12209302671863043,גשר בר אילן/כביש 4,21258,13,6012,5.69582480051249e-05,0.06815527102258244,False
