strategy,removed_stations,remaining_stations,components,largest_component_nodes,largest_component_share_of_remaining,serviceable_share_of_original
weighted_degree,14,53.0,9.0,23.0,0.4339622641509434,0.34328358208955223
weighted_degree,15,52.0,11.0,13.0,0.25,0.19402985074626866
pagerank,0,67.0,1.0,67.0,1.0,1.0
pagerank,1,66.0,2.0,39.0,0.5909090909090909,0.582089552238806
pagerank,2,65.0,2.0,38.0,0.5846153846153846,0.5671641791044776
pagerank,3,64.0,3.0,33.0,0.515625,0.4925373134328358
pagerank,4,63.0,3.0,32.0,0.5079365079365079,0.47761194029850745
pagerank,5,62.0,5.0,32.0,0.5161290322580645,0.47761194029850745
pagerank,6,61.0,8.0,32.0,0.5245901639344263,0.47761194029850745
pagerank,7,60.0,10.0,18.0,0.3,0.26865671641791045
pagerank,8,59.0,12.0,18.0,0.3050847457627119,0.26865671641791045
pagerank,9,58.0,13.0,14.0,0.2413793103448276,0.208955223880597
pagerank,10,57.0,13.0,14.0,0.24561403508771928,0.208955223880597
pagerank,11,56.0,15.0,8.0,0.14285714285714285,0.11940298507462686
pagerank,12,55.0,15.0,8.0,0.14545454545454545,0.11940298507462686
pagerank,13,54.0,15.0,8.0,0.14814814814814814,0.11940298507462686
pagerank,14,53.0,15.0,8.0,0.1509433962264151,0.11940298507462686
pagerank,15,52.0,15.0,8.0,0.15384615384615385,0.11940298507462686
betweenness,0,67.0,1.0,67.0,1.0,1.0
betweenness,1,66.0,2.0,39.0,0.5909090909090909,0.582089552238806
betweenness,2,65.0,2.0,38.0,0.5846153846153846,0.5671641791044776
betweenness,3,64.0,4.0,32.0,0.5,0.47761194029850745
betweenness,4,63.0,6.0,32.0,0.5079365079365079,0.47761194029850745
betweenness,5,62.0,7.0,23.0,0.3709677419354839,0.34328358208955223
betweenness,6,61.0,9.0,23.0,0.3770491803278688,0.34328358208955223
betweenness,7,60.0,9.0,23.0,0.38333333333333336,0.34328358208955223
betweenness,8,59.0,8.0,23.0,0.3898305084745763,0.34328358208955223
betweenness,9,58.0,9.0,18.0,0.3103448275862069,0.26865671641791045
betweenness,10,57.0,11.0,18.0,0.3157894736842105,0.26865671641791045
betweenness,11,56.0,14.0,16.0,0.2857142857142857,0.23880597014925373
betweenness,12,55.0,15.0,14.0,0.2545454545454545,0.208955223880597
betweenness,13,54.0,15.0,14.0,0.25925925925925924,0.208955223880597
betweenness,14,53.0,16.0,9.0,0.16981132075471697,0.13432835820895522
betweenness,15,52.0,17.0,7.0,0.1346153846153846,0.1044776119402985
articulation_priority,0,67.0,1.0,67.0,1.0,1.0
articulation_priority,1,66.0,2.0,33.0,0.5,0.4925373134328358
articulation_priority,2,65.0,4.0,33.0,0.5076923076923077,0.4925373134328358
articulation_priority,3,64.0,5.0,27.0,0.421875,0.40298507462686567
articulation_priority,4,63.0,7.0,27.0,0.42857142857142855,0.40298507462686567
articulation_priority,5,62.0,9.0,27.0,0.43548387096774194,0.40298507462686567
articulation_priority,6,61.0,9.0,27.0,0.4426229508196721,0.40298507462686567
articulation_priority,7,60.0,11.0,24.0,0.4,0.3582089552238806
articulation_priority,8,59.0,12.0,24.0,0.4067796610169492,0.3582089552238806
articulation_priority,9,58.0,15.0,17.0,0.29310344827586204,0.2537313432835821
articulation_priority,10,57.0,16.0,17.0,0.2982456140350877,0.2537313432835821
articulation_priority,11,56.0,17.0,17.0,0.30357142857142855,0.2537313432835821
articulation_priority,12,55.0,17.0,17.0,0.3090909090909091,0.2537313432835821
articulation_priority,13,54.0,17.0,17.0,0.3148148148148148,0.2537313432835821
articulation_priority,14,53.0,17.0,17.0,0.32075471698113206,0.2537313432835821
articulation_priority,15,52.0,17.0,16.0,0.3076923076923077,0.23880597014925373
random_mean,0,67.0,1.0,67.0,1.0,1.0
random_mean,1,66.0,1.26,64.34,0.9748484848484849,0.9602985074626864
random_mean,2,65.0,1.554,61.38,0.9443076923076924,0.9161194029850747
random_mean,3,64.0,1.846,58.862,0.91971875,0.8785373134328357
random_mean,4,63.0,2.166,56.372,0.8947936507936508,0.8413731343283583
random_mean,5,62.0,2.572,53.492,0.862774193548387,0.7983880597014925
random_mean,6,61.0,2.92,50.996,0.836,0.7611343283582089
random_mean,7,60.0,3.344,48.39,0.8065,0.7222388059701492
random_mean,8,59.0,3.778,45.632,0.7734237288135594,0.6810746268656717
random_mean,9,58.0,4.204,43.442,0.749,0.6483880597014925
random_mean,10,57.0,4.618,41.378,0.7259298245614036,0.6175820895522388
random_mean,11,56.0,5.04,39.242,0.70075,0.5857014925373135
random_mean,12,55.0,5.462,37.206,0.6764727272727272,0.5553134328358209
random_mean,13,54.0,5.924,35.07,0.6494444444444444,0.5234328358208955
random_mean,14,53.0,6.374,33.262,0.6275849056603774,0.49644776119402984
random_mean,15,52.0,6.822,31.224,0.6004615384615385,0.4660298507462687
