stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
41133,638,מחלף חמד,31.801002,35.124540,638,5289,62,0.0020351222714590513,10454,25,37,5289,5165,0.00012535367164246544,0.0826727874292674,True,8,738
13032,21365,דרך ז'בוטינסקי/דב גרונר,32.091763,34.828052,21365,5192,5,0.00016412276382734285,10384,2,3,5192,5192,9.27222965227291e-05,7.750029243256573e-06,False,36,368
13290,22980,מכון מור/דרך זאב ז'בוטינסקי,32.091435,34.825758,22980,5190,13,0.00042671918595109143,10380,9,4,5190,5190,7.154442358237998e-05,0.0015473579242756604,False,36,368
8793,276,בית ענבר/כנפי נשרים,31.787534,35.186109,276,5187,4,0.0001312982110618743,10374,2,2,5187,5187,6.988157613994233e-05,0.00010710992533363775,False,70,87
44961,1553,ירמיהו/הצבי,31.790799,35.202515,1553,5183,10,0.0003282455276546857,10366,5,5,5183,5183,0.00010910928550862183,0.0002475974859046565,False,8,738
8794,277,מרכז שטנר/כנפי נשרים,31.787494,35.188892,277,5181,5,0.00016412276382734285,10362,1,4,5181,5181,6.433651912337821e-05,4.992593187753941e-05,False,70,87
9553,1540,גשר המיתרים/שד' הרצל,31.787322,35.199369,1540,5159,22,0.0007221401608403085,10314,7,15,5159,5155,0.00010314271588325487,0.004396574244401,True,8,738
49737,1932,שדרות גולדה מאיר/הרטום,31.799870,35.212534,1932,5149,7,0.00022977186935828,10298,6,1,5149,5149,6.715948426288188e-05,1.1417352321225172e-05,False,8,738
13136,21534,תיכון חדש רבין/דרך נמיר,32.090293,34.795303,21534,5132,9,0.0002954209748892171,10264,3,6,5132,5132,9.744460938967038e-05,0.00352430098170941,False,16,625
51284,20876,דרך נמיר/שדרות שאול המלך,32.078509,34.793016,20876,5120,4,0.0001312982110618743,10240,3,1,5120,5120,8.509700905669299e-05,6.729112774845904e-07,False,16,625
13036,21370,דרך ז'בוטינסקי/אבן עזרא,32.091484,34.831208,21370,5111,8,0.0002625964221237486,10218,2,6,5107,5111,5.7974973129907694e-05,9.80204787474491e-05,False,36,368
10644,3634,שמואל הנביא/גבעת משה,31.797063,35.218335,3634,5095,6,0.00019694731659281143,10190,4,2,5095,5095,7.002182657182818e-05,2.6561870189857622e-05,False,8,738
3367,42501,סחרוב,32.790898,34.958675,42501,5038,6,0.00019694731659281143,10076,1,5,5038,5038,0.0001412709446127705,6.208569653099808e-05,True,39,344
3731,42866,העירייה,32.812464,34.997602,42866,5033,13,0.00042671918595109143,10066,9,4,5033,5033,0.00015452676797220082,0.004210262086580387,False,22,552
13181,21615,דרך נמיר/פנקס,32.092013,34.795206,21615,5005,7,0.00022977186935828,10010,3,4,5005,5005,9.137228319421883e-05,0.0021307161683263532,False,16,625
16212,32277,ת.רק''ל שחם/דרך ז'בוטינסקי,32.092183,34.860629,32277,4969,7,0.00022977186935828,9938,3,4,4969,4969,0.00013014053309393051,0.00022722475736450243,False,18,605
29480,20349,ת. רכבת תל אביב - סבידור/דרך נמיר,32.081367,34.794199,20349,4953,12,0.00039389463318562285,9906,5,7,4953,4953,8.142730242514712e-05,0.0002707320450425254,False,16,625
45039,20699,אבן גבירול/ארלוזורוב,32.084806,34.781547,20699,4921,4,0.0001312982110618743,9842,3,1,4921,4921,9.006032730278609e-05,4.998722415668479e-05,False,16,625
13565,25575,כיכר דיזנגוף/ריינס,32.078950,34.774950,25575,4918,5,0.00016412276382734285,9836,2,3,4918,4918,7.423804756243106e-05,0.0001680053268945869,False,16,625
9352,992,רבי ישראל נג'ארה/יונתן בן עוזיאל,31.790195,35.191514,992,4918,8,0.0002625964221237486,9831,5,3,4913,4918,7.123361624316888e-05,0.00030107999301218875,False,70,87
8733,202,אצטדיון טדי/א''ס ביתר,31.751193,35.189330,202,4912,20,0.0006564910553093714,9743,9,11,4912,4831,0.00013466189227113784,0.01982686439281975,False,13,637
8703,172,גבעת שאול/כתב סופר,31.791222,35.195972,172,4814,14,0.00045954373871656,9628,12,2,4814,4814,7.059432114026257e-05,0.001042889497065185,False,70,87
9434,1171,יחזקאל/רבנו גרשום,31.792065,35.220651,1171,4797,8,0.0002625964221237486,9594,5,3,4797,4797,6.684017913868094e-05,0.00024849720452296733,False,8,738
13089,21451,מגדל שלום/אחד העם,32.063639,34.770359,21451,4797,5,0.00016412276382734285,9594,2,3,4797,4797,4.36438460985854e-05,0.0002809819858271005,False,16,625
8706,175,גבעת שאול/הרב אהרון קוטלר,31.791889,35.194251,175,4790,4,0.0001312982110618743,9580,1,3,4790,4790,6.514651530781191e-05,7.399121433909578e-05,False,70,87
14054,26544,דרך ז'בוטינסקי/סוקולוב,32.092321,34.834218,26544,4779,9,0.0002954209748892171,9558,5,4,4779,4779,5.335294119654645e-05,0.00015410743604951402,False,36,368
10733,4037,יחזקאל/הושע,31.789988,35.219015,4037,4769,5,0.00016412276382734285,9538,3,2,4769,4769,6.738541272905394e-05,9.417009426725408e-06,False,8,738
44465,20660,חוף ירושלים,32.073296,34.764793,20660,4767,3,9.847365829640571e-05,9534,2,1,4767,4767,7.85170569027129e-05,3.833611055689003e-05,False,26,480
44466,20659,חוף בננה ביץ',32.070602,34.763816,20659,4767,7,0.00022977186935828,9534,1,6,4767,4767,7.387753280512813e-05,9.269500592997139e-05,False,26,480
10792,5132,שדרות גולדה מאיר/יצחק מירסקי,31.822289,35.189471,5132,4780,15,0.0004923682914820286,9502,7,8,4756,4746,8.26067096490624e-05,0.0006987482392868195,False,8,738
9048,647,בן גוריון/שערי ירושלים,31.791535,35.196465,647,4736,41,0.0013458066633842115,9472,18,23,4736,4736,8.512616142770075e-05,0.049065001360723046,True,8,738
9181,800,בנייני האומה/הנשיא השישי,31.786340,35.203701,800,6950,12,0.00039389463318562285,9468,9,3,6875,2593,0.00018697874678873146,5.2558535838437024e-05,False,8,738
13178,21609,חיל השריון/קיבוץ גלויות,32.048150,34.784520,21609,4731,17,0.0005580173970129658,9462,14,3,4731,4731,0.00015398326842534717,0.019139865814368384,False,16,625
8750,222,אצטדיון טדי/א''ס ביתר,31.751345,35.188474,222,4764,27,0.0008862629246676514,9455,14,13,4691,4764,0.0001109008823838946,0.008522002649232033,False,13,637
29432,20207,רבי עקיבא/גן ורשה,32.086061,34.832095,20207,4719,10,0.0003282455276546857,9438,7,3,4719,4719,9.117033226099306e-05,6.66150618744746e-05,False,36,368
9433,1150,יחזקאל/רבנו גרשום,31.791156,35.219798,1150,4675,4,0.0001312982110618743,9350,3,1,4675,4675,8.208637430319552e-05,3.171166846891801e-05,False,8,738
11574,5949,ת. מרכזית ירושלים/יפו,31.788746,35.203674,5949,4679,10,0.0003282455276546857,9331,5,5,4658,4673,7.87875685445113e-05,0.00024953982233401356,False,8,738
13037,21371,כהנמן/הרב זוננפלד,32.080511,34.841412,21371,4654,9,0.0002954209748892171,9308,3,6,4654,4654,0.00011797578906246282,0.00011638422576396379,False,36,368
10789,5100,ת. מרכזית ירושלים/יפו,31.788746,35.202430,5100,4650,6,0.00019694731659281143,9300,3,3,4650,4650,7.558381879697011e-05,1.3024086321298126e-05,False,8,738
13341,23060,הרב כהנמן/קוקה קולה,32.078104,34.842242,23060,4648,6,0.00019694731659281143,9291,4,2,4643,4648,0.00013356054645105998,0.00021740777382586428,False,36,368
13129,21520,כיכר רבין/מלכי ישראל,32.079600,34.780657,21520,4630,13,0.00042671918595109143,9260,7,6,4630,4630,7.271303822064299e-05,0.0002795433152378044,False,16,625
15639,31366,ת.רק''ל שחם/דרך ז'בוטינסקי,32.091821,34.860984,31366,4630,9,0.0002954209748892171,9260,4,5,4630,4630,9.619503395493986e-05,4.038130981372581e-05,False,18,605
8614,73,שדרות גולדה מאיר/המשורר אצ''ג,31.825302,35.188624,73,4609,11,0.00036107008042015427,9218,7,4,4609,4609,0.0001397293329261414,0.00021792573412263673,True,8,738
13033,21366,כיכר דיזנגוף/דיזנגוף,32.078936,34.773907,21366,4589,5,0.00016412276382734285,9178,3,2,4589,4589,7.463008087519429e-05,4.639268210111735e-05,False,16,625
13228,21732,שד' רוטשילד/שיינקין,32.068653,34.778387,21732,4584,7,0.00022977186935828,9168,3,4,4584,4584,7.522742078868572e-05,4.8960264205973924e-05,False,16,625
13246,22028,בית ספר הולץ/חיל השריון,32.046238,34.783261,22028,4577,31,0.0010175611357295257,9154,15,16,4577,4577,9.146105768002509e-05,0.017469394229506892,True,16,625
13985,26416,דרך ז'בוטינסקי/דב גרונר,32.091396,34.829253,26416,4571,5,0.00016412276382734285,9142,3,2,4571,4571,5.882408360200556e-05,1.9658770493537097e-06,False,36,368
13250,22277,רבי עקיבא/גן קדושי ורשה,32.085985,34.831969,22277,4567,9,0.0002954209748892171,9134,4,5,4567,4567,6.875401409833205e-05,0.001919126135836622,False,36,368
16203,32267,דרך זאב ז'בוטינסקי/הסיבים,32.092078,34.858020,32267,4564,9,0.0002954209748892171,9128,4,5,4564,4564,7.773103735723797e-05,0.0008501808258882186,False,18,605
8710,179,רבי ישראל נג'ארה/יונתן בן עוזיאל,31.789376,35.191168,179,4552,6,0.00019694731659281143,9104,2,4,4552,4552,5.200635470986456e-05,6.106497884484141e-05,False,70,87
13582,25608,דיזנגוף סנטר/שדרות בן ציון,32.073756,34.775586,25608,4547,4,0.0001312982110618743,9094,2,2,4547,4547,7.152348354576013e-05,8.492206410912542e-05,False,16,625
49226,20751,ישראל טל/דרך מנחם בגין,32.064034,34.782462,20751,4513,8,0.0002625964221237486,9026,4,4,4513,4513,5.373126150977212e-05,2.244672595364602e-06,False,16,625
40026,463,שדרות שז''ר/בנייני האומה,31.787547,35.202639,463,4514,9,0.0002954209748892171,9016,4,5,4502,4514,6.909104278229659e-05,0.00020186571141230783,False,8,738
13140,21540,דרך ז'בוטינסקי/רש''י,32.089296,34.818138,21540,4498,8,0.0002625964221237486,8996,4,4,4498,4498,8.186508872845726e-05,6.478800146461347e-05,False,36,368
8961,542,בר אילן/שמואל הנביא,31.794822,35.217969,542,4488,7,0.00022977186935828,8976,4,3,4488,4488,6.89271786416001e-05,0.00024886476499736136,False,8,738
8962,543,בר אילן/חכם שמואל ברוכים,31.794075,35.216208,543,4475,4,0.0001312982110618743,8950,1,3,4475,4475,6.272075732879971e-05,4.207570703734067e-05,False,8,738
13174,21597,רבי עקיבא/הרב קוק,32.087547,34.828114,21597,4472,5,0.00016412276382734285,8944,2,3,4472,4472,8.52970199729922e-05,5.330467908652659e-05,False,36,368
29482,20353,ת. רכבת ההגנה/החרש,32.055692,34.783286,20353,4460,16,0.0005251928442474972,8919,10,6,4460,4459,6.345872860154527e-05,0.0020859387767205076,False,16,625
49236,20749,ת.רק''ל קרליבך/דרך מנחם בגין B,32.065523,34.783296,20749,4445,9,0.0002954209748892171,8890,4,5,4445,4445,5.4051466569106695e-05,5.3126518531980116e-05,False,16,625
8708,177,רבי ישראל נג'ארה/גבעת שאול,31.792076,35.191927,177,4440,3,9.847365829640571e-05,8880,2,1,4440,4440,5.5810496539928134e-05,2.9659059681250313e-06,False,70,87
13481,25346,יצחק אלחנן/הכרמל,32.065425,34.765682,25346,4463,14,0.00045954373871656,8871,9,5,4435,4436,3.890727878325813e-05,0.0011085909928482747,False,16,625
13198,21644,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,32.083114,34.805050,21644,4416,5,0.00016412276382734285,8832,2,3,4416,4416,8.40596604874119e-05,5.225449074500702e-05,False,36,368
9564,1586,גולומב/סן מרטין,31.756636,35.195429,1586,4409,11,0.00036107008042015427,8818,6,5,4409,4409,0.00011602020086587759,0.00044176202660611917,False,13,637
47411,155,אוהל יהושע/זית רענן,31.795826,35.210930,155,4408,5,0.00016412276382734285,8816,3,2,4408,4408,6.859273190137137e-05,2.4707148306943765e-05,False,8,738
10226,2987,יגאל ידין/דרוק,31.806598,35.216384,2987,4406,20,0.0006564910553093714,8812,11,9,4406,4406,0.00010842668871661502,0.01863654647872718,False,67,116
16206,32270,ת.רק''ל שנקר/דרך ז'בוטינסקי,32.092397,34.854627,32270,4283,8,0.0002625964221237486,8566,5,3,4283,4283,6.762844295626064e-05,0.0003382488008098527,False,18,605
16195,32259,ז'בוטינסקי/הסיבים,32.092536,34.856645,32259,4277,11,0.00036107008042015427,8554,4,7,4277,4277,0.00010380984350640606,0.0012925473158206875,False,18,605
13572,25587,שד' רוטשילד/שיינקין,32.068500,34.777966,25587,4219,3,9.847365829640571e-05,8438,1,2,4219,4219,6.009828702803332e-05,2.2803471732367897e-06,False,16,625
