stop_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
24278,0.009042813,-0.046252914,0.26799613,0.3079545,-0.23849551,-0.01626565,0.7481563,-0.25733852,-0.26604685,0.08303359,0.38022742,-0.08882413,0.4029244,0.018145043,-0.41566142,-0.030528182,-0.81545967,0.08079315,0.62279785,-0.07823028,0.46485564,0.5970017,0.40558016,-0.5549063,-0.35533205,0.88204986,-0.13550116,0.8014063,-0.049482785,-0.25109923,0.05685202,0.48918703,-0.47571743,-0.7069209,0.1859183,-0.62394845,-0.39492753,0.062438507,-0.044546556,-0.2105832,0.58098894,0.29907325,-0.13891675,-0.5768182,0.7635979,-0.053458463,0.30493346,-0.5858575,-0.6332087,-0.19377881,0.5629718,-0.6711838,0.56809485,0.17999381,-0.078866996,-0.3102368,-0.1356258,-0.71482074,-0.9732624,0.48968315,-0.71704686,-0.5223903,-0.41379094,0.5245605
25276,-0.46769562,0.14465016,0.12681924,-0.040789004,0.6028587,-0.27043262,0.27088538,-0.06584659,-0.48986486,0.5221768,0.48868912,-0.37569553,0.15265664,0.30931354,-0.33162346,0.30119672,-0.87301,0.47064537,0.34263194,0.31627697,0.4242649,0.21423304,0.063360706,-0.8532323,0.2935274,1.0450132,-0.49583393,0.75039554,0.010575484,0.7236658,-0.35367364,0.17062166,-1.3155471,0.3594952,0.011973334,-0.4097234,-0.526695,-0.5094136,-0.06360844,0.2456638,0.9410902,0.6147096,0.3125074,-0.32922232,0.17920132,-0.15823409,0.2596112,0.0003254341,0.026374992,0.0537406,1.2727337,-0.21812163,0.27941182,0.10295744,-0.30391005,-0.3413834,0.10403542,-0.5074838,-0.32445097,0.6590207,-0.45630568,0.24658284,-0.7896918,0.26556742
49133,0.5099004,-0.021836117,0.8165993,0.6400191,-0.16229703,-0.58723986,0.2571944,0.19066055,-0.5096763,0.09256952,0.53588957,-0.37477842,0.07492996,0.14988752,0.2611665,0.03676181,-0.92039335,-0.118309736,0.39214885,0.4310754,-0.7165086,-0.16261773,-0.40803513,-1.0783951,-0.26469338,0.24528432,-0.25303686,0.8536711,-0.0051513035,0.6118213,-0.072998725,0.5720397,-0.4184389,-0.48699617,0.3870841,0.0015812812,-0.025386585,0.033140477,-0.063433155,-0.02496409,-0.15684886,-0.28459683,-0.61741585,0.32793552,0.606683,-0.10744474,0.23288564,0.021963453,0.32208958,-0.030961603,0.4989181,0.32854062,0.26817828,0.22775514,-0.14673217,-0.023107352,-0.8888192,-0.86640334,0.23238282,-0.06309306,-1.2035089,0.4049479,-0.36772823,-0.07400438
51868,0.15802959,-0.035763737,0.39110672,-0.07740182,0.15377058,-0.2998709,-0.12622885,0.0445062,-0.25271678,0.15728477,-0.170495,0.14908153,0.3116508,-0.17393073,-0.42456517,0.07724171,-0.3070047,-0.10901477,0.54821855,0.22777845,0.49671552,0.24329515,0.715388,-0.88388264,-0.2623264,0.7502688,-0.5076857,-0.42503422,0.32425216,0.06766353,-0.56237674,0.6515267,-0.24891105,-0.25741056,0.21076977,0.5722381,-0.12136236,-0.20162855,-0.16371123,-0.06658364,1.022181,0.2160376,-0.32414332,0.47687984,-0.14753042,-0.10985072,0.078620054,-0.4294874,-0.729262,0.13593979,0.60457486,-0.13632926,0.15776457,-0.039399955,-0.38567543,0.06813119,-0.20280735,-0.06884779,-0.17259176,-0.31876534,-0.13931482,0.29261705,-0.37138924,0.3993769
13601,0.6676705,-0.23159665,0.5527143,-0.37385157,0.24189001,-0.081800185,-0.29631332,-0.16354297,0.042221855,-0.03669531,0.061072372,-0.4224698,0.7756235,-0.134711,0.013734918,0.56271183,-0.29295248,0.30543134,0.4177213,0.8766906,0.5316242,0.46050864,-0.36925852,-0.5928137,-0.2384527,0.443687,-0.6048387,-0.40371796,0.04125011,-0.021908036,0.27413863,0.51765954,-0.77157354,0.005314093,-0.20390524,0.14483403,-0.1171708,-0.20901164,-0.45366496,0.46759757,0.30471343,0.5968364,-0.55779535,-0.26112282,0.2866328,-0.15108348,0.029432533,-0.8258375,0.51346886,0.17815967,0.399368,-0.21815972,0.188752,-0.04072445,0.29409814,0.28022632,-0.3919401,-0.17813142,-0.52287453,0.4268064,-0.6484453,-0.00053945737,0.020307083,0.06754535
25206,-0.11436722,-0.15591373,0.8164505,0.7565161,0.23040225,0.15486597,0.14062259,-0.20171167,-0.33093908,-0.5185587,-0.08419976,0.50004965,-0.024214115,0.27189794,-0.54717034,-0.4371862,-1.0566884,-0.43296638,-0.52080077,0.41982555,0.859317,0.6036184,-0.59631634,-1.1320549,-0.2755825,0.4040721,-0.53469604,0.007644301,-0.2686526,0.07290734,0.18797778,0.45222703,-0.45384282,0.20936406,0.2552416,-0.10345011,0.08720874,-0.17090148,0.3676837,0.6234244,0.6166365,0.51550287,-0.25414392,0.58886284,0.40184447,-0.025875218,-0.033592954,-0.0609679,-0.35169196,0.18869305,0.3760322,-0.06494455,-0.5142593,0.32985127,-0.25463885,-0.48976713,0.00396355,0.15516324,-0.40738982,0.062163875,-0.8479469,0.047802303,-0.029500019,-1.0840136
132,-0.4389438,-0.51446146,0.70527506,0.5103759,0.2665482,0.37015063,0.103663184,-0.7425572,-0.99829423,-0.29804227,0.28789467,-0.1369938,-0.2949675,-0.5976608,-0.7548393,-0.19996938,-1.2958233,0.23209716,0.48068455,0.8129557,-0.3862202,0.08684746,-0.085664384,-0.8593115,-0.48757216,0.7984495,-0.18342578,-0.21593696,0.28349382,0.5593772,0.17965019,0.46497083,-0.68049884,0.45476684,0.5308048,-0.30787724,0.26741526,0.50687313,0.37175518,-0.17925622,-0.2962748,0.68067414,0.4895857,0.44402653,0.384349,-0.20794645,-0.04916322,-0.4518928,0.10369932,1.3376029,0.8564325,0.06302662,0.23504648,0.29141083,0.3332947,-0.42582598,0.70012784,-0.4470024,-0.5294582,-0.29133832,-0.78988236,0.5205687,0.80776304,-0.2629613
15675,0.1840826,0.08616123,0.9189619,0.093100704,-0.27495468,0.13187988,0.40046751,-0.32756573,-0.21692961,-0.279727,0.6545232,0.078448795,0.020816198,-0.7993829,0.17098355,0.4786577,-0.5220971,0.054114077,-0.18291844,0.36319894,0.799069,0.67500293,0.08539153,-0.24604657,-0.20464192,-0.1251908,0.06326637,0.4974248,-0.7339461,0.404692,-0.18527837,0.014546454,0.09319269,0.5603539,0.64179075,-0.3889558,0.046388596,0.16683279,-0.8434823,0.15973392,0.105356075,0.07325874,-0.94523644,0.91089326,1.0683892,-0.34478226,0.24523273,-0.57229203,0.44885114,-0.45944223,1.0357572,0.30332664,0.044275902,0.47330993,-0.17472023,-0.16714142,-0.21661003,-0.49294865,-0.618236,0.16421993,-0.5860489,0.8111075,0.35403326,-0.30797437
24787,0.69684845,-0.22101071,0.19215514,0.17790334,-0.036693465,-0.71693015,0.14601251,0.2421284,-0.66545904,0.28747088,1.0316322,-0.12602626,-0.7840702,-0.2545562,-0.71091646,-0.28197685,-0.32334068,-0.19962123,0.26549187,0.68618095,0.18187846,-0.21384685,-0.07043619,-0.32799095,-0.45831734,-0.19053839,0.0621495,0.39603186,0.19872959,0.037786383,0.15607251,0.7496542,-0.25338712,-0.07399316,0.4661163,0.031863157,-0.004608697,0.14742425,0.1830631,0.06879809,1.157451,0.019037407,0.046659123,-0.0158763,0.4626597,-0.2574608,0.84237576,-0.25635874,-0.21102925,-0.100282416,1.3429222,-0.1090917,0.64144427,-0.5550945,0.2830283,-0.20815837,-0.28124112,0.037661057,-0.13723941,-0.4117314,-0.29545307,-0.1524073,0.03561237,-0.5719195
35500,-0.26403514,0.098028645,0.4281473,0.06911954,0.093917176,-0.45694038,0.5211852,-0.36214265,-0.1545289,-0.30756205,0.17956261,0.058910903,-0.0011662892,-0.9658078,-0.08661355,-0.20222348,-0.5810396,0.027288936,0.35532197,0.18389799,0.82772917,0.77630174,0.2028283,-0.49052054,-0.2232238,-0.083808914,-0.37201056,-0.112016775,0.22513701,-0.2621784,0.11617623,0.4247438,-0.4798789,0.046858728,0.103121005,0.6788318,-0.026358325,-0.46043706,-0.19114344,-0.14066397,0.15356833,-0.33034915,-0.6657291,-0.122868866,0.43157578,-0.1943476,0.006235769,0.054767262,-0.19365567,0.41709557,0.121140815,0.17517567,0.08020452,0.14703731,-0.039452888,-0.6630615,-0.0035945168,-0.5089356,-0.0099234,0.42351565,-0.01010084,-0.37510383,-0.016173132,-0.3412441
