stop_id,stop_name,region,lat,lon,only_lens,n_lenses_evaluated,consensus_mean_pct,reasons
15911,אנשי בראשית/הנחל,Center,32.221718,34.873635,no_walk_alternative,5,0.6236,no_walk_alternative (#49)
40901,אבנת,Center,31.679631,35.43815,no_walk_alternative,5,0.607,no_walk_alternative (#35)
27308,ניר משה,South,31.47865,34.637102,no_walk_alternative,5,0.6006,no_walk_alternative (#13)
11196,מסעף נטף,Jerusalem,31.813499,35.106143,no_walk_alternative,5,0.5583,no_walk_alternative (#45)
42282,טללים,South,30.991824,34.771363,no_walk_alternative,5,0.5371,no_walk_alternative (#14)
38159,בית הערבה/מגרש ספורט,Center,31.808996,35.478176,no_walk_alternative,5,0.5308,no_walk_alternative (#10)
24629,מרכז/חרוצים,Center,32.227062,34.864761,no_walk_alternative,5,0.5151,no_walk_alternative (#26)
7629,מצפה שלם,Center,31.569673,35.399638,no_walk_alternative,5,0.5047,no_walk_alternative (#8)
16289,צומת יסודות,Center,31.809847,34.858167,peak_hour,5,0.9525,peak_hour (#30)
3021,צומת פוריידיס,North,32.591896,34.947792,peak_hour,5,0.9016,peak_hour (#42)
27649,מרכז אורן/יצחק רגר,South,31.272046,34.79807,peak_hour,5,0.8979,peak_hour (#38)
5706,שדרות מנחם בגין/ספיר,North,32.790783,35.516611,peak_hour,5,0.8909,peak_hour (#33)
21270,צומת גבעת אבני,North,32.780795,35.435202,peak_hour,5,0.8809,peak_hour (#23)
4221,צומת פוריה,North,32.786068,35.495894,peak_hour,5,0.8755,peak_hour (#34)
26707,צומת הנגב,South,31.067243,34.838615,peak_hour,5,0.8647,peak_hour (#41)
15176,צומת ניצני עוז,Center,32.312045,34.998098,peak_hour,5,0.8613,peak_hour (#46)
5708,שדרות מנחם בגין/וינגייט,North,32.798577,35.520979,peak_hour,5,0.8504,peak_hour (#45)
729,מחלף ראש העין מזרח,Center,32.107606,34.962074,peak_hour,5,0.8268,peak_hour (#11)
13356,דרך קיבוץ גלויות/כביש 1,Center,32.046861,34.784605,peak_hour,6,0.8089,peak_hour (#27)
27865,צומת ניר עם,South,31.517158,34.586272,peak_hour,5,0.8083,peak_hour (#50)
3870,ת. מרכזית המפרץ/הורדה,North,32.792214,35.034786,peak_hour,5,0.7989,peak_hour (#39)
35694,מחלף שעריה למערב,Center,32.067954,34.902997,peak_hour,5,0.7847,peak_hour (#22)
42412,תחנת התרעננות/פונדק חצבה,South,30.798872,35.243661,peak_hour,5,0.7395,peak_hour (#43)
8636,גולדה/שלמה הלוי,Jerusalem,31.8003,35.208257,service_volume,5,0.9693,service_volume (#13)
10790,צומת רמות/גולדה,Jerusalem,31.809649,35.204075,service_volume,5,0.9668,service_volume (#8)
13067,דרך נמיר/יהודה המכבי,Center,32.095157,34.794466,service_volume,4,0.9514,service_volume (#9)
14347,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,Center,32.092819,34.83772,service_volume,4,0.9484,service_volume (#17)
12898,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,Center,32.092564,34.840305,service_volume,5,0.9462,service_volume (#26)
13358,סמינר הקיבוצים/דרך נמיר,Center,32.101886,34.792779,service_volume,5,0.9445,service_volume (#5)
3521,מת''מ,North,32.790385,34.96134,service_volume,5,0.9295,service_volume (#25)
9959,מסוף הר נוף/כנפי נשרים,Jerusalem,31.78719,35.180668,service_volume,4,0.9189,service_volume (#14)
44960,ירמיהו/הצבי,Jerusalem,31.790922,35.201995,service_volume,4,0.9111,service_volume (#21)
37528,הבורסה/דרך ז'בוטינסקי,Center,32.082534,34.800724,service_volume,4,0.9078,service_volume (#32)
48363,ת.רק''ל יהודית/דרך מנחם בגין,Center,32.069627,34.787954,service_volume,4,0.9051,service_volume (#10)
13227,ז'בוטינסקי/ אבו חצירא,Center,32.092113,34.832382,service_volume,4,0.9036,service_volume (#34)
13204,קניון עזריאלי/דרך מנחם בגין,Center,32.075726,34.791623,service_volume,5,0.8944,service_volume (#46)
3368,סחרוב,North,32.790059,34.959315,service_volume,6,0.8834,service_volume (#29)
13247,מגדל קונקורד/דרך בן גוריון,Center,32.093343,34.822094,service_volume,4,0.8827,service_volume (#39)
9445,ירמיהו/שמגר,Jerusalem,31.792377,35.207749,service_volume,4,0.8758,service_volume (#18)
37251,קרית מדע/גולדה מאיר,Jerusalem,31.799436,35.211783,service_volume,4,0.8746,service_volume (#40)
16205,בי''ח בלינסון/גשר מבצע ארנון,Center,32.091161,34.86787,service_volume,6,0.8699,service_volume (#43)
50385,ת.רק''ל ארלוזורוב/דרך מנחם בגין,Center,32.080749,34.796416,service_volume,4,0.8687,service_volume (#24)
13120,דרך זאב ז'בוטינסקי/מכון מור,Center,32.09139,34.824447,service_volume,4,0.8479,service_volume (#6)
13575,הבימה/שד' רוטשילד,Center,32.071428,34.778882,service_volume,4,0.8477,service_volume (#33)
47982,גולדה מאיר/שלמה הלוי,Jerusalem,31.799622,35.209612,service_volume,4,0.8364,service_volume (#31)
13103,קניון עזריאלי/דרך מנחם בגין,Center,32.074592,34.790584,service_volume,5,0.8267,service_volume (#1)
12910,דרך נמיר/יהודה המכבי,Center,32.095376,34.794137,service_volume,5,0.8156,service_volume (#4)
13322,המסגר/הרכב,Center,32.06366,34.78558,service_volume,6,0.8139,service_volume (#12)
12900,מגדל ויטה/דרך בן גוריון,Center,32.094143,34.822193,service_volume,4,0.7985,service_volume (#42)
22099,ת. רק''ל בלינסון/קניון אבנת,Center,32.091717,34.865871,service_volume,5,0.7959,service_volume (#19)
13679,עיריית תל אביב - יפו/אבן גבירול,Center,32.082914,34.781176,service_volume,4,0.7638,service_volume (#47)
48438,דרך מנחם בגין/החשמונאים,Center,32.068718,34.786781,service_volume,4,0.7503,service_volume (#27)
10237,יחזקאל/כיכר השבת ,Jerusalem,31.788783,35.218466,service_volume,4,0.7423,service_volume (#16)
48640,דרך מנחם בגין/המלאכה,Center,32.067185,34.784932,service_volume,4,0.735,service_volume (#45)
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,Center,32.083005,34.802272,service_volume,6,0.7177,service_volume (#20)
49466,מסוף הר נוף/כנפי נשרים,Jerusalem,31.787451,35.180456,service_volume,5,0.7046,service_volume (#23)
8756,מרכז שטנר/כנפי נשרים,Jerusalem,31.787703,35.188761,service_volume,4,0.7009,service_volume (#35)
10514,ביטוח לאומי,Jerusalem,31.784519,35.200768,service_volume,4,0.6887,service_volume (#11)
13207,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,Center,32.090946,34.82339,service_volume,4,0.6526,service_volume (#15)
8757,בית ענבר/כנפי נשרים,Jerusalem,31.787728,35.185498,service_volume,4,0.6386,service_volume (#36)
13206,קריית הממשלה/דרך מנחם בגין,Center,32.07238,34.789654,service_volume,5,0.6145,service_volume (#7)
10742,שמגר/אוהל יהושע,Jerusalem,31.795289,35.207757,service_volume,4,0.5999,service_volume (#38)
13032,דרך ז'בוטינסקי/דב גרונר,Center,32.091763,34.828052,service_volume,4,0.5787,service_volume (#50)
29483,המסגר/המלאכה,Center,32.066289,34.786744,service_volume,4,0.4427,service_volume (#41)
