station_id,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
23835,21622,21623,2,21619,0.9998150117929981,96,0,7577.166666666667,0.3504378256713842,2398.3450571913513,1,4.624705175049204e-05,2.5533407332023472e-05,0.014824754833171028,וייצמן/התע''ש,37040,7,4749,0.0001921160427818557,0.0011673393575432768,False
8642,21622,21623,2,21619,0.9998150117929981,96,0,7577.177083333333,0.3504383074337866,2398.3392270061845,1,4.624705175049204e-05,2.5051644929607875e-05,0.008994569666356256,שפע חיים/דורש טוב,5667,17,23238,0.00015876961277708072,0.0006830561565810505,False
2050,21622,21623,2,21619,0.9998150117929981,96,0,7577.177083333333,0.3504383074337866,2398.3534008526863,1,4.624705175049204e-05,2.5051644929607875e-05,0.02316841616811871,המגינים/בן גוריון,41539,11,16464,0.00016033764616959527,0.00035273164487994985,False
39135,21622,21623,2,21619,0.9998150117929981,96,0,7577.177083333333,0.3504383074337866,2398.461079396131,1,4.624705175049204e-05,2.5051644929607875e-05,0.13084695961288162,כסייפה אבו רביעה,11345,4,586,6.491660588065367e-05,0.03137576893637062,False
25468,21622,21623,3,21617,0.9997225176894973,96,0,7577.1875,0.35043878919618915,2398.373286452988,3,0.0001387411552513651,2.4569882527081255e-05,0.0430540164697959,מסגד אל רחמה,19850,8,802,8.545105420814954e-05,0.0001517902570180112,True
16202,21622,21623,2,21619,0.9998150117929981,96,0,7577.1875,0.35043878919618915,2398.3520442297663,1,4.624705175049204e-05,2.4569882527081255e-05,0.021811793248161848,ת.רק''ל דנקנר/דרך ז'בוטינסקי,32271,10,17204,0.00015118778859833908,0.0007372669626589116,False
12951,21622,21623,2,21619,0.9998150117929981,96,0,7577.1875,0.35043878919618915,2398.337390278422,1,4.624705175049204e-05,2.4569882527081255e-05,0.0071578419037905405,דרך מנחם בגין/החשמונאים,20725,11,15030,9.184463136153576e-05,0.000340443862168968,False
13206,21622,21623,2,21619,0.9998150117929981,96,0,7577.1875,0.35043878919618915,2398.3358569130864,1,4.624705175049204e-05,2.4569882527081255e-05,0.005624476568300452,קריית הממשלה/דרך מנחם בגין,21675,9,14386,9.862818991550814e-05,4.336864486228891e-06,False
13573,21622,21623,2,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.338506057796,1,4.624705175049204e-05,2.4088120124554635e-05,0.008273621278021892,הבימה/שד' רוטשילד,25592,8,19286,0.00012360054911282275,0.0002652715444076672,False
13037,21622,21623,2,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.3463569740065,1,4.624705175049204e-05,2.4088120124554635e-05,0.016124537488394708,כהנמן/הרב זוננפלד,21371,13,15077,0.0001415260733939803,0.0001460077710363727,False
13277,21622,21623,2,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.3400509320873,1,4.624705175049204e-05,2.4088120124554635e-05,0.009818495569106744,המסגר/ריב''ל,25702,10,14288,9.507013405426417e-05,3.5417726637535945e-05,False
15558,21622,21623,2,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.3269891111463,1,4.624705175049204e-05,2.4088120124554635e-05,-0.0032433253718409105,משטרה/הרצל,31246,10,9496,0.0001907103521647396,0.00020672387384357716,False
6058,21622,21623,2,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.319352013664,1,4.624705175049204e-05,2.4088120124554635e-05,-0.010880422854370408,תל חי/אורי אילן,51451,9,3830,0.0001812668924554391,0.037763608919211926,False
