source_station_id,target_station_id,source_station_name,target_station_name,frequency,mean_travel_seconds,is_bridge,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase
35903,35904,אלסהלה/כביש ראשי,עין אלסהלה/ביה''ס,332,18.83132530120482,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.84375,0.3504228910369069,2398.3112392145053,2,9.249410350087306e-05,4.0468041809349486e-05,-0.01899322201279574
4032,41537,האילן/ההדס,האילן/החרוב,421,68.02612826603325,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.854166666667,0.35042337279930935,2398.3167504537328,2,9.249410350087306e-05,3.998627940687838e-05,-0.013481982785378932
11168,11169,נווה אילן א,נווה אילן ב,347,20.772334293948127,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.90625,0.35042578161132193,2398.344254006975,2,9.249410350087306e-05,3.757746739430079e-05,0.01402157045686181
3780,3695,זינגר/קשטן,זינגר/הזז,403,34.15880893300248,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.9375,0.3504272268985293,2398.3263606918053,2,9.249410350087306e-05,3.6132180186942975e-05,-0.003871744712796499
38773,38774,דוכיפת,מחלף טל,381,110.26771653543307,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.947916666667,0.3504277086609317,2398.2824231933646,3,0.0001387411552513651,3.565041778452738e-05,-0.047809243153551506
52007,52010,שמעון מישורי/פרופ' יעקב נאמן,פרופ' יעקב נאמן/הרב אברהם זקן,487,55.69404517453799,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.947916666667,0.3504277086609319,2398.3392672068335,3,0.0001387411552513651,3.565041778430533e-05,0.009034770315338392
10095,10082,בי''ח הרצוג/גבעת שאול,הר תמיר/גבעת שאול,1120,45.957142857142856,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.947916666667,0.3504277086609319,2398.341251196198,2,9.249410350087306e-05,3.565041778430533e-05,0.011018759679700452
10437,10436,משה קול/שרייבוים,משה קול/מרה,1915,28.8177545691906,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.979166666667,0.3504291539481394,2398.323280462607,2,9.249410350087306e-05,3.4205130576836495e-05,-0.006951973911327514
8966,39139,תחנת רק''ל יפה נוף,הזיכרון/שדרות הרצל,544,231.3014705882353,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.0,0.35043011747294434,2398.3227991642225,2,9.249410350087306e-05,3.324160577189428e-05,-0.007433272295656934
188,189,החוף הירוק,חוף פולג/רמת פולג,628,20.5843949044586,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.03125,0.3504315627601518,2398.333778855502,2,9.249410350087306e-05,3.179631856442544e-05,0.00354641898366026
10296,10289,מרידור א,מרידור/יוסף נדבה,2206,78.81414324569356,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.072916666667,0.3504334898097618,2398.3282301230643,2,9.249410350087306e-05,2.9869268954429984e-05,-0.0020023134538860177
50012,50819,הזמיר/צופית,מונטיפיורי/אבנר בן יהודה,336,93.10714285714286,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.09375,0.35043445333456674,2398.312837092251,2,9.249410350087306e-05,2.8905744149487766e-05,-0.017395344267242763
34553,34555,אולפנה/מבוא צפנת,מבוא צפנת/תרצה,492,61.71544715447155,True,21623,21623,3,21617,0.9997225176894973,96,0,7577.104166666667,0.35043493509696916,2398.282045803513,3,0.0001387411552513651,2.842398174707217e-05,-0.048186633005116164
9570,39290,רינגלבלום ב',רינגלבלום א,621,74.44283413848632,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.125,0.3504358986217742,2398.335676370514,2,9.249410350087306e-05,2.746045694201893e-05,0.005443933996048145
7401,34313,חזון איש/ חתם סופר,הרב שלום שבזי/אזור תעשייה ערבה,488,23.0,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.135416666667,0.35043638038417674,2398.339712322691,2,9.249410350087306e-05,2.697869453949231e-05,0.009479886172812257
10754,9553,שדרות שז''ר/בנייני האומה,גשר המיתרים/שד' הרצל,5835,29.586803770351327,False,21623,21623,2,21620,0.9998612588447486,96,0,7577.166666666667,0.3504378256713841,2398.3270582448017,0,0.0,2.5533407332134495e-05,-0.003174191716425412
13618,43787,שכונת הארגזים/לח''י,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,659,70.57966616084977,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.197916666667,0.3504392709585917,2398.3337273387983,1,4.624705175049204e-05,2.4088120124554635e-05,0.0034949022801811225
38771,38773,דוכיפת/סנונית,דוכיפת,381,29.821522309711288,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.208333333333,0.350439752720994,2398.297737468895,2,9.249410350087306e-05,2.360635772225006e-05,-0.03249496762327908
25225,25227,בן ציון גליס/צבי ברגמן,בן ציון גליס/הבורסקאי,1007,50.9682224428997,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.21875,0.3504402344833966,2398.325578744219,1,4.624705175049204e-05,2.3124595319612418e-05,-0.004653692299143586
50377,50376,חניון שפירים מערבי ב/הורדה,חניון שפירים מערבי ג/הורדה,936,28.371794871794872,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.229166666667,0.35044071624579914,2398.330770159941,1,4.624705175049204e-05,2.2642832917085798e-05,0.0005377234228944872
13871,14012,נווה יהושע/סטופ,העליה השלישית/נווה יהושע,370,47.33783783783784,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.229166666667,0.35044071624579914,2398.329881540708,1,4.624705175049204e-05,2.2642832917085798e-05,-0.000350895810242946
