stop_id,stop_name,lat,lon,region,metro,degree,weighted_degree,approx_betweenness
12625,ת. מרכזית אילת/שדרות התמרים,29.556369,34.951682,South,Periphery,7,628,0.0007304470800982263
10591,שד. לוי אשכול/שד. יהודה בן זאב,31.743353,34.996499,Jerusalem,Periphery,7,4464,0.0003106422066865307
4761,צומת מחנה גדעון,32.513083,35.495006,North,Periphery,7,1202,0.00573456456553759
34493,רמת הגולן/אדום,32.10579,35.199835,Center,Periphery,7,2332,0.00031225130779817246
47432,הרכבת/המסגר,32.059556,34.783556,Center,Tel Aviv,7,3192,0.00017140628916206805
3431,נווה גנים,32.857868,35.092598,North,Haifa,7,3996,0.0005417948537854781
22203,מבוא רעות/יפה נוף,31.885412,35.022417,Jerusalem,Periphery,7,388,0.0001312217345149926
18177,מסעף נחף,32.928028,35.321077,North,Periphery,7,1036,0.0005679211902324998
10356,שדרות גולדה מאיר/בנימין מינץ,31.826368,35.188677,Jerusalem,Jerusalem,7,5232,0.0004824005917903254
21354,הזית/קרן היסוד,31.926912,34.853889,Center,Tel Aviv,7,904,0.000147737463191981
44501,שדרות נעמי שמר/אליהו,31.946045,34.841911,Center,Tel Aviv,7,1022,0.00013845328911173834
35,רשות שדות התעופה/העליה,31.990876,34.8976,Center,Tel Aviv,6,686,0.0002835234347390444
23299,ת. רכבת קרית אריה,32.105041,34.863442,Center,Tel Aviv,6,4650,0.00013488174215417787
28710,בית ספר אבו באכר,31.247417,34.851319,South,Beer Sheva,6,198,0.00027742132662131027
15826,צומת חמד,32.012415,34.843015,Center,Tel Aviv,6,610,0.0010141598126867735
42785,הרצל/משה הס,32.327269,34.860772,Center,Tel Aviv,6,3358,0.00010413641859490232
46704,דרך מנחם בגין/דרך הרב שלום איפרגן,31.518208,34.589881,South,Periphery,6,1606,0.00013680533692680025
12164,דרך הערבה/יותם,29.553942,34.954454,South,Periphery,6,592,0.00027232277633215413
13321,המסגר/לה גווארדייה,32.059809,34.784515,Center,Tel Aviv,6,4506,0.00013215761645248006
24663,מסעף שער אברהם,31.761437,34.792104,Center,Periphery,6,254,0.00021302089677556656
37804,קניון אושילנד/עתיר ידע,32.166035,34.928573,Center,Tel Aviv,6,852,0.00013143951014492496
262,התרופה/אריה רגב,32.282866,34.862884,Center,Tel Aviv,6,5346,0.00011336874390145155
2394,מחלף העמקים/ג'למה,32.723751,35.099955,North,Haifa,6,2488,0.0003669201695240485
5017,קניון/שאול עמור,32.678313,35.242546,North,Periphery,6,1292,0.00011699706247516922
5238,דוד אלעזר/לח''י,32.963282,35.489648,North,Periphery,6,1868,0.00015708212223445835
20997,אל-עומאל אל-ערב/אום קוביי,32.703477,35.288455,North,Periphery,6,282,0.00037484418081732367
