from_stop,to_stop,from_name,to_name,trip_frequency
22261,51154,ת. רכבת רחובות,תחנת רכבת רחובות,367
37534,13321,ת.מרכזית תל אביב קומה 7/רציפים,המסגר/לה גווארדייה,363
23676,44586,אופנהיימר/ברגמן,תחנת רכבת רחובות,361
37804,23695,קניון אושילנד/עתיר ידע,אזור תעשיה סנטרל פארק 2000/עתיר ידע,360
20739,41934,מסוף בית שאן/שדרות מנחם בגין,מסוף בית שאן/איסוף,359
50250,42723,אברהם בר/דוד סחרוב,מסוף קניון הזהב,359
395,48443,הגפן/השקד,בית גיל הזהב,354
10591,11064,שד. לוי אשכול/שד. יהודה בן זאב,מסוף דרך חיים,353
2201,2675,בית אלפא/דגניה,דגניה/חוף קרית חיים,350
37803,23694,קניון אושילנד/עתיר ידע,אזור תעשיה סנטרל פארק 2000/עתיר ידע,348
4761,40871,צומת מחנה גדעון,ת. רכבת בית שאן/איסוף,343
25709,50732,שוק עירוני/בית אשל,ת.מרכזית/עירוניים לצפון,341
28638,48944,משה סנה,רכבת/מסוף ביג - רציפים,340
43422,48149,שדרות מנחם בגין/שדרות הרצל,ת. מרכזית אשדוד/רציפים,334
50250,975,אברהם בר/דוד סחרוב,מסוף קניון הזהב,332
28638,48951,משה סנה,רכבת/מסוף ביג - רציפים,332
50858,42618,הכינור,התן/השופר,329
43630,43628,התן/הלביא,התן/חי בר,329
42618,43630,התן/השופר,התן/הלביא,329
3368,48044,סחרוב,ת. מרכזית חוף הכרמל/רציפים עירוני,328
2614,3271,גיבורי התהילה/עבודת ישראל,גיבורי התהילה/בית קמה,323
2405,2614,הגפן/האלונים,גיבורי התהילה/עבודת ישראל,323
17046,2405,גן ציבורי/הגפן,הגפן/האלונים,323
359,48192,הרצל/בנימין מינץ,ת. מרכזית נתניה/רציפים,317
16205,44159,בי''ח בלינסון/גשר מבצע ארנון,מסוף יותם ויואב/רציפים,317
13321,37648,המסגר/לה גווארדייה,ת.מרכזית תל אביב קומה 7/רציפים,316
16205,44160,בי''ח בלינסון/גשר מבצע ארנון,מסוף יותם ויואב/רציפים,316
45003,49772,ת. רכבת אשקלון/רציפים,מנחם בגין/דרך ארץ,315
25709,50729,שוק עירוני/בית אשל,ת.מרכזית/עירוניים לדרום,312
9570,9571,רינגלבלום ב',בית ספר פולינסקי/ד''ר רינגלבלום,312
39290,9570,רינגלבלום א,רינגלבלום ב',312
9537,39290,קורצ'אק/רינגלבלום,רינגלבלום א,312
11720,9537,צ'ילה/קורצ'אק,קורצ'אק/רינגלבלום,312
9304,11720,צ'ילה/סירני,צ'ילה/קורצ'אק,312
10079,9304,המפלצת/טהון,צ'ילה/סירני,312
12975,50375,מחלף לה גווארדייה,חניון שפירים מערבי ג,312
50332,44664,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,חניון שפירים מערבי ב,312
13206,44665,קריית הממשלה/דרך מנחם בגין,חניון שפירים מערבי א,312
9579,35957,אורוגואי/מרקו ברוך,ניסן/גרונולד,309
35847,35957,קורצ'אק/רינגלבלום,ניסן/גרונולד,309
39291,35847,רינגלבלום א,קורצ'אק/רינגלבלום,309
9569,40020,בית ספר פולינסקי/ד''ר רינגלבלום,רינגלבלום ב',309
40020,39291,רינגלבלום ב',רינגלבלום א,309
359,47830,הרצל/בנימין מינץ,ת. מרכזית נתניה/רציפים,306
48481,42299,שדרות שז''ר/בנייני האומה,היכל המשפט/שדרות הנשיא השישי,306
11623,11458,שער יפו/יפו,מסוף הנביאים/הורדה,299
42499,42498,שדרות אריק שרון,שדרות אריק שרון/שדרות קרן הידידות,297
42497,42496,שדרות אריק שרון/שדרות קרן הידידות,שדרות אריק שרון,294
