from_stop,to_stop,from_name,to_name,trip_frequency
39829,50544,גפן/אשל,מסוף חריש/איסוף,121
28638,48273,משה סנה,ת. רכבת אשדוד עד הלום/איסוף,120
8881,44581,בי''ס ראשידה/סולטאן סולימאן,מסוף סולטאן סולימאן,120
28706,28722,מועצה מקומית,תיכון מקיף עמל,119
28723,28706,בית ספר אבו באכר,מועצה מקומית,119
28722,28719,תיכון מקיף עמל,בית הספר אנדלוס,119
28719,28718,בית הספר אנדלוס,אזור תעשיה תל שבע,119
25826,47864,שוק עירוני/דרך חברון,שדרות נפתלי אימבר/קק''ל,118
9056,48208,שדרות דוד טוביהו/סוקולוב,ת.מרכזית באר שבע/רציפים בינעירוני,117
28638,43608,משה סנה,ת. רכבת אשדוד עד הלום/איסוף,116
41140,19646,עוזייר שכונה צפונית,מרפאת שיניים,116
19646,19647,מרפאת שיניים,מפעל חומרי בנין,116
19647,41142,מפעל חומרי בנין,עוזייר שכונה דרומית 1,116
40875,41222,ת. רכבת כפר ברוך,שגיא 2000/כביש 7255,116
18409,7152,אצ''ל/דרך הרב חיים חורי,קרן היסוד/אצ''ל,115
7152,50685,קרן היסוד/אצ''ל,קרן היסוד,115
42901,44388,נמל תעופה רמון/צומת באר אורה,נמל תעופה רמון/כניסה,111
40345,42901,אזור תעשייה שחורת/כביש 90,נמל תעופה רמון/צומת באר אורה,111
44388,43636,נמל תעופה רמון/כניסה,נמל תעופה רמון/הורדה,111
22804,48139,ישראל גלילי/הסחלב,ת. מרכזית ראשל''צ/רציפים,110
19730,19573,בי''ס מקיף סעדיה,גני ילדים מרכז,109
29310,37525,המסגר/יד חרוצים,ת.מרכזית תל אביב קומה 6/רציפים,109
25975,48357,שדרות הפלמח/חטיבת כרמלי,מסוף בני ברית,109
19729,19730,אל ג'בל / דרך יצחק רבין,בי''ס מקיף סעדיה,109
47432,37694,הרכבת/המסגר,ת.מרכזית תל אביב קומה 6/רציפים,108
13246,38994,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,107
153,51114,יהודה שטיין/קרן היסוד,משה לוי/רפאל איתן,106
24404,48099,וייצמן/רוטשילד,תחנה מרכזית כפ''ס/רציפים,106
50742,21710,אליהו/הזית,אליהו/הדר,104
51868,21706,הרב ניסים טולדנו/דגן,סביון/שדרות נעמי שמר,104
21706,50742,סביון/שדרות נעמי שמר,אליהו/הזית,104
750,50691,צומת רכבת ראש העין צפון,תחנת רכבת ראש העין צפון/רציפים,104
6965,6175,גנים ציבוריים,דליה צעירה מרכז,102
38554,6984,אל-סנדיאן,דליה הצעירה/כניסה,102
38557,38555,צומת דאליה הצעירה,בי''ס טכנולוגי,102
38555,38554,בי''ס טכנולוגי,אל-סנדיאן,102
17054,38566,מסעף עוקף דליה,מוחרקה 1,102
6984,6965,דליה הצעירה/כניסה,גנים ציבוריים,102
38559,38557,מצפה כרמל,צומת דאליה הצעירה,102
4339,47974,תל חי/הירדן,ת. מרכזית ק''ש/רציפים,102
38566,38559,מוחרקה 1,מצפה כרמל,102
50874,50881,נחל הבניאס/נחל דישון,נחל דישון,100
18578,50877,הנחלים/הר וגיא,נחל מירון/נחל השופט,100
50881,50882,נחל דישון,נחל מירון/נחל משושים,100
18580,50884,המעוף/הר וגיא,נחל מירון/נחל השופט,100
50880,50883,נחל מירון/נחל משושים,נחל הבניאס/נחל דישון,100
50882,50877,נחל מירון/נחל משושים,נחל מירון/נחל השופט,100
50884,50880,נחל מירון/נחל השופט,נחל מירון/נחל משושים,100
6963,6964,דליה צעירה מרכז,גנים ציבוריים,98
6964,38565,גנים ציבוריים,אל-סנדיאן,98
38565,38556,אל-סנדיאן,בי''ס טכנולוגי,98
27485,27495,שדרות ישראל פולק/שבט,שד. ישראל פולק/כסלו,98
27495,27492,שד. ישראל פולק/כסלו,אזור תעשיה/שדרות ישראל פולק,98
38556,38558,בי''ס טכנולוגי,מצפה כרמל,98
27492,27489,אזור תעשיה/שדרות ישראל פולק,שד. אבץ/שד. ישראל פולק,98
27489,43038,שד. אבץ/שד. ישראל פולק,שדרות אבץ,98
43038,27487,שדרות אבץ,שד. אבץ/שד. הפלטינה,98
27487,27486,שד. אבץ/שד. הפלטינה,צבר/שדרות אבץ,98
3703,38558,צומת אלמחרקה,מצפה כרמל,98
28713,28712,תיכון מקיף עמל,בית ספר קהילתי חטיבת ביניים,97
44501,21707,שדרות נעמי שמר/אליהו,אליהו/סביון,97
28717,28716,מגדל מים,שכונה 7,97
28716,28715,שכונה 7,בית ספר אלאנדלוס,97
21708,21707,אליהו/הזית,אליהו/סביון,97
21711,21708,אליהו/הדר,אליהו/הזית,97
28712,28711,בית ספר קהילתי חטיבת ביניים,מרכז פיס קהילתי,97
28711,28710,מרכז פיס קהילתי,בית ספר אבו באכר,97
28715,28713,בית ספר אלאנדלוס,תיכון מקיף עמל,97
2753,17124,מרכז דאליית אל כרמל,קופת חולים מכבי,96
37522,28734,שגב שלום/מרכז מסחרי,מועצה מקומית,96
28735,37522,תיכון מקיף,שגב שלום/מרכז מסחרי,96
17124,17127,קופת חולים מכבי,שכונת ח'אלת עלי 2,96
2968,17125,מרכז העיר 1,קופת חולים מכבי,96
17127,17293,שכונת ח'אלת עלי 2,ח'לת עלי,96
44857,44854,א סאפא/אבו ח'שבה,א סאפא/אל ג'מעיה אל תחתא,96
44854,44853,א סאפא/אל ג'מעיה אל תחתא,א סאפה/אל בוטמה,96
44853,8956,א סאפה/אל בוטמה,אל בוטמה,96
17064,17128,שכונת ח'אלת עלי 1,שכונת ח'אלת עלי 2,96
17128,17065,שכונת ח'אלת עלי 2,שכונת ח'אלת עלי 3,96
17067,17125,שכונת ח'אלת עלי 4,קופת חולים מכבי,96
17065,17067,שכונת ח'אלת עלי 3,שכונת ח'אלת עלי 4,96
8399,42150,תחנת דלק/כוכב יעקב,מסוף שער בנימין/הורדה,94
25938,48170,בן גוריון/נאות אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,94
35918,48430,עין איברהים/יציאה,עין אבראהים ו,93
48429,48430,עין אבראהים ה,עין אבראהים ו,93
26432,26431,הקוצר/הכשרת היישוב,הכשרת היישוב/הזורע,93
25791,26432,הברזל/הקוצר,הקוצר/הכשרת היישוב,93
25788,25791,הברזל/החורש,הברזל/הקוצר,93
48428,48429,עין אבראהים ד,עין אבראהים ה,93
42068,42067,טיפת חלב כסיפה 2,בית ספר אלירמוק,92
42069,42065,בית ספר תיכון חמאד,טיפת חלב כסיפה,92
28215,42069,בית ספר חאמד,בית ספר תיכון חמאד,92
42244,40074,הקוצר/הכשרת היישוב,הקוצר/הברזל,92
42065,42068,טיפת חלב כסיפה,טיפת חלב כסיפה 2,92
40075,42244,הכשרת הישוב/החורש,הקוצר/הכשרת היישוב,92
40074,40073,הקוצר/הברזל,הברזל/הזורע,92
42067,42072,בית ספר אלירמוק,אמטיראת,92
41540,40075,הכשרת הישוב/הבונים,הכשרת הישוב/החורש,92
37061,28265,צים סנטר/התעשייה,התעשייה/סדן,92
42077,42066,מסגד אבו בכר,מסגד אבו בכר 2,91
35514,42071,כסייפה/שכונה 13,אמטיראת,91
42071,42074,אמטיראת,בית ספר אלירמוק,91
28237,42076,בית ספר חאמד,בית ספר תיכון חמאד,91
42074,42077,בית ספר אלירמוק,מסגד אבו בכר,91
42066,42076,מסגד אבו בכר 2,בית ספר תיכון חמאד,91
3549,47969,מחלף עתלית,ת. מרכזית חוף הכרמל/רציפים בינעירוני,90
8884,8886,חטיבת ביניים/טריק אלמדארס,בית ספר יסודי/סיירת אלח'גה,90
8898,37733,עיסוויה כניסה מערבית,לוחמי הגטאות/בר כוכבא,90
44958,8889,בי''ס עיסאוויה/סירת אל חג'ה,קסילה/מחגרת עתמה,90
8896,8898,צומת זהרה א,עיסוויה כניסה מערבית,90
10744,8884,עיסאוויה כניסה מזרחית,חטיבת ביניים/טריק אלמדארס,90
8886,44958,בית ספר יסודי/סיירת אלח'גה,בי''ס עיסאוויה/סירת אל חג'ה,90
8882,10744,מגרש כדורגל/אלבסאטין,עיסאוויה כניסה מזרחית,90
8889,8891,קסילה/מחגרת עתמה,קסילה/אום אלעסאפיר,90
8891,8893,קסילה/אום אלעסאפיר,מסגד ארבעין/קסילה,90
8893,8895,מסגד ארבעין/קסילה,קופת חולים/ראס אל ג'אמע,90
8895,8896,קופת חולים/ראס אל ג'אמע,צומת זהרה א,90
8885,10782,חטיבת ביניים/טריק אלמדארס,עיסאוויה כניסה מזרחית,89
8887,8885,בית ספר יסודי/סיירת אלח'גה,חטיבת ביניים/טריק אלמדארס,89
8833,8906,תחנת דלק/לוחמי הגטאות,עיסוויה כניסה מערבית,89
8906,8897,עיסוויה כניסה מערבית,צומת זהרה ב,89
8888,8887,קסילה/מחגרת עתמה,בית ספר יסודי/סיירת אלח'גה,89
8890,8888,קסילה/אום אלעסאפיר,קסילה/מחגרת עתמה,89
8897,8894,צומת זהרה ב,בית ספר אלאמל לחינוך מיוחד/ראס אל ג'אמע,89
8894,8892,בית ספר אלאמל לחינוך מיוחד/ראס אל ג'אמע,מסגד ארבעין/קסילה,89
8892,8890,מסגד ארבעין/קסילה,קסילה/אום אלעסאפיר,89
37734,8833,לוחמי הגטאות/בר כוכבא,תחנת דלק/לוחמי הגטאות,89
47905,324,ת. מרכזית נתניה/רציפים,שד. בנימין/שד. ירושלים,89
26792,28266,התעשייה/פלדה,התעשייה/סדן,89
22099,44162,ת. רק''ל בלינסון/קניון אבנת,מסוף יותם ויואב/רציפים,86
26757,49373,שד. חברון/פרג,תיכון מיתרים,84
5373,51576,יהודה הלוי/דנילוף סנטר,ת. מרכזית טבריה/השילוח,84
39784,48050,גני טל/כיכר,ת.רכבת נתיבות/רציפים,84
8881,44575,בי''ס ראשידה/סולטאן סולימאן,מסוף סולטאן סולימאן,82
17623,48106,צומת נהריה,ת. מרכזית נהריה/רציפים,81
26875,49365,דרך הראל/בארי,תיכון מיתרים,81
39888,39886,חיילים משוחררים יז,חיילים משוחררים טו,80
39886,39884,חיילים משוחררים טו,חיילים משוחררים יב,80
39884,39882,חיילים משוחררים יב,חיילים משוחררים י,80
6667,39883,פקיעין חיילים משוחררים מגרש כדורגל,חיילים משוחררים יא,80
28739,28738,מועצה מקומית,מרכז מסחרי,80
39883,39889,חיילים משוחררים יא,חיילים משוחררים טז,80
6648,39882,מגרש כדורגל,חיילים משוחררים י,80
28740,28739,מרכז מסחרי,מועצה מקומית,80
23193,34080,הפקולטה לחקלאות,ת. רכבת רחובות/רציפים בין עירוני,78
26985,41181,אוהד מרכז,אוהד,77
8947,47736,חטיבת ירושלים/ יצחק קריב,מסוף הנביאים,76
49772,45000,מנחם בגין/דרך ארץ,ת. רכבת אשקלון/רציפים,76
34796,34834,חרמש/מרכז,מבוא דותן/מרכז,76
28738,28736,מרכז מסחרי,תיכון מקיף אלמג'ד,75
28985,28982,אלבואי/רפח,רפח/אלרמלה,75
28982,28980,רפח/אלרמלה,שכונה 38,75
41108,27926,נירים,עין השלושה מרכז,75
28450,28980,אזור תעשיה רהט,שכונה 38,75
41107,41108,ניר עוז מרכז,נירים,75
28981,28983,שכונה 38,רפח/אלרמלה,74
16205,44161,בי''ח בלינסון/גשר מבצע ארנון,מסוף יותם ויואב/רציפים,74
28983,28984,רפח/אלרמלה,רפח/אלבואי,74
28451,28981,אזור תעשיה רהט,שכונה 38,74
40959,40936,בי''ס חדשני ג',מרכז פיס,73
40957,40959,צפון/מזרח,בי''ס חדשני ג',73
8881,44580,בי''ס ראשידה/סולטאן סולימאן,מסוף סולטאן סולימאן,73
20556,40936,מועצה מקומית,מרכז פיס,73
40956,40957,שכונה עליונה,צפון/מזרח,73
23671,49180,פקריס/פלאוט,ת. רכבת רחובות/רציפים עירוני,72
28442,40481,התחנה לבריאות המשפחה,שכ' 5 מערב,72
40976,40963,ב''ס אל אמל,סנובר אלג'או/דרב סאפר,72
40481,40482,שכ' 5 מערב,מחסן עירייה,72
40963,42563,סנובר אלג'או/דרב סאפר,בי''ס חדשני ג',72
42563,40958,בי''ס חדשני ג',צפון   מזרח ירכא,72
13322,37677,המסגר/הרכב,ת.מרכזית תל אביב קומה 6/רציפים,71
27927,27064,מחנה אמיתי,כרם שלום מרכז,69
3549,48196,מחלף עתלית,ת. מרכזית חוף הכרמל/רציפים בינעירוני,69
43337,10169,אקווריום ישראל,גן החיות התנ''כי,68
37834,43338,גן החיות התנ''כי,אקווריום ישראל,68
38174,38183,מקאם נבי סבלאן,שכונת חיילים משוחררים א,66
28443,28441,מחסן עירייה,התחנה לבריאות המשפחה,66
38183,38173,שכונת חיילים משוחררים א,כפר ילדים דרוזי,66
38182,38171,חיילים משוחררים ב,חיילים משוחררים ג,66
38171,38170,חיילים משוחררים ג,חיילים משוחררים ד,66
38170,38168,חיילים משוחררים ד,מקלט ציבורי אלעריד,66
15782,39161,בית עלמין,הרימון/הברוש,66
38173,38182,כפר ילדים דרוזי,חיילים משוחררים ב,66
8881,44579,בי''ס ראשידה/סולטאן סולימאן,מסוף סולטאן סולימאן,66
4634,42541,שדרות הבנים/שד' שאול עמור,מסוף מגדל העמק,64
13946,49172,ת. רכבת האוניברסיטה/שד' רוקח,ת. רכבת אוניברסיטה/איסוף,63
43374,48947,המשנה,רכבת/מסוף ביג - רציפים,62
48914,48067,רכבת/מסוף ביג,ת. רכבת אשדוד עד הלום/איסוף,62
8871,40685,יצחק הנדיב/ואדי ג'וז,דרך יריחו/אל עזרייה,62
12990,49975,בית הדר דפנה/שד' שאול המלך,מסוף גולדה/רציפים,62
40685,38738,דרך יריחו/אל עזרייה,אוניברסיטת אבו דיס,62
41133,36588,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,62
8611,8978,בריכת שחיה,קיבוץ נחשון,62
25466,28597,שכונה 31,מרכז פיס,61
28334,25468,בית ספר אל רחמה,מרכז פיס,61
35194,25463,בית ספר א זהרא,שכונה 27,61
28597,35195,מרכז פיס,מסגד אל רחמה,61
25461,25466,שכונה 31,שכונה 31,61
28331,25462,שכונה 31,שכונה 31,61
25468,28331,מרכז פיס,שכונה 31,61
25463,28334,שכונה 27,בית ספר אל רחמה,61
5107,5106,קיבוץ רשפים,קיבוץ שלוחות,61
13632,36198,המסגר/ריב''ל,ת.מרכזית תל אביב קומה 7/רציפים,60
36119,36078,דרך ניל''י/ההגנה,חרצית/האשל,60
36073,36074,דרך העצמאות/נורית,דרך העצמאות/הנדיב,60
36072,36073,חבצלת/הארז,דרך העצמאות/נורית,60
36078,36072,חרצית/האשל,חבצלת/הארז,60
9056,48207,שדרות דוד טוביהו/סוקולוב,ת.מרכזית באר שבע/רציפים בינעירוני,60
1248,36119,דרך העצמאות/הנביאים,דרך ניל''י/ההגנה,60
17623,48240,צומת נהריה,ת. מרכזית נהריה/רציפים,59
13322,37675,המסגר/הרכב,ת.מרכזית תל אביב קומה 6/רציפים,59
13322,36296,המסגר/הרכב,ת.מרכזית תל אביב קומה 6/רציפים,59
28638,48950,משה סנה,רכבת/מסוף ביג - רציפים,58
10775,50603,גשר המיתרים/שד' הרצל,מרכז תחבורתי הארזים/בינעירוני,58
20680,40877,צומת כפר יהושע,ת. רכבת כפר יהושע/איסוף,57
26122,47852,בית רסקו/יצחק רגר,ת.מרכזית באר שבע/רציפים בינעירוני,56
39830,50546,דרך ארץ/אשל,מסוף חריש/איסוף,56
11204,11199,הדקלים/הרימון,נבעה,56
35353,35385,שדה אליהו,טירת צבי,56
11245,11199,נבעה/אלוואד,נבעה,56
12495,52017,בית חולים יוספטל/יותם,ת. מרכזית אילת/רציפים,56
10775,50604,גשר המיתרים/שד' הרצל,מרכז תחבורתי הארזים/בינעירוני,55
49228,42173,ת.רכבת מלאכי-יואב/כביש 3836,ת. רכבת מלאכי יואב/הורדה,54
48439,49228,צומת כפר הרי''ף,ת.רכבת מלאכי-יואב/כביש 3836,54
12226,52019,צומת אילות,ת. מרכזית אילת/רציפים,54
38212,38213,שלאלי/יציאה,דרך דהור/יציאה,53
27023,27005,בסיס בינוי מרחב,מחנה חצרים,53
38204,38208,גשר הידידות/כניסה,עין קיניא/כיכר לצפון,53
38208,38212,עין קיניא/כיכר לצפון,שלאלי/יציאה,53
38213,38215,דרך דהור/יציאה,עין קיניא/יציאה צפונית,53
42979,44390,נמל תעופה רמון/רציפים,נמל תעופה רמון/יציאה,52
48822,8925,אל תווחיד/דב יוסף,אל בטמה/רחוב שרפאת,50
44856,9225,א סאפא/אבו ח'שבה,א סאפא/א סלאם,50
44855,44856,א סאפא/אל ג'מעיה אל תחתא,א סאפא/אבו ח'שבה,50
8959,44855,א סאפה/אל בוטמה,א סאפא/אל ג'מעיה אל תחתא,50
8924,8959,אל בוטמה,א סאפה/אל בוטמה,50
23259,43303,בר כוכבא/ליברכט,מסוף משה ארנס/רציפים,50
8925,8924,אל בטמה/רחוב שרפאת,אל בוטמה,50
38206,38205,שכונת שאלאקה/לדרום,גשר הידידות/יציאה,48
4443,38206,עין קיניא/כיכר לדרום,שכונת שאלאקה/לדרום,48
38210,4443,עין קיניא/מרכז לדרום,עין קיניא/כיכר לדרום,48
38211,38210,שלאלי/כניסה,עין קיניא/מרכז לדרום,48
38214,38211,דרך דהור/כניסה,שלאלי/כניסה,48
38114,38214,עין קיניא/כניסה צפונית,דרך דהור/כניסה,48
35585,35564,אל כרז,בית ספר כפאר עקב,48
12164,51991,דרך הערבה/יותם,ת. מרכזית אילת/רציפים,47
44390,42978,נמל תעופה רמון/יציאה,נמל תעופה רמון/רציפים,46
13322,37690,המסגר/הרכב,ת.מרכזית תל אביב קומה 6/רציפים,46
8907,38739,מחסום ענאתא/דרך ענתות,מסוף שועפאט,46
24404,47920,וייצמן/רוטשילד,תחנה מרכזית כפ''ס/רציפים,46
16940,36010,צומת זכרון יעקב/כביש 4,מרכז מסחרי מול זכרון,45
35343,20874,הושעייה,הושעיה/ש.ג.מ. ציפורית,44
39830,50548,דרך ארץ/אשל,מסוף חריש/איסוף,44
35387,35396,קיבוץ מירב,מלכישוע/כניסה,44
35361,35387,קיבוץ מעלה גלבוע,קיבוץ מירב,44
8947,44836,חטיבת ירושלים/ יצחק קריב,מסוף הנביאים,43
11205,11203,הדקלים/המעיין,מרכז מסחרי,42
11203,11200,מרכז מסחרי,נבעה,42
11200,11197,נבעה,עין ראפה א,42
17623,48180,צומת נהריה,ת. מרכזית נהריה/רציפים,42
40228,40229,גני ילדים,נאעורה מערב,41
324,47909,שד. בנימין/שד. ירושלים,ת. מרכזית נתניה/רציפים,41
2394,43777,מחלף העמקים/ג'למה,מחנה ג'למה,41
4839,40228,נעורה כיכר,גני ילדים,41
40229,40231,נאעורה מערב,פיצריה,41
40231,40237,פיצריה,מסגד,41
19458,6910,הגיבורים/השיטה,כיכר הגיבורים/הציפורנים,40
19870,6912,דרך העמק/מעלה הבנים,'דרך העמק א,40
19460,19466,מעלה הרקפות/הציפורנים,הגורן/הגיא,40
50545,39830,מסוף חריש/איסוף,דרך ארץ/אשל,40
19462,19870,דרך העמק/נחל קרת,דרך העמק/מעלה הבנים,40
6910,19460,כיכר הגיבורים/הציפורנים,מעלה הרקפות/הציפורנים,40
37221,26769,מחנה נבטים,מחנה נבטים,40
19465,19462,דרך העמק/נתיב הנוטרים,דרך העמק/נחל קרת,40
6912,6914,'דרך העמק א,דרך העמק/משעול התל,40
19466,19465,הגורן/הגיא,דרך העמק/נתיב הנוטרים,40
39779,47751,אלי סיני/קטיף,ת.רכבת נתיבות/רציפים,39
39652,43715,אל עזי א,אל עזי ב,39
42807,42809,מחלף העמקים/אלרואי,מחלף העמקים/ג'למה,39
42809,43776,מחלף העמקים/ג'למה,מחנה ג'למה,39
42785,48172,הרצל/משה הס,ת. מרכזית נתניה/רציפים,38
28687,27946,זיקים,מחנה זיקים,37
5247,5505,קיבוץ חוקוק,מושב ליבנים,37
27316,28687,כרמיה,זיקים,37
7074,37188,מכמנים מרכז,מכמנים כיכר,37
22804,47993,ישראל גלילי/הסחלב,ת. מרכזית ראשל''צ/רציפים,36
10775,50583,גשר המיתרים/שד' הרצל,מרכז תחבורתי הארזים/בינעירוני,36
42908,51264,דרך ארץ/אשל,מסוף חריש/איסוף,36
27530,50680,שד. מלכי ישראל/רחבת גדעון בן יואש,מסוף שער העיר/הורדה,36
5623,18419,צומת צפת דרום/אזור התעשיה,עכברה,36
5238,35296,דוד אלעזר/לח''י,עכברה,35
27529,50679,שדרות מלכי ישראל/נתן אלבז,מסוף שער העיר/איסוף,35
41786,35611,ת. רכבת אחיהוד/רציפים,בר לב יציאה,35
37194,35611,בר לב ד,בר לב יציאה,35
15949,46590,מחמוד דרוויש/אלבוחארי,אל נג'אח/אל טבל,34
19910,19909,מנוף מרכז,שכניה,34
47288,33948,אלבלדיה/נדאא אלסלאם,הבנקים/אלבלדיה,34
47117,46753,תיכון עתיד טייבה,מגרש כדורגל,34
46864,47117,בלאל בן רבאח/מוסא חסן,תיכון עתיד טייבה,34
46590,46344,אל נג'אח/אל טבל,אלבלדיה/סמיח אלקסם,34
22961,46864,בית ספר עמל,בלאל בן רבאח/מוסא חסן,34
46824,22961,בלאל בן רבאח/אלאח'ווה,בית ספר עמל,34
46215,46824,בלאל בן רבאח/מחמוד דרוויש,בלאל בן רבאח/אלאח'ווה,34
46917,46215,פרדיסיה/ח'אלד אבן אלואליד,בלאל בן רבאח/מחמוד דרוויש,34
47194,46917,בית אבות/ח'אלד אבן אלואליד,פרדיסיה/ח'אלד אבן אלואליד,34
47070,47194,ח'אלד אבן אלואליד/עין גאלות,בית אבות/ח'אלד אבן אלואליד,34
47120,47070,ביטוח לאומי/ח'אלד אבן אלואליד,ח'אלד אבן אלואליד/עין גאלות,34
33948,47120,הבנקים/אלבלדיה,ביטוח לאומי/ח'אלד אבן אלואליד,34
46270,22827,תיכון עתיד טייבה,בית ספר עמל,34
22827,47148,בית ספר עמל,בלאל בן רבאח/עין גאלות,34
47148,46997,בלאל בן רבאח/עין גאלות,פרדיסיה/ח'אלד אבן אלואליד,34
46997,47168,פרדיסיה/ח'אלד אבן אלואליד,בית אבות/ח'אלד אבן אלואליד,34
47168,46427,בית אבות/ח'אלד אבן אלואליד,ח'אלד אבן אלואליד/אלרוק,34
46427,46782,ח'אלד אבן אלואליד/אלרוק,ח'אלד אבן אלואליד/מוחמד דווריש,34
46782,46600,ח'אלד אבן אלואליד/מוחמד דווריש,ח'אלד אבן אלואליד/אלראזי,34
46600,46371,ח'אלד אבן אלואליד/אלראזי,בי''ס אבן רושד,34
46371,46528,בי''ס אבן רושד,הבנקים/מכללת עמל,34
46528,46873,הבנקים/מכללת עמל,אלבלדיה/אלבריד,34
46873,46773,אלבלדיה/אלבריד,עיריית טייבה/אלבלאדיה,34
46773,22873,עיריית טייבה/אלבלאדיה,באר,34
22873,46702,באר,אלבלדיה/סמיח אלקסם,34
46702,46204,אלבלדיה/סמיח אלקסם,אל נג'אח/מרכז אלטפל,34
46344,46710,אלבלדיה/סמיח אלקסם,עיריית טייבה/אלבלאדיה,34
19909,20210,שכניה,קורנית,34
46710,47288,עיריית טייבה/אלבלאדיה,אלבלדיה/נדאא אלסלאם,34
41796,18827,ת. רכבת אחיהוד/רציפים,בר לב/כניסה,34
39840,46204,טבעת דרומית,אל נג'אח/מרכז אלטפל,34
37164,37161,בר לב א,בר לב 2,34
18827,37164,בר לב/כניסה,בר לב א,34
12226,51996,צומת אילות,ת. מרכזית אילת/רציפים,32
24663,42617,מסעף שער אברהם,ת. רכבת מלאכי יואב/הורדה,32
12226,51995,צומת אילות,ת. מרכזית אילת/רציפים,30
43905,36413,מצודת אדומים,ת. מרכזית ירושלים קומה 3/רציפים,29
43374,48942,המשנה,רכבת/מסוף ביג - רציפים,29
23193,49802,הפקולטה לחקלאות,ת. רכבת רחובות/רציפים בין עירוני,28
14355,37473,מחלף מורשה,מסוף רעננה/היהלום,27
25968,48152,אלי כהן/יצחק בן צבי,ת. מרכזית אשקלון רציפים/בינעירוני,26
23248,15779,התמר/מבוא התאנה,הזית/הנחלים,24
43126,262,ת.רכבת ספיר,התרופה/אריה רגב,24
13187,44990,דבורה הנביאה/ראול ולנברג,מסוף עתידים,24
15836,25142,מסעף צפריה,הרימון/מבוא הגפן,24
25142,23248,הרימון/מבוא הגפן,התמר/מבוא התאנה,24
49372,44994,דבורה הנביאה/ראול ולנברג,מסוף עתידים,24
24239,42491,בית לוינשטיין/אחוזה,ת. רכבת רעננה מערב/איסוף,24
19590,19281,מרכז,מזרקה,23
40015,40018,שכונה מזרחית,כנסייה היסטורית אורתודוכסית,23
40007,40011,מסגד בילאל,שכונה בדווית,23
40005,40007,טיפת חלב,מסגד בילאל,23
40011,40009,שכונה בדווית,מגרש משולב,23
19277,40003,שעב/כביש ראשי,מרכז,23
40018,40012,כנסייה היסטורית אורתודוכסית,שעב מרכז דרום,23
24713,49792,ת. רכבת מודיעין מרכז,מסוף מודיעין עילית,23
5836,40006,שעב/כניסה,מגרש משולב,23
40014,19590,תחנה לבריאות המשפחה,מרכז,23
40006,40010,מגרש משולב,שכונה בדווית,23
40003,40015,מרכז,שכונה מזרחית,23
40012,40005,שעב מרכז דרום,טיפת חלב,23
40010,40008,שכונה בדווית,מסגד בילאל,23
40008,40004,מסגד בילאל,טיפת חלב,23
40013,40017,שעב מרכז דרום,כנסייה היסטורית אורתודוכסית,23
40017,40016,כנסייה היסטורית אורתודוכסית,שכונה מזרחית,23
40016,40014,שכונה מזרחית,תחנה לבריאות המשפחה,23
40004,40013,טיפת חלב,שעב מרכז דרום,23
15826,25144,צומת חמד,הרימון/כביש 412,22
22332,25144,הרימון/מבוא הגפן,הרימון/כביש 412,22
25147,25139,הזית,הזית/הרימון,22
7873,8049,מעלה מכמש,מחנה רבין,22
25139,15676,הזית/הרימון,ישיבת מאור יצחק,22
15676,22332,ישיבת מאור יצחק,הרימון/מבוא הגפן,22
41913,41914,עמק חפר/עין שוקק,שדרות עמק חפר/שדרות יצחק רבין,21
12289,12519,מסעף קבוץ עין גדי,בית ספר שדה,21
39563,44662,בגין/הרצל,תחנה רכבת שדרות/רציפים,20
12625,51998,ת. מרכזית אילת/שדרות התמרים,ת. מרכזית אילת/רציפים,20
38918,6461,שכונת הרחבה חדשה,הגפן/התאנה,20
11070,48465,שד. לוי אשכול/הגלעד,מסוף הרכבת/הורדה,20
38919,17838,שכונת הרחבה חדשה בית 189,כיכר הזית/הגפן,19
9048,50584,בן גוריון/שערי ירושלים,מרכז תחבורתי הארזים/בינעירוני,19
23671,49179,פקריס/פלאוט,ת. רכבת רחובות/רציפים עירוני,18
23193,48100,הפקולטה לחקלאות,ת. רכבת רחובות/רציפים בין עירוני,18
24706,49335,מכבים/בזלת,תפוז/האתרוג,18
1542,38451,הרימון/רויטל,חי/הדקל,17
19581,41797,צומת אחיהוד,ת. רכבת אחיהוד/הורדה,17
8947,44837,חטיבת ירושלים/ יצחק קריב,מסוף הנביאים,17
17241,49163,הארזים/האורנים,הארזים/כליל החורש,17
43324,43330,בר כוכבא/ת.מרכזית פתח תקווה,מסוף משה ארנס/הורדה,16
40443,35297,ת''ת עצמונה/שומריה,מחנה שומריה (שפיפון),16
35,43296,רשות שדות התעופה/העליה,נתב''ג טרמינל 3/קומת המראות,16
22633,43295,שדה תעופה בן גוריון/טרמינל 1,נתב''ג טרמינל 3/קומת נחיתות,16
24243,24649,מוסד חינוכי כפר בתיה/דרך ירושלים,מוסד חינוכי כפר בתיה,16
23671,44995,פקריס/פלאוט,ת. רכבת רחובות/רציפים בין עירוני,14
13322,47798,המסגר/הרכב,ת.מרכזית תל אביב קומה 6/רציפים,14
11302,50342,מעלה הזיתים,קדמת ציון,14
9282,8744,שמואל הנביא/זקס,שמואל הנביא/יקים,14
