from_stop,to_stop,trip_frequency
2960,3611,6
3815,2040,1252
3815,3611,1858
3815,2041,22
2040,2042,1321
2040,2882,2
2042,2043,1321
2043,2438,1321
2438,2439,1321
2439,2882,1299
40026,9181,2205
40026,10515,278
40026,40778,1621
40026,11632,404
40026,10588,6
9181,10515,2545
9181,10323,14
9181,8749,34
10515,9730,90
10515,10790,278
10515,9561,7
10515,10323,1246
10515,8750,75
10515,11848,27
10515,40019,16
10515,9432,759
10515,8749,1308
10515,34273,34
10515,11632,6
10515,44418,297
10515,42300,224
9730,10588,12
9730,11792,1790
9730,50937,280
10588,51564,50
10588,9560,1847
10588,50937,1818
10588,10754,8
51564,9426,12
51564,43931,570
51564,10192,1615
51564,11903,5
9426,9904,12
9426,9555,743
9426,8617,3
9904,9544,12
9904,9545,598
9544,9339,1317
9544,9310,7
9544,10767,349
9544,9898,299
9339,9539,1492
9339,9310,2
9539,9748,343
9539,9552,2005
9748,9808,595
9808,10108,628
9808,9595,503
10108,10107,343
10108,51553,891
10108,35302,107
10108,8733,27
10107,10473,12
10107,10472,910
10107,51830,50
10473,8751,70
10473,9802,412
10473,9804,455
8751,8752,627
8751,9747,966
8751,10424,351
8751,11750,834
8751,8935,50
8752,43224,159
8752,51199,337
8752,7381,308
43224,42608,97
43224,34782,332
43224,34984,129
43224,7942,124
42608,42757,101
42757,42758,195
42758,42761,195
42761,42760,195
42760,42759,195
42759,41453,195
41453,34984,97
41453,8731,4
41453,8935,94
34984,44538,132
34984,44539,149
44538,42756,266
42756,42752,195
42756,41452,107
42752,42755,195
42755,42754,195
42754,41452,195
41452,44539,132
41452,8269,150
41452,8250,20
44539,8250,261
44539,42756,36
8250,40905,281
40905,41448,580
41448,41449,195
41448,34746,129
41448,35016,149
41448,40904,107
41449,41450,195
41450,41451,195
41451,42206,195
42206,41860,195
41860,8254,195
8254,8255,195
8255,34744,195
34744,8258,195
8258,8260,195
8260,40904,195
40904,8262,152
40904,35016,150
8262,8263,281
8263,8265,97
8263,42203,184
8265,40902,97
40902,8266,97
8266,8267,97
8267,34836,97
34836,7993,97
7993,34837,97
34837,8270,97
8270,8271,195
8271,34776,97
8271,8275,98
34776,8274,126
34776,8270,98
34776,42205,185
28319,12433,294
28319,12480,154
12433,12411,292
12433,12250,156
12411,29018,449
12411,28181,103
29018,12432,189
29018,29019,593
12432,29047,870
12432,49457,158
12432,40802,152
29047,25822,570
29047,12756,307
25822,12207,449
25822,38956,162
12207,12208,593
12208,28181,456
12208,41855,5
12208,39313,137
28181,12243,725
12243,28310,704
12243,12087,7
12243,38959,7
