stop_id,stop_name,region,status,degree_bus,degree_all_modes,is_articulation_point_bus,is_articulation_point_all_modes
12164,דרך הערבה/יותם,South,both,6,6,True,True
13321,המסגר/לה גווארדייה,Center,both,6,6,True,True
153,יהודה שטיין/קרן היסוד,Center,both,6,6,True,True
15604,החרושת/מעלה המגדל,Center,both,6,6,True,True
15826,צומת חמד,Center,both,6,6,True,True
15860,רוז'נסקי/משה לוי,Center,both,6,6,True,True
18429,מרכז מסחרי/שדרות מעלה יצחק,North,both,6,6,True,True
20997,אל-עומאל אל-ערב/אום קוביי,North,both,6,6,True,True
21186,מרכז מסחרי/שדרות מעלה יצחק,North,both,6,6,True,True
23299,ת. רכבת קרית אריה,Center,both,6,6,True,True
2394,מחלף העמקים/ג'למה,North,both,6,6,True,True
262,התרופה/אריה רגב,Center,both,6,6,True,True
28710,בית ספר אבו באכר,South,both,6,6,True,True
3367,סחרוב,North,both,6,6,True,True
34581,'איתמר א,Center,both,6,6,True,True
35,רשות שדות התעופה/העליה,Center,both,6,6,True,True
35356,שער הגלבוע/אתר הסקי,North,both,6,6,True,True
3549,מחלף עתלית,North,both,6,6,True,True
35529,כפר הנשיא,North,both,6,6,True,True
35772,רפא''ל,North,both,6,6,True,True
37804,קניון אושילנד/עתיר ידע,Center,both,6,6,True,True
39097,ביה''ס ראשונים,Center,both,6,6,True,True
41810,חיים הרצוג/נתן אלתרמן,Center,both,6,6,True,True
42785,הרצל/משה הס,Center,both,6,6,True,True
42807,מחלף העמקים/אלרואי,North,both,6,6,True,True
43699,אליהו הנביא/שדרות נהר הירקון,Jerusalem,both,6,6,True,True
46704,דרך מנחם בגין/דרך הרב שלום איפרגן,South,both,6,6,True,True
49772,מנחם בגין/דרך ארץ,Center,both,6,6,True,True
50065,תרמ''ג/דרך יצחק רבין,Center,both,6,6,True,True
5017,קניון/שאול עמור,North,both,6,6,True,True
5238,דוד אלעזר/לח''י,North,both,6,6,True,True
5623,צומת צפת דרום/אזור התעשיה,North,both,6,6,True,True
7360,מתנ''ס עירוני/רבי נחמן מברסלב,Center,both,6,6,True,True
7935,טורקיז/ענבר,Center,both,6,6,True,True
8070,פני קדם,Center,both,6,6,True,True
10079,המפלצת/טהון,Jerusalem,both,5,5,True,True
12274,צומת באר אורה/נמל תעופה רמון,South,both,5,5,True,True
12289,מסעף קבוץ עין גדי,South,both,5,5,True,True
12757,מסוף אגד/קניון פרץ סנטר,South,both,5,5,True,True
13733,יהודה המכבי/דרך נמיר,Center,both,5,5,True,True
1542,הרימון/רויטל,North,both,5,5,True,True
15836,מסעף צפריה,Center,both,5,5,True,True
15949,מחמוד דרוויש/אלבוחארי,Center,both,5,5,True,True
16867,מחנה תל נוף,Center,both,5,5,True,True
17046,גן ציבורי/הגפן,North,both,5,5,True,True
17054,מסעף עוקף דליה,North,both,5,5,True,True
17225,מרכז רפואי שהם/דרך הנדיב,Center,both,5,5,True,True
18210,חיילים משוחררים ג,North,both,5,5,True,True
18409,אצ''ל/דרך הרב חיים חורי,North,both,5,5,True,True
18578,הנחלים/הר וגיא,North,both,5,5,True,True
19277,שעב/כביש ראשי,North,both,5,5,True,True
19446,ישיבת הסדר,North,both,5,5,True,True
19458,הגיבורים/השיטה,North,both,5,5,True,True
20680,צומת כפר יהושע,North,both,5,5,True,True
21512,בן גוריון/כצנלסון,Center,both,5,5,True,True
24706,מכבים/בזלת,Center,both,5,5,True,True
25059,איקאה/היוזמה,Center,both,5,5,True,True
25353,תחנת רכבת קוממיות,Center,both,5,5,True,True
26841,מואב/לשם,South,both,5,5,True,True
26842,מואב/לשם,South,both,5,5,True,True
2753,מרכז דאליית אל כרמל,North,both,5,5,True,True
28153,בי''ס משען/גיבורי תשכ''ז,South,both,5,5,True,True
28450,אזור תעשיה רהט,South,both,5,5,True,True
28451,אזור תעשיה רהט,South,both,5,5,True,True
28734,מועצה מקומית,South,both,5,5,True,True
