stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
7559,שדרות בית הלל/ יציאה מהעיר,267.0,123.0,144.0
787,מחלף ירקון,382.0,124.0,258.0
4219,צומת פוריה,39.0,125.0,-86.0
25748,שדרות הערים התאומות/רוברטו בקי,1196.0,126.0,1070.0
9435,שמואל הנביא/פישל,1811.0,127.0,1684.0
28294,מסעף דימונה/פרץ סנטר,204.0,128.0,76.0
25918,בני ברית/האורגים,455.0,129.0,326.0
16147,מסעף גן יבנה,176.0,130.0,46.0
35287,קניון ראשונים/שדרות נים,338.0,131.0,207.0
29346,חזון אי''ש/דבורה הנביאה,1897.0,132.0,1765.0
22234,צומת אודים,188.0,133.0,55.0
16087,מסעף גן יבנה,134.0,134.0,0.0
11969,מגדלי רמב''ם/טוביהו,2197.0,135.0,2062.0
12884,אלוף שדה/כביש 4,1199.0,136.0,1063.0
10084,גבעת שאול/עקיבא אזולאי,595.0,137.0,458.0
2945,רש''י/חטיבת הראל,90.0,138.0,-48.0
16349,צומת סירקין/כביש 40,311.0,139.0,172.0
34772,תחנת דלק/נופי ממרא,276.0,140.0,136.0
25328,ת. רכבת ראשונים,1397.0,141.0,1256.0
21778,מחלף גדרה/נתיב תחבורה ציבורית,168.0,142.0,26.0
1249,הסתדרות/צומת קרית אתא,139.0,143.0,-4.0
4124,צומת כפר קרע,40.0,144.0,-104.0
24856,צומת אל על,304.0,145.0,159.0
8905,שדרות נהר הירקון/אליהו הנביא,287.0,146.0,141.0
3021,צומת פוריידיס,148.0,147.0,1.0
10264,צומת רמות/ידין,798.0,148.0,650.0
38939,קניון בני ברק/אהרונוביץ,1942.0,149.0,1793.0
4678,מכללת עמק יזרעאל,127.0,150.0,-23.0
13038,כהנמן/פוברסקי,2708.0,151.0,2557.0
12985,דרך בר לב/שד' ששת הימים,4905.0,152.0,4753.0
21788,בן גוריון/לבון,138.0,153.0,-15.0
4717,מחלף איכסאל,128.0,154.0,-26.0
24296,שוק עירוני/ברון הירש,1928.0,155.0,1773.0
22264,עזרא/וייס יום טוב,1029.0,156.0,873.0
28671,ביה''ח אסותא,86.0,157.0,-71.0
15414,צומת נווה הרצוג,394.0,158.0,236.0
25975,שדרות הפלמח/חטיבת כרמלי,197.0,159.0,38.0
26787,אזור תעשיה,108.0,160.0,-52.0
19672,צומת פוריה,174.0,161.0,13.0
27605,שדרות דוד טוביהו/אסף שמחוני,1861.0,162.0,1699.0
19581,צומת אחיהוד,38.0,163.0,-125.0
3029,הרצל/זבולון,173.0,164.0,9.0
3489,צומת פוריידיס,98.0,165.0,-67.0
3956,מחלף יגור,73.0,166.0,-93.0
