window,strategy,removed,largest_component_share_surviving
afternoon_peak,betweenness,1503,0.91784
afternoon_peak,betweenness,1653,0.91301
afternoon_peak,betweenness,1803,0.87531
afternoon_peak,betweenness,1954,0.8572
afternoon_peak,betweenness,2104,0.83608
afternoon_peak,betweenness,2254,0.53099
afternoon_peak,betweenness,2405,0.52911
afternoon_peak,betweenness,2555,0.45237
afternoon_peak,betweenness,2705,0.44721
afternoon_peak,betweenness,2855,0.43875
afternoon_peak,betweenness,3006,0.42656
afternoon_peak,articulation points,0,0.99255
afternoon_peak,articulation points,15,0.99058
afternoon_peak,articulation points,30,0.98881
afternoon_peak,articulation points,75,0.98442
afternoon_peak,articulation points,150,0.98007
afternoon_peak,articulation points,301,0.95093
afternoon_peak,articulation points,451,0.93765
afternoon_peak,articulation points,601,0.93787
afternoon_peak,articulation points,751,0.94267
afternoon_peak,articulation points,902,0.94756
afternoon_peak,articulation points,1052,0.95091
afternoon_peak,articulation points,1202,0.94056
afternoon_peak,articulation points,1353,0.93409
afternoon_peak,articulation points,1503,0.92278
afternoon_peak,articulation points,1653,0.91512
afternoon_peak,articulation points,1803,0.90101
afternoon_peak,articulation points,1954,0.88197
afternoon_peak,articulation points,2104,0.87178
afternoon_peak,articulation points,2254,0.85386
afternoon_peak,articulation points,2405,0.73582
afternoon_peak,articulation points,2555,0.40535
afternoon_peak,articulation points,2705,0.40067
afternoon_peak,articulation points,2855,0.39651
afternoon_peak,articulation points,3006,0.38368
afternoon_peak,random (baseline),0,0.99255
afternoon_peak,random (baseline),15,0.99251
afternoon_peak,random (baseline),30,0.99244
afternoon_peak,random (baseline),75,0.99232
afternoon_peak,random (baseline),150,0.99214
afternoon_peak,random (baseline),301,0.9913
afternoon_peak,random (baseline),451,0.9905
afternoon_peak,random (baseline),601,0.98863
afternoon_peak,random (baseline),751,0.98718
afternoon_peak,random (baseline),902,0.98625
afternoon_peak,random (baseline),1052,0.98372
afternoon_peak,random (baseline),1202,0.98193
afternoon_peak,random (baseline),1353,0.97958
afternoon_peak,random (baseline),1503,0.97647
afternoon_peak,random (baseline),1653,0.97337
afternoon_peak,random (baseline),1803,0.97016
afternoon_peak,random (baseline),1954,0.96529
afternoon_peak,random (baseline),2104,0.9625
afternoon_peak,random (baseline),2254,0.95897
afternoon_peak,random (baseline),2405,0.95501
afternoon_peak,random (baseline),2555,0.95226
afternoon_peak,random (baseline),2705,0.94356
afternoon_peak,random (baseline),2855,0.93763
afternoon_peak,random (baseline),3006,0.93374
evening,degree,0,0.99271
evening,degree,15,0.99124
evening,degree,29,0.99107
evening,degree,73,0.98754
evening,degree,147,0.97799
evening,degree,294,0.97385
evening,degree,440,0.96068
evening,degree,587,0.94182
evening,degree,734,0.93617
evening,degree,881,0.92443
evening,degree,1028,0.91942
evening,degree,1174,0.9107
evening,degree,1321,0.82884
evening,degree,1468,0.81862
evening,degree,1615,0.7925
evening,degree,1762,0.7757
evening,degree,1908,0.54122
evening,degree,2055,0.4139
evening,degree,2202,0.36639
evening,degree,2349,0.36638
evening,degree,2496,0.36481
evening,degree,2642,0.22809
