stop_id,stop_name,region,lat,lon,degree,weighted_degree,approx_betweenness,rank_in_peak_window,peak_window,offpeak_window
10932,מסעף ישעי,Jerusalem,31.747428,34.974089,3.0,16.0,0.0008612935601616935,2601,morning_peak,night
18227,כיכר סולטאן באשא,North,33.015388,35.346509,5.0,42.0,0.0008607126503767793,2602,morning_peak,night
3692,שינדלר/אבא חושי,North,32.766622,35.013989,5.0,112.0,0.0008597790455312559,2604,morning_peak,night
4451,צומת יער אודם,North,33.226839,35.756385,2.0,6.0,0.0008594465079917695,2606,morning_peak,night
768,צומת קלנסאווה,Center,32.288955,34.985955,4.0,8.0,0.0008536414173283875,2616,morning_peak,night
39201,כורזים 2,North,32.912004,35.54703,2.0,8.0,0.000853512814677324,2617,morning_peak,night
28543,רוח מדבר,South,30.976166,34.738666,2.0,18.0,0.0008386591244833825,2636,morning_peak,night
39203,כורזים 1,North,32.909237,35.551317,3.0,15.0,0.0008230404628823671,2661,morning_peak,night
28542,תחנה חקלאית נסיונית,South,30.972022,34.728638,2.0,18.0,0.0008051571646939268,2691,morning_peak,night
7254,צומת מנות עבדון,North,33.042567,35.148127,2.0,6.0,0.0007919352734589612,2712,morning_peak,night
39085,בית ספר ניסויי תפן,North,32.996235,35.264492,5.0,10.0,0.0007720361289016551,2737,morning_peak,night
26572,צומת אשלים,South,30.958752,34.705283,3.0,18.0,0.0007719678898625062,2739,morning_peak,night
19139,בית עלמין/חג'אג'רה,North,32.741795,35.203844,4.0,74.0,0.0007626260395108414,2757,morning_peak,night
3779,שינדלר/אבא חושי,North,32.767015,35.012395,4.0,104.0,0.0007611861310436411,2761,morning_peak,night
50154,כביש 781 למזרח,North,32.83193,35.186115,2.0,16.0,0.0007276743154190034,2826,morning_peak,night
18341,צומת עין זיתים,North,32.989774,35.484823,2.0,10.0,0.000715529691852495,2851,morning_peak,night
18360,ח.ע.זיתים,North,32.997874,35.488378,2.0,10.0,0.0006820277320630389,2931,morning_peak,night
28329,צומת לקיה,South,31.328702,34.878238,10.0,32.0,0.0006725121213062858,2952,morning_peak,night
