window,strategy,removed,removed_fraction,window_nodes,surviving_nodes,lcc_size,largest_component_share_surviving,lcc_share_original
afternoon_peak,degree,451,0.015,30057,29606,28643.0,0.96747,0.95296
afternoon_peak,degree,601,0.02,30057,29456,28231.0,0.95841,0.93925
afternoon_peak,degree,751,0.02499,30057,29306,27849.0,0.95028,0.92654
afternoon_peak,degree,902,0.03001,30057,29155,27443.0,0.94128,0.91303
afternoon_peak,degree,1052,0.035,30057,29005,27189.0,0.93739,0.90458
afternoon_peak,degree,1202,0.03999,30057,28855,26285.0,0.91093,0.87451
afternoon_peak,degree,1353,0.04501,30057,28704,25847.0,0.90047,0.85993
afternoon_peak,degree,1503,0.05,30057,28554,23162.0,0.81116,0.7706
afternoon_peak,degree,1653,0.055,30057,28404,22835.0,0.80394,0.75972
afternoon_peak,degree,1803,0.05999,30057,28254,22438.0,0.79415,0.74651
afternoon_peak,degree,1954,0.06501,30057,28103,21657.0,0.77063,0.72053
afternoon_peak,degree,2104,0.07,30057,27953,17234.0,0.61653,0.57338
afternoon_peak,degree,2254,0.07499,30057,27803,12008.0,0.4319,0.39951
afternoon_peak,degree,2405,0.08001,30057,27652,9976.0,0.36077,0.3319
afternoon_peak,degree,2555,0.08501,30057,27502,5245.0,0.19071,0.1745
afternoon_peak,degree,2705,0.09,30057,27352,4928.0,0.18017,0.16396
afternoon_peak,degree,2855,0.09499,30057,27202,4892.0,0.17984,0.16276
afternoon_peak,degree,3006,0.10001,30057,27051,4873.0,0.18014,0.16213
afternoon_peak,weighted degree,0,0.0,30057,30057,29833.0,0.99255,0.99255
afternoon_peak,weighted degree,15,0.0005,30057,30042,29807.0,0.99218,0.99168
afternoon_peak,weighted degree,30,0.001,30057,30027,29771.0,0.99147,0.99048
afternoon_peak,weighted degree,75,0.0025,30057,29982,29687.0,0.99016,0.98769
afternoon_peak,weighted degree,150,0.00499,30057,29907,29600.0,0.98973,0.9848
afternoon_peak,weighted degree,301,0.01001,30057,29756,29352.0,0.98642,0.97654
afternoon_peak,weighted degree,451,0.015,30057,29606,28929.0,0.97713,0.96247
afternoon_peak,weighted degree,601,0.02,30057,29456,28748.0,0.97596,0.95645
afternoon_peak,weighted degree,751,0.02499,30057,29306,28502.0,0.97257,0.94826
afternoon_peak,weighted degree,902,0.03001,30057,29155,28306.0,0.97088,0.94174
afternoon_peak,weighted degree,1052,0.035,30057,29005,28111.0,0.96918,0.93526
afternoon_peak,weighted degree,1202,0.03999,30057,28855,27778.0,0.96268,0.92418
afternoon_peak,weighted degree,1353,0.04501,30057,28704,27431.0,0.95565,0.91263
afternoon_peak,weighted degree,1503,0.05,30057,28554,27057.0,0.94757,0.90019
afternoon_peak,weighted degree,1653,0.055,30057,28404,26870.0,0.94599,0.89397
afternoon_peak,weighted degree,1803,0.05999,30057,28254,26405.0,0.93456,0.8785
afternoon_peak,weighted degree,1954,0.06501,30057,28103,25889.0,0.92122,0.86133
afternoon_peak,weighted degree,2104,0.07,30057,27953,25408.0,0.90895,0.84533
afternoon_peak,weighted degree,2254,0.07499,30057,27803,25227.0,0.90735,0.83931
afternoon_peak,weighted degree,2405,0.08001,30057,27652,24941.0,0.90196,0.82979
afternoon_peak,weighted degree,2555,0.08501,30057,27502,24704.0,0.89826,0.82191
